config,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5,r_no_top10,trades_per_month
struct|buf0.5|be0.5|tgt5.0R,34,4.4,0.1294,0.265,1.36,9,-9.0,-12.31,0.39
blend|atr0.0|noBE|tgt2.5R,37,4.27,0.1154,0.432,1.21,6,-7.98,-16.16,0.42
struct|buf0.0|noBE|tgt2.5R,37,4.27,0.1154,0.432,1.21,6,-7.98,-16.16,0.42
struct|buf0.0|noBE|tgt3.0R,37,3.93,0.1062,0.432,1.2,6,-9.62,-16.36,0.42
blend|atr0.0|noBE|tgt3.0R,37,3.93,0.1062,0.432,1.2,6,-9.62,-16.36,0.42
struct|buf0.5|noBE|tgt3.0R,34,3.83,0.1127,0.471,1.27,6,-7.56,-12.27,0.39
struct|buf0.5|be2.0|tgt3.0R,34,3.83,0.1127,0.471,1.27,6,-7.56,-12.27,0.39
blend|atr0.5|be1.0|tgt5.0R,36,3.83,0.1063,0.361,1.22,6,-10.85,-15.91,0.41
blend|atr0.5|noBE|tgt4.0R,36,3.73,0.1037,0.417,1.21,6,-9.94,-15.53,0.41
blend|atr0.5|be2.0|tgt4.0R,36,3.73,0.1037,0.417,1.21,6,-9.94,-15.53,0.41
blend|atr0.2|be1.0|tgt4.0R,36,3.72,0.1033,0.361,1.2,6,-11.81,-17.49,0.41
struct|buf0.5|be1.0|tgt3.0R,34,3.71,0.1093,0.441,1.26,6,-7.68,-12.39,0.39
blend|atr0.5|be0.5|tgt5.0R,36,3.7,0.1029,0.222,1.28,9,-10.76,-13.27,0.41
struct|buf0.05|noBE|tgt2.5R,36,3.66,0.1015,0.417,1.18,6,-8.59,-16.51,0.41
struct|buf0.05|be2.0|tgt2.5R,36,3.66,0.1015,0.417,1.18,6,-8.59,-16.51,0.41
struct|buf0.2|be1.0|tgt4.0R,36,3.61,0.1003,0.361,1.21,6,-10.77,-15.95,0.41
struct|buf0.1|be1.0|tgt4.0R,36,3.6,0.1001,0.361,1.19,6,-11.87,-17.53,0.41
struct|buf0.2|be0.5|tgt4.0R,36,3.44,0.0957,0.222,1.26,9,-10.68,-13.31,0.41
struct|buf0.5|be0.5|tgt4.0R,34,3.4,0.1,0.265,1.27,9,-9.0,-12.31,0.39
struct|buf0.05|be1.0|tgt2.5R,36,3.38,0.0938,0.361,1.19,6,-8.87,-16.47,0.41
blend|atr1.0|noBE|tgt5.0R,34,2.98,0.0876,0.441,1.19,6,-9.87,-14.32,0.39
blend|atr1.0|be2.0|tgt5.0R,34,2.98,0.0876,0.441,1.19,6,-9.87,-14.32,0.39
struct|buf0.05|be2.0|tgt3.0R,36,2.9,0.0805,0.417,1.15,6,-10.26,-16.72,0.41
struct|buf0.05|noBE|tgt3.0R,36,2.9,0.0805,0.417,1.15,6,-10.26,-16.72,0.41
struct|buf0.5|be2.0|tgt2.5R,34,2.89,0.0849,0.471,1.2,6,-7.56,-12.27,0.39
struct|buf0.5|noBE|tgt2.5R,34,2.89,0.0849,0.471,1.2,6,-7.56,-12.27,0.39
blend|atr0.5|be1.0|tgt4.0R,36,2.83,0.0785,0.361,1.16,6,-10.85,-15.91,0.41
struct|buf0.5|be1.0|tgt2.5R,34,2.77,0.0814,0.441,1.19,6,-7.68,-12.39,0.39
blend|atr0.5|be0.5|tgt4.0R,36,2.7,0.0751,0.222,1.2,9,-10.76,-13.27,0.41
struct|buf0.2|be2.0|tgt3.0R,36,2.64,0.0733,0.417,1.15,6,-9.88,-15.45,0.41
struct|buf0.2|noBE|tgt3.0R,36,2.64,0.0733,0.417,1.15,6,-9.88,-15.45,0.41
struct|buf0.05|be1.0|tgt3.0R,36,2.62,0.0728,0.361,1.15,6,-10.54,-16.47,0.41
blend|atr0.0|be1.0|tgt3.0R,37,2.48,0.0671,0.351,1.15,6,-10.91,-15.83,0.42
struct|buf0.0|be1.0|tgt3.0R,37,2.48,0.0671,0.351,1.15,6,-10.91,-15.83,0.42
blend|atr0.0|be2.0|tgt2.0R,37,2.41,0.0652,0.432,1.13,6,-7.34,-15.16,0.42
struct|buf0.0|be2.0|tgt2.0R,37,2.41,0.0652,0.432,1.13,6,-7.34,-15.16,0.42
struct|buf0.5|be0.5|tgt3.0R,34,2.4,0.0706,0.265,1.19,9,-9.0,-12.31,0.39
blend|atr0.5|noBE|tgt3.0R,36,2.37,0.0657,0.417,1.13,6,-9.94,-15.53,0.41
blend|atr0.5|be2.0|tgt3.0R,36,2.37,0.0657,0.417,1.13,6,-9.94,-15.53,0.41
blend|atr0.0|be0.5|tgt5.0R,37,2.35,0.0636,0.189,1.15,10,-13.37,-15.05,0.42
struct|buf0.0|be0.5|tgt5.0R,37,2.35,0.0636,0.189,1.15,10,-13.37,-15.05,0.42
struct|buf0.0|be1.0|tgt2.5R,37,2.33,0.0629,0.351,1.14,6,-9.92,-15.83,0.42
blend|atr0.0|be1.0|tgt2.5R,37,2.33,0.0629,0.351,1.14,6,-9.92,-15.83,0.42
blend|atr0.2|noBE|tgt3.0R,36,2.31,0.0643,0.417,1.12,6,-10.62,-16.86,0.41
blend|atr0.2|be2.0|tgt3.0R,36,2.31,0.0643,0.417,1.12,6,-10.62,-16.86,0.41
struct|buf0.1|be2.0|tgt3.0R,36,2.18,0.0605,0.417,1.11,6,-10.73,-16.87,0.41
struct|buf0.1|noBE|tgt3.0R,36,2.18,0.0605,0.417,1.11,6,-10.73,-16.87,0.41
blend|atr1.0|be2.0|tgt4.0R,34,1.98,0.0581,0.441,1.12,6,-9.87,-14.32,0.39
blend|atr1.0|noBE|tgt4.0R,34,1.98,0.0581,0.441,1.12,6,-9.87,-14.32,0.39
struct|buf0.05|be0.5|tgt5.0R,36,1.86,0.0517,0.194,1.12,10,-13.36,-14.99,0.41
blend|atr1.0|be1.0|tgt5.0R,34,1.81,0.0533,0.382,1.11,6,-11.03,-14.98,0.39
struct|buf0.2|be1.0|tgt3.0R,36,1.74,0.0484,0.361,1.1,6,-10.77,-15.95,0.41
struct|buf0.2|be0.5|tgt3.0R,36,1.58,0.0438,0.222,1.12,9,-10.68,-13.31,0.41
blend|atr0.5|be1.0|tgt3.0R,36,1.46,0.0405,0.361,1.08,6,-10.85,-15.91,0.41
struct|buf0.5|be0.5|tgt2.5R,34,1.45,0.0427,0.265,1.12,9,-9.0,-12.31,0.39
struct|buf0.5|be2.0|tgt2.0R,34,1.39,0.0408,0.471,1.1,6,-7.56,-12.27,0.39
struct|buf0.5|noBE|tgt2.0R,34,1.39,0.0408,0.471,1.1,6,-7.56,-12.27,0.39
struct|buf0.1|be0.5|tgt5.0R,36,1.36,0.0378,0.194,1.09,10,-13.41,-14.99,0.41
blend|atr0.5|be0.5|tgt3.0R,36,1.33,0.0371,0.222,1.1,9,-10.76,-13.27,0.41
struct|buf0.5|be1.0|tgt2.0R,34,1.27,0.0373,0.441,1.09,6,-7.68,-12.39,0.39
blend|atr0.2|be0.5|tgt5.0R,36,1.21,0.0335,0.194,1.08,10,-13.43,-14.98,0.41
struct|buf0.2|noBE|tgt2.5R,36,1.14,0.0317,0.417,1.06,6,-9.88,-15.45,0.41
struct|buf0.2|be2.0|tgt2.5R,36,1.14,0.0317,0.417,1.06,6,-9.88,-15.45,0.41
blend|atr0.2|be1.0|tgt3.0R,36,1.12,0.0312,0.361,1.06,6,-11.81,-17.49,0.41
