strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt2.5R,42,0.97,0.0232,0.476,1.06,5,-7.99,-13.41,0.11,0.48
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt3.0R,32,0.96,0.03,0.375,1.07,7,-9.69,-13.0,0.08,0.36
LONG|cl5|direct_bos|stop0.75|div_req=True|tgt2.5R,44,0.95,0.0215,0.455,1.05,5,-9.6,-16.25,0.12,0.51
SHORT|cl7|pullback|stop1.0|div_req=True|tgt3.0R,6,0.8,0.1326,0.5,1.3,3,-1.05,0.0,0.03,0.13
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt3.0R,32,0.54,0.0167,0.406,1.05,7,-8.24,-11.02,0.08,0.36
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt2.5R,31,0.48,0.0154,0.419,1.04,7,-7.79,-10.58,0.08,0.35
LONG|cl5|direct_bos|stop1.0|div_req=True|tgt2.0R,42,0.47,0.0112,0.476,1.03,5,-7.99,-13.41,0.11,0.48
SHORT|cl7|pullback|stop0.75|div_req=True|tgt3.0R,6,0.31,0.0511,0.333,1.11,3,-1.05,0.0,0.03,0.13
SHORT|cl7|pullback|stop1.0|div_req=True|tgt2.5R,6,0.3,0.0492,0.5,1.11,3,-1.05,0.0,0.03,0.13
LONG|cl5|direct_bos|stop0.75|div_req=False|tgt2.0R,45,0.25,0.0057,0.467,1.01,5,-8.99,-15.64,0.12,0.52
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt4.0R,33,0.17,0.0052,0.364,1.01,7,-10.74,-14.05,0.09,0.37
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt2.5R,32,0.04,0.0011,0.406,1.0,7,-8.24,-11.02,0.08,0.36
LONG|cl7|direct_bos|stop1.0|div_req=True|tgt2.0R,31,-0.02,-0.0007,0.419,1.0,7,-7.79,-10.58,0.08,0.35
SHORT|cl5|direct_bos|stop1.0|div_req=True|tgt4.0R,16,-0.03,-0.0016,0.375,1.0,6,-8.27,-6.3,0.05,0.22
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt2.5R,32,-0.04,-0.0012,0.375,1.0,7,-9.69,-13.0,0.08,0.36
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt3.0R,33,-0.09,-0.0027,0.364,0.99,7,-10.74,-14.05,0.09,0.37
LONG|cl5|pullback|stop1.0|div_req=True|tgt2.0R,16,-0.18,-0.0112,0.5,0.97,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=False|tgt2.0R,16,-0.18,-0.0112,0.5,0.97,2,-5.76,-6.3,0.04,0.18
SHORT|cl7|pullback|stop0.75|div_req=True|tgt2.5R,6,-0.19,-0.0322,0.333,0.93,3,-1.05,0.0,0.03,0.13
SHORT|cl7|pullback|stop1.0|div_req=True|tgt2.0R,6,-0.2,-0.0341,0.5,0.92,3,-1.05,0.0,0.03,0.13
LONG|cl5|direct_bos|stop0.75|div_req=True|tgt2.0R,44,-0.36,-0.0081,0.455,0.98,5,-9.6,-16.25,0.12,0.51
SHORT|cl5|direct_bos|stop1.0|div_req=True|tgt5.0R,16,-0.44,-0.0277,0.375,0.95,6,-8.27,-6.3,0.05,0.22
LONG|cl7|direct_bos|stop1.0|div_req=False|tgt2.0R,32,-0.46,-0.0145,0.406,0.96,7,-8.24,-11.02,0.08,0.36
SHORT|cl5|direct_bos|stop1.0|div_req=True|tgt2.5R,16,-0.55,-0.0346,0.375,0.93,6,-8.27,-6.3,0.05,0.22
LONG|cl7|direct_bos|stop0.75|div_req=True|tgt2.0R,32,-0.61,-0.0191,0.375,0.95,7,-9.63,-13.0,0.08,0.36
SHORT|cl7|pullback|stop0.75|div_req=True|tgt2.0R,6,-0.69,-0.1155,0.333,0.75,3,-1.05,0.0,0.03,0.13
LONG|cl7|pullback|stop1.0|div_req=False|tgt2.0R,15,-0.86,-0.0575,0.467,0.87,3,-6.21,-5.25,0.04,0.17
LONG|cl7|pullback|stop1.0|div_req=True|tgt2.0R,15,-0.86,-0.0575,0.467,0.87,3,-6.21,-5.25,0.04,0.17
SHORT|cl5|direct_bos|stop1.0|div_req=True|tgt3.0R,16,-1.03,-0.0641,0.375,0.88,6,-8.27,-6.3,0.05,0.22
LONG|cl7|direct_bos|stop0.75|div_req=False|tgt2.5R,33,-1.09,-0.033,0.364,0.92,7,-10.74,-14.05,0.09,0.37
LONG|cl5|pullback|stop1.0|div_req=True|tgt4.0R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=False|tgt4.0R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=False|tgt2.5R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=False|tgt3.0R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=True|tgt5.0R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=True|tgt3.0R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=True|tgt2.5R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
LONG|cl5|pullback|stop1.0|div_req=False|tgt5.0R,16,-1.13,-0.0707,0.5,0.82,2,-5.76,-6.3,0.04,0.18
SHORT|cl5|direct_bos|stop1.0|div_req=True|tgt2.0R,16,-1.44,-0.0897,0.375,0.83,6,-8.27,-6.3,0.05,0.22
LONG|cl7|pullback|stop0.75|div_req=True|tgt5.0R,15,-1.46,-0.0976,0.4,0.73,3,-5.42,-5.25,0.04,0.17
