mech_idx,v3c_idx,mech_entry_time,v3c_entry_time,diff_hours,mech_entry,v3c_entry,mech_stop,v3c_stop,mech_r,v3c_r
60,11,2021-04-28 22:00:00,2021-04-29 06:00:00,8.0,1788.94,1775.89,1776.817461057719,1761.8186500000002,-1.0,-1.0
116,27,2024-01-31 11:00:00,2024-01-31 19:00:00,8.0,2051.61,2038.7,2031.6323765351856,2008.37531,-1.0,-0.0906851809532103
