strategy,tf,period_start,period_end,span_years,n_trades,trades_per_week,trades_per_month,total_r,avg_r,median_r,win_rate,losses,breakeven,wins,profit_factor,max_losing_streak,best_trade_r,worst_trade_r,avg_bars_held,avg_mfe_r,avg_mae_r,r_without_top1,r_without_top3,r_without_top5
REF_4H_LONG_rejection_rsi35_trail,4H,2019-01-01,2026-05-12,7.36,169,0.44,1.91,-10.07,-0.06,0.0,0.183,78,60,31,0.87,30,3.0,-1.0,8.3,1.31,1.04,-13.07,-19.07,-25.07
REF_4H_LONG_rejection_rsi40_target3R,4H,2019-01-01,2026-05-12,7.36,284,0.74,3.22,-9.57,-0.034,0.0,0.183,140,92,52,0.93,23,3.0,-1.0,8.2,1.27,1.03,-12.57,-18.57,-24.57
REF_4H_LONG_breakout_target4R,4H,2019-01-01,2026-05-12,7.36,846,2.2,9.58,76.84,0.091,0.0,0.233,359,293,197,1.23,31,4.0,-1.0,11.2,1.34,0.84,72.84,64.84,56.84
REF_1H_LONG_rejection_rsi35_trail,1H,2024-01-01,2026-05-12,2.36,192,1.56,6.79,-0.01,-0.0,0.0,0.188,90,66,36,1.0,16,4.61,-1.0,11.6,1.34,0.97,-4.63,-11.67,-18.12
REF_1H_LONG_rejection_rsi40_target25R,1H,2024-01-01,2026-05-12,2.36,345,2.8,12.2,15.13,0.044,0.0,0.212,151,121,73,1.1,18,2.5,-1.0,9.5,1.27,0.9,12.63,7.63,2.63
REF_1H_LONG_rejection_rsi40_div_target25R,1H,2024-01-01,2026-05-12,2.36,345,2.8,12.2,15.13,0.044,0.0,0.212,151,121,73,1.1,18,2.5,-1.0,9.5,1.27,0.9,12.63,7.63,2.63
REF_30M_LONG_rejection_rsi35_target25R,30M,2025-01-01,2026-05-12,1.36,228,3.22,14.02,-17.75,-0.078,0.0,0.184,104,82,42,0.83,21,2.5,-1.0,10.0,1.13,0.95,-20.25,-25.25,-30.25
