candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C2151,2014-06-24 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2157,2014-06-25 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2166,2014-06-27 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2169,2014-06-27 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2175,2014-06-30 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2177,2014-06-30 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2179,2014-07-01 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2181,2014-07-01 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2184,2014-07-02 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2187,2014-07-02 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2188,2014-07-02 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2190,2014-07-03 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2191,2014-07-03 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2193,2014-07-03 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2194,2014-07-03 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2195,2014-07-03 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2196,2014-07-04 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2197,2014-07-04 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2198,2014-07-04 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2199,2014-07-04 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2205,2014-07-07 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2206,2014-07-07 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2208,2014-07-08 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2209,2014-07-08 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2211,2014-07-08 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2212,2014-07-08 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2213,2014-07-09 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2216,2014-07-09 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2219,2014-07-10 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2222,2014-07-10 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2224,2014-07-10 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2225,2014-07-11 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2226,2014-07-11 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2227,2014-07-11 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2228,2014-07-11 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2229,2014-07-11 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2230,2014-07-13 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2232,2014-07-14 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2253,2014-07-17 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2255,2014-07-18 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2262,2014-07-21 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2336,2014-08-06 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2337,2014-08-06 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B_ctx
C2338,2014-08-06 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2339,2014-08-07 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2340,2014-08-07 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2341,2014-08-07 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2343,2014-08-07 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2344,2014-08-07 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2347,2014-08-08 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2349,2014-08-08 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2350,2014-08-10 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2351,2014-08-11 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2352,2014-08-11 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2353,2014-08-11 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2354,2014-08-11 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2356,2014-08-11 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2357,2014-08-12 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2358,2014-08-12 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2361,2014-08-12 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2363,2014-08-13 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2364,2014-08-13 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2365,2014-08-13 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2366,2014-08-13 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2368,2014-08-13 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2369,2014-08-14 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2370,2014-08-14 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2371,2014-08-14 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2372,2014-08-14 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2373,2014-08-14 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2374,2014-08-14 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2375,2014-08-15 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2378,2014-08-15 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2379,2014-08-15 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2380,2014-08-17 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2381,2014-08-18 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2382,2014-08-18 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2384,2014-08-18 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2385,2014-08-18 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2386,2014-08-18 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2387,2014-08-19 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2388,2014-08-19 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2390,2014-08-19 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2391,2014-08-19 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2392,2014-08-19 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2393,2014-08-20 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2394,2014-08-20 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2395,2014-08-20 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2396,2014-08-20 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2419,2014-08-26 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B_ctx
C2420,2014-08-26 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2422,2014-08-26 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2423,2014-08-27 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2424,2014-08-27 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2425,2014-08-27 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2428,2014-08-27 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2429,2014-08-28 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2436,2014-08-29 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2437,2014-08-29 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2438,2014-08-29 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2439,2014-08-29 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2440,2014-08-31 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2445,2014-09-01 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C2459,2014-09-04 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2460,2014-09-04 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2538,2014-09-23 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B_ctx
C2539,2014-09-23 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2540,2014-09-23 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C2541,2014-09-23 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
