gt_id,captured_in_original,captured_in_pruned_v1,captured_in_pruned_v2,number_of_surviving_candidates,surviving_sources,fragile,notes
GT13B,yes,no,no,0,,yes,
GT17A,yes,no,no,0,,yes,
GT23,yes,no,no,0,,yes,
GT24,yes,no,no,0,,yes,
