episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
,467,1369101600,2013-05-21 02:00,1393.72,14.76,REFERENCE_ONLY,REFERENCE_ONLY,-2.99,-4.88,0.1,1.21,-1.24,below,39.1,40.4,True,0.18,3.21,50.39,23.49,53.03,above,2.6,0,1,1.02,14.76,1.33,False,53.0,40.2,37.2,0,0,1,0,,50.39,1,0,0,0,2,1,0,0,0,3,0.0,3,0,1,3.78,0.71,,1,0,1,1.55,1,2.8,0,1,0,0,1,2.17,,,,,,,1,CHOCH,0.42,3.07,2.8,3.88,demand,NORMAL_DEMAND_BASE,False,2,True
,484,1369346400,2013-05-23 22:00,1393.56,15.29,REFERENCE_ONLY,REFERENCE_ONLY,0.72,-5.44,0.35,0.79,0.33,above,35.6,38.9,True,0.02,2.14,54.83,39.38,55.15,above,0.3,0,1,0.51,15.29,1.3,False,72.7,44.8,37.1,0,0,0,0,,54.83,1,0,0,0,1,0,0,0,0,1,0.0,0,0,1,2.55,0.71,,1,0,1,1.4,1,0.66,1,1,1,0,1,1.97,,,,,,,,,0.13,1.85,0.66,2.65,demand,NORMAL_DEMAND_BASE,False,22,False
,491,1369620000,2013-05-27 02:00,1392.92,9.8,REFERENCE_ONLY,REFERENCE_ONLY,4.75,-8.25,1.79,0.95,1.06,above,42.9,37.9,False,0.06,3.28,54.62,51.73,55.8,above,1.2,0,2,0.27,9.8,0.82,False,70.4,51.2,39.1,0,0,0,0,,54.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.92,1.1,,1,0,1,0.9,1,1.09,1,1,0,0,1,2.06,,,,,,,,,0.17,2.81,1.09,4.02,demand,NORMAL_DEMAND_BASE,False,2,True
,507,1369850400,2013-05-29 18:00,1393.45,9.29,REFERENCE_ONLY,REFERENCE_ONLY,2.56,-8.61,0.62,0.5,1.26,above,42.4,37.9,False,0.2,1.44,55.25,44.09,55.25,above,0.0,0,2,0.3,9.29,0.8,False,81.0,72.5,40.2,1,0,0,0,0.24,55.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.14,1.18,,1,1,1,0.92,1,1.1,1,1,0,0,1,2.08,,,,,,,8,CHOCH,0.12,0.96,1.1,2.24,demand,NORMAL_DEMAND_BASE,False,18,True
,568,1371074400,2013-06-12 22:00,1394.21,7.53,REFERENCE_ONLY,REFERENCE_ONLY,-0.69,3.81,1.8,1.56,0.0,above,42.2,45.8,True,0.0,3.39,51.71,38.85,55.62,above,3.9,0,2,1.42,7.53,0.72,False,48.8,48.8,55.8,0,0,0,0,,51.71,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.75,1.39,,1,0,1,1.32,1,2.53,0,1,0,0,1,0.19,,,,,,,,,0.71,2.36,2.53,3.85,demand,NORMAL_DEMAND_BASE,False,22,False
,577,1371204000,2013-06-14 10:00,1389.37,8.68,REFERENCE_ONLY,REFERENCE_ONLY,0.38,0.2,0.67,0.77,-0.2,below,44.8,46.3,True,0.56,2.39,44.61,43.43,52.59,below,5.3,0,1,1.71,8.68,0.89,False,45.6,40.4,40.4,0,0,0,0,,44.61,0,0,0,0,3,3,0,0,0,6,0.0,3,0,1,1.71,1.19,,1,1,1,1.12,1,2.76,0,1,0,0,1,0.39,,,,,,,,,1.08,0.53,2.76,1.81,demand,V_REVERSAL_DEMAND,False,10,False
,708,1373954400,2013-07-16 06:00,1290.23,7.95,REFERENCE_ONLY,REFERENCE_ONLY,5.3,0.68,0.69,0.88,3.84,above,48.0,39.8,False,0.24,2.1,56.81,55.53,61.07,below,4.3,0,2,1.34,7.95,0.67,False,84.8,90.6,92.8,0,0,0,0,1.7,56.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.04,1.34,,1,1,1,1.76,1,9.61,0,0,0,0,1,2.62,,,,,,,,,1.04,0.7,9.61,2.14,demand,NORMAL_DEMAND_BASE,False,6,False
,729,1374256800,2013-07-19 18:00,1295.85,6.3,REFERENCE_ONLY,REFERENCE_ONLY,1.72,9.77,0.53,1.53,2.56,above,50.5,43.6,False,0.02,3.43,64.44,53.4,64.44,above,0.0,1,0,0.32,6.3,0.59,False,84.1,94.3,94.8,1,0,0,0,2.5,64.44,0,1,2,0,0,0,0,0,3,0,3,0,2,1,8.48,1.35,,0,0,1,2.47,1,11.23,0,0,0,0,1,3.13,,,,,,,,,-0.03,7.13,11.23,4.16,swing,LATE_WIDE,False,18,True
,753,1374775200,2013-07-25 18:00,1332.74,9.76,REFERENCE_ONLY,REFERENCE_ONLY,5.11,8.84,0.58,0.14,2.66,above,56.0,51.9,False,1.17,1.87,55.52,45.39,63.03,below,0.0,0,3,1.22,9.76,1.11,False,77.4,81.5,89.4,1,0,0,0,2.01,55.52,0,4,0,0,0,0,0,0,4,0,4,0,2,1,2.01,1.04,,1,0,1,3.66,1,0.93,1,1,1,0,1,1.55,,,,,,,6,CHOCH,0.61,0.98,0.93,2.11,demand,NORMAL_DEMAND_BASE,False,18,True
,764,1375106400,2013-07-29 14:00,1329.74,10.22,REFERENCE_ONLY,REFERENCE_ONLY,-0.49,9.05,-1.4,0.29,1.34,above,56.9,54.5,False,1.4,1.5,52.92,44.27,56.51,below,3.6,2,0,0.47,10.22,1.14,False,54.1,77.1,84.4,0,0,0,0,1.41,52.92,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.7,0.99,,1,1,1,3.76,1,0.27,1,1,1,0,1,1.76,,,,,,,,,-0.02,0.71,0.27,1.8,demand,V_REVERSAL_DEMAND,False,14,False
