candidate_id,timestamp,source,label,GT_match,NAO_match,gt_id,at_D1_demand,inside_d1_demand,dist_above_d1_atr,d1_record_used_ts,supply_overhead,dist_to_supply,inside_custom_ob_demand,near_custom_ob_demand,dist_to_demand,inside_custom_ob_supply,macro_leg_id,macro_leg_phase,macro_leg_direction,feature_availability,context_notes
C1832,2014-04-09 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.43,2014-04-08T20:58:59+00:00,0,25.75,0,0,8.38,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1834,2014-04-09 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,0.95,2014-04-08T20:58:59+00:00,1,4.66,0,1,0.77,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1837,2014-04-10 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.78,2014-04-09T20:58:59+00:00,0,20.29,0,0,8.51,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1839,2014-04-10 10:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.11,2014-04-09T20:58:59+00:00,1,15.13,0,0,13.67,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1840,2014-04-10 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.03,2014-04-09T20:58:59+00:00,1,16.35,0,0,12.45,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1841,2014-04-10 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.95,2014-04-09T20:58:59+00:00,0,17.71,0,0,11.09,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1842,2014-04-10 22:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.08,2014-04-10T20:58:59+00:00,1,16.3,0,0,12.5,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1843,2014-04-11 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.15,2014-04-10T20:58:59+00:00,1,15.25,0,0,13.55,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1844,2014-04-11 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.02,2014-04-10T20:58:59+00:00,1,17.33,0,0,11.47,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1845,2014-04-11 10:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.02,2014-04-10T20:58:59+00:00,1,17.29,0,0,11.51,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1846,2014-04-11 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.95,2014-04-10T20:58:59+00:00,1,18.4,0,0,10.4,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1847,2014-04-11 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.96,2014-04-10T20:58:59+00:00,0,18.12,0,0,10.68,1,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1849,2014-04-14 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.71,2014-04-11T20:54:59+00:00,1,9.27,0,0,6.29,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1850,2014-04-14 06:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.53,2014-04-11T20:54:59+00:00,1,11.8,0,0,3.76,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1852,2014-04-14 14:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.72,2014-04-11T20:54:59+00:00,1,9.05,0,0,6.51,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1853,2014-04-14 18:00,fractal_3_3,UNKNOWN,no,no,,0,0,2.71,2014-04-11T20:54:59+00:00,1,9.3,0,0,6.26,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1855,2014-04-15 02:00,fractal_3_3,UNKNOWN,no,no,,0,0,1.94,2014-04-14T20:58:59+00:00,1,16.15,1,0,12.65,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
C1857,2014-04-15 10:00,fractal_3_3,UNKNOWN,no,no,,1,0,0.42,2014-04-14T20:58:59+00:00,0,30.4,0,0,7.4,0,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,4H_OB=yes;D1=yes,
