num,entry_t,entry,csv_sl,csv_exit,win,cris_sl,cris_exit,cris_risk,cris_Rpot,entry_moved_138
1,1716898500,2354.49,2340.08,2340.08,0,2340.08,2368.9,14.41,1.0,False
2,1717065900,2340.64,2322.27,2342.11,1,2322.27,2342.11,18.37,0.08,False
3,1717423200,2339.43,2314.36,2366.53,1,2314.36,2366.53,25.07,1.08,False
4,1717686000,2370.3,2353.08,2372.66,1,2353.08,2372.66,17.22,0.14,False
5,1718020800,2305.87,2286.34,2323.06,1,2286.34,2323.06,19.53,0.88,False
6,1718713800,2322.16,2306.32,2339.9,1,2306.32,2339.9,15.84,1.12,False
7,1718890200,2345.17,2331.32,2357.88,1,2331.32,2357.88,13.85,0.92,False
8,1719489600,2319.41,2293.16,2354.9,1,2293.16,2354.9,26.25,1.35,False
9,1720055700,2361.55,2356.33,2356.33,0,2356.33,2366.77,5.22,1.0,False
10,1720102500,2360.4,2350.18,2350.18,0,2350.18,2370.62,10.22,1.0,False
11,1720183500,2372.12,2348.33,2412.75,1,2348.33,2412.75,23.79,1.71,False
12,1720792800,2409.04,2391.03,2420.76,1,2391.03,2420.76,18.01,0.65,False
13,1721095200,2426.33,2419.85,2438.0,1,2419.85,2438.0,6.48,1.8,False
14,1721178000,2472.6,2465.9,2469.35,0,2465.9,2475.85,6.7,0.49,False
15,1721787300,2413.01,2383.42,2383.42,0,2383.42,2442.6,29.59,1.0,False
16,1722204000,2397.36,2352.49,2445.51,1,2352.49,2445.51,44.87,1.07,False
17,1722567600,2458.69,2434.27,2434.27,0,2434.27,2483.11,24.42,1.0,False
18,1722830400,2455.78,2412.92,2412.92,0,2412.92,2498.64,42.86,1.0,False
19,1723031100,2401.06,2378.7,2424.27,1,2378.7,2424.27,22.36,1.04,False
20,1723213800,2430.61,2416.52,2441.08,1,2416.52,2441.08,14.09,0.74,False
21,1723469400,2451.99,2439.45,2469.72,1,2439.45,2469.72,12.54,1.41,False
22,1723556700,2472.94,2458.15,2458.15,0,2458.15,2487.73,14.79,1.0,False
23,1723624200,2477.66,2454.89,2454.89,0,2454.89,2500.43,22.77,1.0,False
24,1723716000,2459.81,2447.91,2447.91,0,2447.91,2471.71,11.9,1.0,False
25,1723803300,2466.1,2450.55,2503.11,1,2450.55,2503.11,15.55,2.38,False
26,1724077800,2502.61,2485.07,2521.17,1,2485.07,2521.17,17.54,1.06,False
27,1724400900,2496.58,2486.39,2502.92,1,2486.39,2502.92,10.19,0.62,False
28,1724782500,2524.05,2502.96,2502.96,0,2502.96,2545.14,21.09,1.0,False
29,1724890500,2514.11,2502.56,2523.19,1,2502.56,2523.19,11.55,0.79,False
30,1724998500,2522.41,2511.94,2511.94,0,2511.94,2532.88,10.47,1.0,False
31,1725516000,2503.67,2471.38,2515.65,1,2471.38,2515.65,32.29,0.37,False
32,1726143300,2520.32,2512.61,2548.63,1,2512.61,2548.63,7.71,3.67,False
33,1726189200,2562.19,2556.57,2566.91,1,2556.57,2566.91,5.62,0.84,False
34,1726231500,2575.88,2562.94,2584.71,1,2562.94,2584.71,12.94,0.68,False
35,1726538400,2584.99,2578.28,2578.28,0,2578.28,2591.7,6.71,1.0,False
36,1726731900,2584.33,2550.51,2609.73,1,2550.51,2609.73,33.82,0.75,False
37,1726846200,2622.25,2602.24,2656.33,1,2602.24,2656.33,20.01,1.7,False
38,1727232300,2670.02,2655.03,2655.03,0,2655.03,2685.01,14.99,1.0,False
39,1727338500,2668.93,2649.24,2649.24,0,2649.24,2688.62,19.69,1.0,False
40,1727763300,2644.57,2626.13,2657.02,1,2626.13,2657.02,18.44,0.68,False
41,1728008100,2661.25,2654.18,2654.18,0,2654.18,2668.32,7.07,1.0,False
42,1728563400,2621.21,2601.49,2642.94,1,2601.49,2642.94,19.72,1.1,False
43,1728658800,2657.11,2601.41,2708.41,1,2601.41,2708.41,55.7,0.92,False
44,1729284300,2722.2,2704.5,2733.35,1,2704.5,2733.35,17.7,0.63,False
45,1729609200,2743.82,2729.29,2749.65,1,2729.29,2749.65,14.53,0.4,False
46,1729860300,2731.44,2716.68,2739.99,1,2716.68,2739.99,14.76,0.58,False
47,1730126700,2744.25,2727.55,2776.55,1,2727.55,2776.55,16.7,1.93,False
48,1730267100,2783.16,2770.69,2770.69,0,2770.69,2795.63,12.47,1.0,False
49,1730466000,2761.09,2744.51,2744.51,0,2744.51,2777.67,16.58,1.0,False
50,1730797200,2744.62,2731.53,2731.53,0,2731.53,2757.71,13.09,1.0,False
51,1731982500,2619.32,2536.05,2696.51,1,2536.05,2696.51,83.27,0.93,False
52,1732300200,2709.16,2683.9,2719.69,1,2683.9,2719.69,25.26,0.42,False
53,1732697100,2653.47,2610.17,2650.61,0,2610.17,2656.33,43.3,0.07,False
54,1733698800,2642.71,2630.88,2630.88,0,2630.88,2654.54,11.83,1.0,False
55,1733729400,2648.51,2623.83,2666.33,1,2623.83,2666.33,24.68,0.72,False
56,1733826600,2673.76,2660.86,2698.27,1,2660.86,2698.27,12.9,1.9,False
57,1733929200,2712.57,2685.81,2685.81,0,2685.81,2739.33,26.76,1.0,False
58,1736162100,2644.74,2624.84,2624.84,0,2624.84,2664.64,19.9,1.0,False
59,1736213400,2638.6,2632.75,2655.42,1,2632.75,2655.42,5.85,2.88,False
