num,entry_t,entry,csv_sl,csv_exit,win,cris_sl,cris_exit,cris_risk,cris_Rpot,entry_moved_138
60,1736341200,2655.98,2645.57,2662.32,1,2645.57,2662.32,10.41,0.61,False
61,1736405100,2666.59,2655.15,2667.02,1,2655.15,2667.02,11.44,0.04,False
62,1736516700,2682.7,2663.52,2663.52,0,2663.52,2701.88,19.18,1.0,False
63,1736919900,2679.29,2659.57,2695.4,1,2659.57,2695.4,19.72,0.82,False
64,1737015300,2701.33,2675.93,2724.93,1,2675.93,2724.93,25.4,0.93,False
65,1737519300,2751.81,2739.58,2739.58,0,2739.58,2764.04,12.23,1.0,False
66,1737650700,2753.93,2735.33,2771.67,1,2735.33,2771.67,18.6,0.95,False
67,1737724500,2781.88,2769.57,2769.57,0,2769.57,2794.19,12.31,1.0,False
68,1738073700,2753.99,2734.46,2776.66,1,2734.46,2776.66,19.53,1.16,False
69,1738244700,2785.68,2730.04,2841.54,1,2730.04,2841.54,55.64,1.0,False
70,1738715400,2847.08,2806.55,2897.62,1,2806.55,2897.62,40.53,1.25,False
71,1739378700,2902.56,2863.88,2942.32,1,2863.88,2942.32,38.68,1.03,False
72,1740030300,2946.8,2931.91,2931.91,0,2931.91,2961.69,14.89,1.0,False
73,1740100500,2945.47,2923.51,2923.51,0,2923.51,2967.43,21.96,1.0,False
74,1740365100,2940.79,2920.73,2950.06,1,2920.73,2950.06,20.06,0.46,False
75,1741072500,2899.34,2831.84,2913.58,1,2831.84,2913.58,67.5,0.21,False
76,1741699800,2919.6,2879.57,2985.37,1,2879.57,2985.37,40.03,1.64,False
77,1741944600,2998.99,2980.43,2980.43,0,2980.43,3017.55,18.56,1.0,False
78,1742260500,3004.22,2984.27,3032.23,1,2984.27,3032.23,19.95,1.4,False
79,1742410800,3047.27,3021.94,3021.94,0,3021.94,3072.6,25.33,1.0,False
80,1742800500,3025.19,2998.54,3048.24,1,2998.54,3048.24,26.65,0.86,False
81,1743085800,3055.16,2998.65,3118.06,1,2998.65,3118.06,56.51,1.11,False
82,1743469200,3132.73,3099.32,3141.95,1,3099.32,3141.95,33.41,0.28,False
83,1743762600,3111.29,3077.77,3077.77,0,3077.77,3144.81,33.52,1.0,False
84,1744197300,3060.34,2955.72,3153.24,1,2955.72,3153.24,104.62,0.89,False
85,1744330500,3194.67,3167.56,3210.96,1,3167.56,3210.96,27.11,0.6,False
86,1744686000,3225.13,3200.91,3299.15,1,3200.91,3299.15,24.22,3.06,False
87,1744817400,3321.86,3288.12,3348.24,1,3288.12,3348.24,33.74,0.78,False
88,1745195400,3369.85,3283.31,3478.98,1,3283.31,3478.98,86.54,1.26,False
89,1745456400,3348.14,3267.47,3267.47,0,3267.47,3428.81,80.67,1.0,False
90,1745857800,3338.1,3267.17,3267.17,0,3267.17,3409.03,70.93,1.0,False
91,1746432900,3271.94,3222.18,3310.85,1,3222.18,3310.85,49.76,0.78,False
92,1746472500,3336.22,3201.14,3229.64,0,3201.14,3442.8,135.08,0.79,False
93,1747314000,3195.34,3119.89,3275.62,1,3119.89,3275.62,75.45,1.06,False
94,1747806300,3316.35,3274.38,3360.33,1,3274.38,3360.33,41.97,1.05,False
95,1748513700,3298.3,3244.62,3377.59,1,3244.62,3377.59,53.68,1.48,False
96,1749000600,3367.14,3332.76,3370.58,1,3332.76,3370.58,34.38,0.1,False
97,1749561300,3345.84,3292.63,3423.15,1,3292.63,3423.15,53.21,1.45,False
98,1750024800,3449.71,3428.73,3428.73,0,3428.73,3470.69,20.98,1.0,False
99,1750220100,3394.81,3369.97,3369.97,0,3369.97,3419.65,24.84,1.0,False
100,1750905900,3339.47,3311.51,3311.51,0,3311.51,3367.43,27.96,1.0,False
101,1751262300,3288.99,3245.64,3346.3,1,3245.64,3346.3,43.35,1.32,False
102,1751926500,3342.24,3328.06,3328.06,0,3328.06,3356.42,14.18,1.0,False
103,1752099300,3320.19,3281.73,3349.61,1,3281.73,3349.61,38.46,0.76,False
104,1752444900,3370.71,3353.08,3353.08,0,3353.08,3388.34,17.63,1.0,False
105,1752792300,3343.35,3309.29,3395.05,1,3309.29,3395.05,34.06,1.52,False
106,1753186500,3400.36,3383.11,3428.36,1,3383.11,3428.36,17.25,1.62,False
107,1753801200,3329.91,3311.52,3311.52,0,3311.52,3348.3,18.39,1.0,False
108,1754550000,3387.82,3357.77,3357.77,0,3357.77,3417.87,30.05,1.0,False
109,1755093600,3366.78,3330.26,3330.26,0,3330.26,3403.3,36.52,1.0,False
110,1755476100,3340.34,3323.25,3346.29,1,3323.25,3357.23,17.09,0.99,False
111,1755687600,3329.05,3311.98,3339.68,1,3318.54,3373.24,10.51,4.2,False
112,1755727200,3350.95,3311.14,3369.18,1,3330.23,3369.18,20.72,0.88,False
113,1756167300,3377.24,3351.0,3417.62,1,3351.0,3563.25,26.24,7.09,False
114,1756472400,3418.73,3403.96,3441.93,1,3403.96,3560.91,14.77,9.63,False
115,1756691100,3457.1,3436.69,3473.8,1,3436.69,3560.91,20.41,5.09,False
116,1756774800,3488.52,3466.68,3532.88,1,3466.68,3560.33,21.84,3.29,False
117,1756858500,3537.32,3526.05,3565.26,1,3524.35,3573.26,12.97,2.77,False
118,1757335500,3624.04,3572.0,3681.8,1,3608.7,3670.36,15.34,3.02,False
119,1758005100,3693.38,3674.16,3674.16,0,3674.16,3712.6,19.22,1.0,False
120,1758254400,3659.09,3631.85,3686.47,1,3630.15,3776.76,28.94,4.07,False
121,1758521700,3706.24,3685.2,3744.32,1,3693.33,3780.19,12.91,5.73,False
122,1758589200,3754.66,3737.93,3737.93,0,3737.93,3785.22,16.73,1.83,False
123,1758699000,3777.43,3750.2,3750.2,0,3750.2,3804.66,27.23,1.0,False
124,1758787200,3757.43,3729.16,3729.16,0,3729.16,3785.7,28.27,1.0,False
125,1758891600,3764.45,3734.03,3823.62,1,3744.11,3865.01,20.34,4.94,False
126,1759190400,3838.51,3805.76,3862.16,1,3819.47,3868.81,19.04,1.59,False
127,1759241700,3843.94,3791.97,3879.12,1,3817.46,3879.12,26.48,1.33,False
128,1759496400,3877.26,3854.21,3935.05,1,3854.21,4047.17,23.05,7.37,False
129,1759761000,3957.78,3921.73,3987.63,1,3925.33,4047.98,32.45,2.78,False
130,1759889700,4003.68,3983.85,4031.56,1,3983.85,4054.79,19.83,2.58,False
131,1760013900,4053.35,4021.94,4021.94,0,4021.94,4084.76,31.41,1.0,False
132,1760108400,4009.15,3945.67,4100.75,1,3965.18,4171.67,43.97,3.7,False
133,1760398200,4128.46,4090.1,4155.04,1,4104.06,4177.42,24.4,2.01,False
134,1760486400,4168.57,4088.92,4339.98,1,4131.89,4373.09,36.68,5.58,False
135,1760962500,4293.83,4217.63,4356.09,1,4256.8,4370.35,37.03,2.07,False
136,1761199200,4129.93,4009.08,4009.08,0,4062.11,4250.78,67.82,1.78,False
137,1761814800,4004.91,3914.05,3982.65,0,3942.78,4117.4,62.13,1.81,False
138,1762736400,4027.02,3965.32,4075.15,1,3982.0,4216.31,45.02,4.2,True
139,1762798500,4114.15,4073.5,4191.51,1,4073.5,4229.59,40.65,2.84,False
140,1763006400,4217.6,4179.15,4179.15,0,4179.15,4256.05,38.45,1.0,False
141,1763472600,4063.47,3996.61,4100.78,1,4027.22,4126.31,36.25,1.73,False
142,1764009000,4112.73,4021.6,4143.9,1,4036.8,4253.24,75.93,1.85,False
143,1764288900,4170.55,4142.1,4215.73,1,4142.1,4251.9,28.45,2.86,False
144,1764551700,4238.71,4204.92,4204.92,0,4204.92,4272.5,33.79,1.0,False
145,1764767700,4220.37,4194.09,4194.09,0,4194.09,4246.65,26.28,1.0,False
146,1764864000,4210.37,4182.97,4227.58,1,4182.97,4251.9,27.4,1.52,False
147,1765296000,4218.48,4169.1,4271.91,1,4169.1,4271.91,49.38,1.08,False
148,1765522800,4285.78,4265.75,4331.81,1,4265.75,4348.09,20.03,3.11,False
149,1765765800,4328.99,4294.67,4294.67,0,4294.67,4363.31,34.32,1.0,False
150,1765894500,4325.75,4271.08,4431.48,1,4271.08,4524.83,54.67,3.64,False
151,1766444400,4454.93,4411.29,4488.71,1,4411.29,4543.74,43.64,2.04,False
152,1766538900,4521.43,4429.63,4429.63,0,4429.63,4613.23,91.8,1.0,False
153,1767097800,4399.84,4348.89,4348.89,0,4348.89,4450.79,50.95,1.0,False
154,1767567600,4370.03,4308.64,4429.64,1,4308.64,5230.3,61.39,14.01,False
155,1767624300,4436.61,4395.49,4480.94,1,4395.49,4488.79,41.12,1.27,False
156,1767741300,4498.46,4441.61,4441.61,0,4441.61,4555.31,56.85,1.0,False
157,1767903300,4469.94,4406.64,4585.15,1,4406.64,5280.4,63.3,12.8,False
158,1768222800,4606.69,4562.41,4562.41,0,4562.41,4746.81,44.28,3.16,False
159,1768777200,4654.38,4535.62,4854.13,1,4576.49,5520.89,77.89,11.12,False
160,1769094900,4854.01,4772.96,4945.27,1,4772.96,5510.87,81.05,8.1,False
161,1769382000,5021.66,4898.41,5157.6,1,4948.97,5500.85,72.69,6.59,False
162,1769630400,5326.55,5235.11,5452.37,1,5262.53,5572.03,64.02,3.83,False
163,1770389100,4948.32,4823.08,5058.16,1,4879.46,5074.37,68.86,1.83,False
164,1770732900,5070.08,4985.63,4985.63,0,4985.63,5154.53,84.45,1.0,False
165,1771568100,5022.28,4841.2,5225.63,1,4952.61,5378.91,69.67,5.12,False
166,1772406000,5348.26,5219.71,5219.71,0,5219.71,5476.81,128.55,1.0,False
167,1773083700,5140.02,5059.89,5221.99,1,5059.89,5225.88,80.13,1.07,False
168,1775741400,4775.75,4697.09,4697.09,0,4697.09,4854.41,78.66,1.0,False
169,1776117600,4748.5,4699.38,4838.64,1,4699.38,4854.23,49.12,2.15,False
170,1776215700,4850.76,4643.03,4766.84,0,4697.55,4934.68,153.21,0.55,False
