num,cj_t,date,entry,sl,exit,R,win
1,1754379000,2025-08-05 07:30,3373.42,3365.17,3365.17,-1.0,False
2,1756169100,2025-08-26 00:45,3383.14,3351.0,3417.62,1.073,True
3,1756180800,2025-08-26 04:00,3373.3,3369.25,3371.94,-0.336,False
4,1756281600,2025-08-27 08:00,3382.12,3373.22,3394.55,1.396,True
5,1761029100,2025-10-21 06:45,4343.21,4316.21,4316.21,-1.0,False
6,1769469300,2026-01-26 23:15,5045.04,4987.41,5260.4,3.737,True
