block,t,entry,sl,R,mfe,win,runner
block,t,entry,sl,R,mfe,win,runner
2025-08-25_to_2025-11-25,1760034600,3957.55,3942.99,1.3212367790568522,2.527420674341095,True,False
2025-08-25_to_2025-11-25,1761054300,4174.24,4165.27,-0.5000000000000128,1.5420449999999921,False,False
2025-08-25_to_2025-11-25,1761055200,4181.79,4171.95,-0.500000000000006,0.005083333333351826,False,False
2025-08-25_to_2025-11-25,1761057000,4101.58,4089.72,-0.5000000000000033,3.344707964601808,False,True
2025-08-25_to_2025-11-25,1761059700,4124.69,4070.29,-0.5,0.4207817275213233,False,False
2025-08-25_to_2025-11-25,1762924500,4105.41,4102.09,-0.4999999999999558,0.788766214177933,False,False
2025-11-25_to_2026-02-25,1764214200,4147.76,4136.28,2.3803235410028636,3.9547902016551117,True,True
2025-11-25_to_2026-02-25,1764670500,4186.54,4182.83,-0.49999999999994726,0.9012071005917262,False,False
2025-11-25_to_2026-02-25,1764673200,4187.68,4180.22,1.8656167017672587,5.745452880605436,True,True
2025-11-25_to_2026-02-25,1764675000,4197.77,4180.2,-0.5,1.865169180694176,False,False
2025-11-25_to_2026-02-25,1765820700,4304.51,4284.1,-0.5,0.6544652144689044,False,False
2025-11-25_to_2026-02-25,1767006900,4465.32,4451.56,-0.5,0.03270722743982655,False,False
2025-11-25_to_2026-02-25,1767024000,4333.94,4307.13,1.7826489252392301,2.623325123534357,True,False
2025-11-25_to_2026-02-25,1769768100,5059.72,4917.63,-0.5,0.6061834247412566,False,False
2025-11-25_to_2026-02-25,1770262200,4867.17,4741.38,-0.5,0.6072587076340857,False,False
2026-02-25_to_2026-05-25_rerun_customOBbaseline,1775099700,4691.88,4664.19,-0.5,0.03286920484387796,False,False
2026-02-25_to_2026-05-25_rerun_customOBbaseline,1775100600,4685.85,4664.19,-0.5,0.07850203806705715,False,False
2026-02-25_to_2026-05-25_rerun_customOBbaseline,1775112300,4599.14,4565.8,1.8780935565378492,3.0167632602446424,True,True
