num,entry_t,entry,sl,exit,R,win,yr
1,1716898500,2354.49,2340.08,2340.08,-1.0,0,2024
2,1717065900,2340.64,2322.27,2342.11,0.08,1,2024
3,1717423200,2339.43,2314.36,2366.53,1.08,1,2024
4,1717686000,2370.3,2353.08,2372.66,0.14,1,2024
5,1718020800,2305.87,2286.34,2323.06,0.88,1,2024
6,1718713800,2322.16,2306.32,2339.9,1.12,1,2024
7,1718890200,2345.17,2331.32,2357.88,0.92,1,2024
8,1719489600,2319.41,2293.16,2354.9,1.35,1,2024
9,1720055700,2361.55,2356.33,2356.33,-1.0,0,2024
10,1720102500,2360.4,2350.18,2350.18,-1.0,0,2024
11,1720183500,2372.12,2348.33,2412.75,1.71,1,2024
12,1720792800,2409.04,2391.03,2420.76,0.65,1,2024
13,1721095200,2426.33,2419.85,2438.0,1.8,1,2024
14,1721178000,2472.6,2465.9,2469.35,-0.48,0,2024
15,1721787300,2413.01,2383.42,2383.42,-1.0,0,2024
16,1722204000,2397.36,2352.49,2445.51,1.07,1,2024
17,1722567600,2458.69,2434.27,2434.27,-1.0,0,2024
18,1722830400,2455.78,2412.92,2412.92,-1.0,0,2024
19,1723031100,2401.06,2378.7,2424.27,1.04,1,2024
20,1723213800,2430.61,2416.52,2441.08,0.74,1,2024
21,1723469400,2451.99,2439.45,2469.72,1.41,1,2024
22,1723556700,2472.94,2458.15,2458.15,-1.0,0,2024
23,1723624200,2477.66,2454.89,2454.89,-1.0,0,2024
24,1723716000,2459.81,2447.91,2447.91,-1.0,0,2024
25,1723803300,2466.1,2450.55,2503.11,2.38,1,2024
26,1724077800,2502.61,2485.07,2521.17,1.06,1,2024
27,1724400900,2496.58,2486.39,2502.92,0.62,1,2024
28,1724782500,2524.05,2502.96,2502.96,-1.0,0,2024
29,1724890500,2514.11,2502.56,2523.19,0.79,1,2024
30,1724998500,2522.41,2511.94,2511.94,-1.0,0,2024
31,1725516000,2503.67,2471.38,2515.65,0.37,1,2024
32,1726143300,2520.32,2512.61,2548.63,3.67,1,2024
33,1726189200,2562.19,2556.57,2566.91,0.84,1,2024
34,1726231500,2575.88,2562.94,2584.71,0.68,1,2024
35,1726538400,2584.99,2578.28,2578.28,-1.0,0,2024
36,1726731900,2584.33,2550.51,2609.73,0.75,1,2024
