date,t,kind,price,atr,leg_atr,leg_pct,leg_usd,leg_days,path_eff,giveback_atr,power_score,durab_days,durab_atr,zigzag_out_atr,truncated,yr,tier,tier_clean
2024-06-07 05:00,1717736400,TOP,2387.67,3.21,31.46,4.23,101.0,0.62,0.58,7.23,18.1,19.4,31.5,31.5,0,2024,MONSTRO,MONSTRO
2025-03-26 15:00,1743001200,BOT,3012.0,4.35,31.46,4.55,136.9,3.44,0.22,6.42,6.9,7.0,35.8,31.5,0,2025,FORTE,FORTE
2024-08-22 00:45,1724287500,TOP,2514.67,1.41,31.03,1.74,43.8,0.56,0.42,9.14,13.0,1.5,31.0,25.6,0,2024,MONSTRO,MONSTRO
2024-08-07 01:15,1722993300,BOT,2379.0,3.27,30.79,4.24,100.8,5.26,0.14,7.94,4.3,440.9,983.2,30.8,0,2024,FORTE,MEDIO
2026-03-20 03:15,1773976500,TOP,4735.93,20.68,30.79,13.45,636.9,1.12,0.44,6.51,13.6,7.8,30.8,30.8,0,2026,MONSTRO,MONSTRO
2025-04-14 18:30,1744655400,BOT,3201.42,5.08,30.76,4.88,156.4,2.03,0.3,5.7,9.3,19.9,58.7,30.8,0,2025,FORTE,FORTE
2025-02-09 23:00,1739142000,BOT,2855.7,2.85,30.49,3.04,87.0,1.09,0.5,5.27,15.3,13.7,35.2,30.5,0,2025,FORTE,MONSTRO
2025-09-24 19:15,1758741300,BOT,3717.39,5.09,30.34,4.15,154.3,3.28,0.17,7.77,5.1,161.5,369.7,30.3,0,2025,FORTE,MEDIO
2025-06-12 22:30,1749767400,BOT,3379.71,2.37,30.21,2.12,71.6,1.03,0.24,15.47,7.1,2.1,30.2,30.2,0,2025,FORTE,FORTE
2024-12-09 20:15,1733775300,BOT,2656.5,2.33,29.9,2.62,69.6,2.07,0.22,12.53,6.5,3.6,29.9,29.9,0,2024,FORTE,FORTE
2025-04-28 19:45,1745869500,TOP,3353.06,5.08,29.82,4.51,151.4,2.55,0.19,10.47,5.6,5.0,29.8,29.8,0,2025,MONSTRO,MEDIO
2024-12-12 07:15,1733987700,TOP,2720.49,2.63,29.31,2.83,77.1,1.65,0.28,6.78,8.1,22.2,52.4,29.3,0,2024,MONSTRO,FORTE
2025-04-01 05:30,1743485400,TOP,3148.94,3.25,29.21,3.01,94.9,2.23,0.15,20.6,4.3,1.6,14.8,29.2,0,2025,MONSTRO,MEDIO
2026-04-20 22:15,1776723300,TOP,4832.9,5.63,29.2,3.4,164.4,0.89,0.35,8.23,10.3,23.1,67.4,29.2,0,2026,MONSTRO,FORTE
2024-11-06 01:45,1730857500,TOP,2749.73,3.65,29.19,3.88,106.6,0.94,0.33,8.9,9.7,50.2,58.4,29.2,0,2024,MONSTRO,FORTE
2026-01-30 00:00,1769731200,TOP,5450.96,36.05,29.08,19.23,1048.2,1.23,0.31,7.4,9.1,76.6,37.5,29.1,0,2026,MONSTRO,FORTE
2025-01-08 04:45,1736311500,BOT,2645.28,1.84,28.64,1.99,52.6,2.46,0.16,11.15,4.6,337.8,1607.3,28.6,0,2025,FORTE,MEDIO
2025-06-26 08:45,1750927500,TOP,3350.28,3.72,27.96,3.1,103.9,1.48,0.26,7.35,7.3,3.0,28.0,28.0,0,2025,MONSTRO,FORTE
2025-07-17 12:45,1752756300,BOT,3309.67,4.76,27.15,3.91,129.3,3.31,0.26,4.05,7.1,6.8,27.2,27.2,0,2025,FORTE,FORTE
2026-02-04 08:00,1770192000,TOP,5091.93,16.19,27.0,8.58,437.1,1.59,0.2,10.52,5.5,4.9,27.0,27.0,0,2026,FORTE,MEDIO
2025-04-22 06:15,1745302500,TOP,3499.97,8.94,26.86,6.86,240.0,1.28,0.28,7.95,7.6,90.4,42.5,26.9,0,2025,FORTE,FORTE
2026-02-25 20:45,1772052300,BOT,5145.86,10.18,26.84,5.31,273.3,2.31,0.22,8.81,5.9,0.7,5.9,26.8,0,2026,FORTE,FORTE
2025-08-01 01:45,1754012700,BOT,3281.43,3.92,26.56,3.17,104.0,1.46,0.33,9.93,8.8,198.5,591.5,26.6,0,2025,FORTE,FORTE
2024-08-02 12:30,1722601800,TOP,2477.66,4.28,26.55,4.58,113.5,0.96,0.3,11.19,8.0,7.5,26.6,26.6,0,2024,FORTE,FORTE
2025-07-23 00:15,1753229700,TOP,3438.98,3.4,25.84,2.56,88.0,1.49,0.3,5.11,7.6,26.5,50.2,25.8,0,2025,FORTE,FORTE
2025-10-24 19:15,1761333300,TOP,4116.93,8.99,25.62,5.59,230.3,1.49,0.29,5.39,7.4,10.6,25.6,25.6,0,2025,FORTE,FORTE
2024-06-18 10:45,1718707500,BOT,2306.55,2.43,25.61,2.69,62.1,2.8,0.19,5.83,4.8,5.7,25.6,25.6,0,2024,FORTE,MEDIO
2025-12-18 14:45,1766069100,BOT,4308.51,9.57,25.21,5.6,241.3,4.72,0.15,8.11,3.8,5.6,25.2,25.2,0,2025,FORTE,MEDIO
2026-03-31 10:30,1774953000,BOT,4529.42,10.87,24.91,5.98,270.8,1.46,0.27,5.27,6.7,19.3,33.1,24.9,0,2026,FORTE,FORTE
2024-08-27 23:00,1724799600,TOP,2528.96,1.44,24.76,1.4,35.5,0.56,0.54,5.82,13.4,7.2,39.9,24.8,0,2024,FORTE,MONSTRO
2024-12-06 01:00,1733446800,BOT,2613.09,2.56,24.71,2.42,63.3,1.55,0.23,8.42,5.6,8.4,44.1,24.7,0,2024,FORTE,FORTE
2024-07-03 02:45,1719974700,BOT,2326.88,1.54,24.63,1.64,38.1,0.5,0.46,5.59,11.3,464.7,2117.2,24.6,0,2024,FORTE,MONSTRO
2024-11-13 13:30,1731504600,TOP,2618.54,3.34,24.56,3.13,82.0,0.8,0.44,3.96,10.8,3.4,24.6,24.6,0,2024,FORTE,FORTE
2024-10-25 09:30,1729848600,BOT,2716.98,3.02,24.23,2.69,73.1,3.48,0.14,7.58,3.5,7.5,24.2,24.2,0,2024,FORTE,MEDIO
2025-12-26 16:00,1766764800,TOP,4549.86,10.35,23.91,5.44,247.4,0.93,0.46,4.62,11.0,8.8,26.7,23.9,0,2025,FORTE,FORTE
