num,cj_t,date,entry,sl,exit,R,win
1,1754068500,2025-08-01 17:15,3347.41,3339.81,3357.03,1.267,True
2,1754295300,2025-08-04 08:15,3358.87,3351.24,3374.17,2.007,True
3,1754328600,2025-08-04 17:30,3372.87,3369.96,3374.11,0.428,True
4,1756350900,2025-08-28 03:15,3390.56,3384.06,3417.68,4.174,True
5,1756361700,2025-08-28 06:15,3390.24,3387.58,3417.78,10.333,True
6,1756433700,2025-08-29 02:15,3412.05,3407.6,3407.6,-1.0,False
7,1756447200,2025-08-29 06:00,3411.43,3406.63,3406.63,-1.0,False
8,1756455300,2025-08-29 08:15,3412.55,3406.37,3406.37,-1.0,False
9,1756692000,2025-09-01 02:00,3458.64,3436.69,3473.81,0.691,True
10,1756714500,2025-09-01 08:15,3479.08,3467.0,3467.0,-1.0,False
11,1756745100,2025-09-01 16:45,3477.34,3471.79,3489.62,2.211,True
12,1756766700,2025-09-01 22:45,3475.27,3473.83,3489.79,10.096,True
