block,t,dir,rsi,nas_near,in_zone,R,mfe_R,runner,win
2024-08-25_to_2024-11-25,1724739300,LONG,64.28,0,0,-1.0,0.5716129162339687,False,False
2024-08-25_to_2024-11-25,1724767200,LONG,53.98,0,0,-0.559958133971301,0.9479665071770068,False,False
2024-08-25_to_2024-11-25,1724777100,LONG,51.69,0,0,0.0,1.867056856187335,False,False
2024-08-25_to_2024-11-25,1724782500,LONG,67.53,0,0,-1.0,0.4524216289648571,False,False
2024-08-25_to_2024-11-25,1725237900,SHORT,54.73,0,0,2.5,2.7775182936318443,False,True
2024-08-25_to_2024-11-25,1725243300,SHORT,29.86,0,0,-1.0,0.06889029803422929,False,False
2024-08-25_to_2024-11-25,1725316200,SHORT,43.04,0,0,2.5,3.101181943579845,True,True
2024-08-25_to_2024-11-25,1725325200,SHORT,32.41,0,0,-1.0,0.284144274471303,False,False
2024-08-25_to_2024-11-25,1725334200,SHORT,47.84,0,1,-1.0,0.4395198522621757,False,False
2024-08-25_to_2024-11-25,1725339600,SHORT,48.19,0,0,-1.0,0.6284790806248409,False,False
2024-08-25_to_2024-11-25,1725363000,SHORT,41.65,0,0,-1.0,0.2082691693058552,False,False
2024-08-25_to_2024-11-25,1725370200,SHORT,43.75,0,0,-0.6857206036818096,0.35034182836715394,False,False
2024-08-25_to_2024-11-25,1725431400,SHORT,33.36,0,0,0.0,1.0180762116593087,False,False
2024-08-25_to_2024-11-25,1725436800,SHORT,28.68,0,0,0.0,1.1279155502005656,False,False
2024-08-25_to_2024-11-25,1726077600,LONG,50.12,0,0,-1.0000000000000469,0.3986793231531435,False,False
2024-08-25_to_2024-11-25,1726111800,LONG,54.07,0,0,0.0,1.2604982907303603,False,False
2024-08-25_to_2024-11-25,1726117200,LONG,64.13,0,0,-1.0,0.9782472023135075,False,False
2024-08-25_to_2024-11-25,1726128900,LONG,54.92,0,0,0.0,1.6846933574947518,False,False
2024-08-25_to_2024-11-25,1726134300,LONG,54.87,0,0,-1.0,0.18807604666190664,False,False
2024-08-25_to_2024-11-25,1726140600,LONG,55.74,0,0,2.500000000000033,3.29997423344514,True,True
2024-08-25_to_2024-11-25,1726146000,LONG,72.78,0,0,1.3936906004233662,1.4171953030098603,False,True
2024-08-25_to_2024-11-25,1726160400,LONG,66.67,0,0,2.5,2.5605852766345767,False,True
2024-08-25_to_2024-11-25,1726187400,LONG,66.59,0,0,0.0,1.2675598059050062,False,False
