block,nas_id,dir,nas_t,entry_t,entry_dt,entry_close,zone_id,zone_type,zone_low,zone_high,zone_width_atr,zone_age_bars,zone_pre_existing,zone_virgin,mitig_count,penetration_pct,bars_in_zone,acceptance_beyond_mid,arrival_atr,nas_dist_ema_atr,dist_edge_atr,nas_count_in_zone,nas_cluster_span_bars,nas_before_touch,op_flow,setup_vs_flow,last_smc,bars_since_smc,smc_bos_choch_50,rsi,hour_utc,dow,macro,macro_swing_dir,macro_ema_pos,leg_dir,setup_vs_macro,is_pullback,sweep_reclaim,sweep_depth_atr,failed_breakdown,brk_exc_atr,micro_choch,nas_density50,room_to_run_atr
2024-05-25_to_2024-08-25,1234,SHORT,1717431300,1717432200,2024-06-03T16:30,2347.4,4606,SUPPLY,2342.74,2345.69,0.631,3,False,True,0,0.512,4,False,2.166,2.59,-0.996,1,0,False,1,reversal,BOS,13,2,67.35,16,0,NEUTRAL,0,1,1,neutral_macro,False,0,3.15,0,-0.31,1,3,1.9
2024-05-25_to_2024-08-25,1240,SHORT,1717452900,1717453800,2024-06-03T22:30,2350.55,4609,SUPPLY,2351.61,2354.7,1.596,13,False,True,0,0.133,2,False,1.648,3.82,0.548,1,0,False,-1,continuation,CHoCH,2,5,67.87,22,0,NEUTRAL,0,1,1,neutral_macro,False,0,12.25,0,-1.38,1,6,2.13
2024-05-25_to_2024-08-25,1242,SHORT,1717453800,1717454700,2024-06-03T22:45,2350.8,4609,SUPPLY,2351.61,2354.7,1.694,14,False,False,1,0.0,1,False,2.472,3.58,0.444,2,1,True,0,neutral,CHoCH,3,5,65.29,22,0,NEUTRAL,0,1,-1,neutral_macro,False,0,13.0,0,-2.08,1,7,2.4
2024-05-25_to_2024-08-25,1244,SHORT,1717456500,1717457400,2024-06-03T23:30,2350.19,4612,SUPPLY,2350.28,2352.02,1.127,1,False,True,0,0.494,2,False,1.528,3.76,0.058,1,0,False,0,neutral,CHoCH,6,5,65.8,23,0,NEUTRAL,0,1,-1,neutral_macro,False,0,13.63,0,0.0,1,8,2.44
2024-05-25_to_2024-08-25,1246,SHORT,1717457400,1717458300,2024-06-03T23:45,2350.56,4612,SUPPLY,2350.28,2352.02,1.175,2,False,True,0,0.494,3,False,1.594,3.71,-0.189,2,1,False,0,neutral,CHoCH,7,5,64.95,23,0,NEUTRAL,0,1,-1,neutral_macro,False,0,14.21,0,0.0,1,9,2.79
2024-05-25_to_2024-08-25,1250,LONG,1717494300,1717495200,2024-06-04T10:00,2332.49,4604,DEMAND,2325.69,2328.64,0.881,79,False,False,1,0.0,1,False,2.941,-3.9,1.149,1,0,False,0,neutral,CHoCH,10,6,25.16,10,1,NEUTRAL,-1,1,1,neutral_macro,False,0,0.0,0,-1.25,1,6,1.63
2024-05-25_to_2024-08-25,1252,LONG,1717496100,1717497000,2024-06-04T10:30,2331.42,4621,DEMAND,2326.68,2329.59,0.9,1,False,True,0,0.0,1,False,0.405,-3.21,0.566,1,0,False,0,neutral,CHoCH,12,6,32.58,10,1,NEUTRAL,-1,1,1,neutral_macro,False,0,0.0,0,-1.78,1,7,2.02
2024-05-25_to_2024-08-25,1254,LONG,1717501500,1717502400,2024-06-04T12:00,2328.2,4602,DEMAND,2323.13,2325.23,0.666,96,False,True,0,0.0,1,False,0.602,-4.2,0.942,1,0,False,-1,reversal,BOS,1,6,30.2,12,1,NEUTRAL,-1,1,-1,neutral_macro,False,0,0.0,0,-0.91,1,6,0.88
2024-05-25_to_2024-08-25,1260,SHORT,1717561800,1717562700,2024-06-05T04:45,2337.97,4626,SUPPLY,2335.05,2337.95,1.396,54,False,True,0,0.966,7,True,3.691,3.05,-1.405,1,0,False,1,reversal,CHoCH,10,2,70.73,4,2,NEUTRAL,0,-1,-1,neutral_macro,False,0,-5.79,0,-0.05,1,1,0.95
2024-05-25_to_2024-08-25,1273,SHORT,1717603200,1717604100,2024-06-05T16:15,2352.12,4578,SUPPLY,2356.93,2359.65,0.44,284,False,True,0,0.169,3,False,2.515,2.98,0.777,1,0,False,0,neutral,CHoCH,1,2,65.57,16,2,NEUTRAL,0,1,-1,neutral_macro,False,0,0.0,0,-0.37,1,8,2.61
2024-05-25_to_2024-08-25,1292,LONG,1717759800,1717760700,2024-06-07T11:45,2336.66,4648,DEMAND,2329.15,2332.01,0.585,170,False,True,0,0.388,4,False,2.789,-5.57,0.951,1,0,False,0,neutral,CHoCH,13,3,21.56,11,4,BULL,1,1,-1,with_macro,True,0,0.0,0,-0.36,1,4,0.27
