num,win,entry,csv_sl,cris_sl,cris_exit,csv_R,atr,sl_dem,sl_swing,sup_above,br_out,br_R,tp_reached
1,False,2354.49,2340.08,2340.08,2368.9,-1.0,2.78,2350.43,2340.02,2355.66,SL,-1.0,False
2,True,2340.64,2322.27,2322.27,2342.11,0.08,3.12,2337.79,2322.27,2342.15,TP,0.08,True
3,True,2339.43,2314.36,2314.36,2366.53,1.08,2.58,2335.77,2325.43,2342.15,TP,1.081,True
4,True,2370.3,2353.08,2353.08,2372.66,0.14,3.14,2366.56,2353.01,2371.99,TP,0.137,True
5,True,2305.87,2286.34,2286.34,2323.06,0.88,3.82,2293.53,2286.34,2310.93,TP,0.88,True
6,True,2322.16,2306.32,2306.32,2339.9,1.12,2.43,2319.02,2306.31,2322.83,TP,1.12,True
7,True,2345.17,2331.32,2331.32,2357.88,0.92,2.71,2342.05,2331.32,2345.88,TP,0.918,True
8,True,2319.41,2293.16,2293.16,2354.9,1.35,2.89,2316.73,2293.16,2319.55,TP,1.352,True
9,False,2361.55,2356.33,2356.33,2366.77,-1.0,1.2,2358.39,2356.33,2361.92,SL,-1.0,False
10,False,2360.4,2350.18,2350.18,2370.62,-1.0,2.07,2357.25,2350.18,2360.69,ambos,-1.0,False
11,True,2372.12,2348.33,2348.33,2412.75,1.71,3.96,2368.55,2348.33,2372.19,TP,1.708,True
12,True,2409.04,2391.03,2391.03,2420.76,0.65,3.15,2406.26,2391.03,2410.6,TP,0.651,True
13,True,2426.33,2419.85,2419.85,2438.0,1.8,1.39,2420.07,2419.85,2430.11,TP,1.801,True
14,False,2472.6,2465.9,2465.9,2475.85,-0.48,1.73,2466.08,2465.9,,TP,0.485,True
15,False,2413.01,2383.42,2383.42,2442.6,-1.0,1.97,2410.88,2404.6,2413.34,SL,-1.0,False
16,True,2397.36,2352.49,2352.49,2445.51,1.07,2.49,2393.37,2382.41,2397.81,TP,1.073,True
17,False,2458.69,2434.27,2434.27,2483.11,-1.0,4.53,2452.35,2434.27,2459.1,SL,-1.0,False
18,False,2455.78,2412.92,2412.92,2498.64,-1.0,5.98,2451.12,2412.92,2455.95,SL,-1.0,False
19,True,2401.06,2378.7,2378.7,2424.27,1.04,2.95,2398.0,2378.7,2401.95,TP,1.038,True
20,True,2430.61,2416.52,2416.52,2441.08,0.74,2.98,2425.31,2416.52,2431.02,TP,0.743,True
21,True,2451.99,2439.45,2439.45,2469.72,1.41,2.2,2445.89,2439.45,2454.11,TP,1.414,True
22,False,2472.94,2458.15,2458.15,2487.73,-1.0,3.03,2469.51,2458.49,2473.31,SL,-1.0,False
23,False,2477.66,2454.89,2454.89,2500.43,-1.0,2.08,2469.6,2455.06,2479.54,SL,-1.0,False
24,False,2459.81,2447.91,2447.91,2471.71,-1.0,2.33,2457.13,2447.91,2459.9,SL,-1.0,False
25,True,2466.1,2450.55,2450.55,2503.11,2.38,2.33,2462.07,2450.55,2466.8,TP,2.38,True
26,True,2502.61,2485.07,2485.07,2521.17,1.06,3.12,2498.4,2485.07,2502.77,TP,1.058,True
27,True,2496.58,2486.39,2486.39,2502.92,0.62,2.17,2490.43,2486.39,2497.04,TP,0.622,True
28,False,2524.05,2502.96,2502.96,2545.14,-1.0,3.55,2520.51,2502.96,2528.41,SL,-1.0,False
29,True,2514.11,2502.56,2502.56,2523.19,0.79,2.35,2510.19,2502.56,2514.26,TP,0.786,True
30,False,2522.41,2511.94,2511.94,2532.88,-1.0,1.92,2520.24,2512.27,2522.85,SL,-1.0,False
31,True,2503.67,2471.38,2471.38,2515.65,0.37,2.5,2501.66,2491.18,2503.85,TP,0.371,True
32,True,2520.32,2512.61,2512.61,2548.63,3.67,1.72,2518.43,2512.61,2520.61,TP,3.672,True
33,True,2562.19,2556.57,2556.57,2566.91,0.84,1.58,2556.97,2556.57,,TP,0.84,True
34,True,2575.88,2562.94,2562.94,2584.71,0.68,2.36,2563.53,2562.94,,TP,0.682,True
35,False,2584.99,2578.28,2578.28,2591.7,-1.0,1.31,2582.04,2578.28,2585.6,SL,-1.0,False
36,True,2584.33,2550.51,2550.51,2609.73,0.75,5.0,2581.67,2550.51,2584.34,TP,0.751,True
37,True,2622.25,2602.24,2602.24,2656.33,1.7,3.44,2609.9,2602.24,,TP,1.703,True
38,False,2670.02,2655.03,2655.03,2685.01,-1.0,2.15,2656.15,2655.07,,SL,-1.0,False
39,False,2668.93,2649.24,2649.24,2688.62,-1.0,2.19,2659.69,2657.72,,SL,-1.0,False
