num,win,entry,csv_sl,cris_sl,cris_exit,csv_R,atr,sl_dem,sl_swing,sup_above,br_out,br_R,tp_reached
40,True,2644.57,2626.13,2626.13,2657.02,0.68,3.66,2639.37,2626.13,2652.15,TP,0.675,True
41,False,2661.25,2654.18,2654.18,2668.32,-1.0,1.19,2658.86,2654.18,2661.29,SL,-1.0,False
42,True,2621.21,2601.49,2601.49,2642.94,1.1,2.37,2617.75,2601.54,2621.48,TP,1.102,True
43,True,2657.11,2601.41,2601.41,2708.41,0.92,3.7,2653.51,2601.41,2657.74,TP,0.921,True
44,True,2722.2,2704.5,2704.5,2733.35,0.63,3.53,2713.35,2704.5,,TP,0.63,True
45,True,2743.82,2729.29,2729.29,2749.65,0.4,2.88,2733.3,2729.24,,TP,0.401,True
46,True,2731.44,2716.68,2716.68,2739.99,0.58,3.02,2727.51,2716.68,2731.48,TP,0.579,True
47,True,2744.25,2727.55,2727.55,2776.55,1.93,3.16,2739.97,2727.55,2744.67,TP,1.934,True
48,False,2783.16,2770.69,2770.69,2795.63,-1.0,2.63,2775.85,2770.69,,SL,-1.0,False
49,False,2761.09,2744.51,2744.51,2777.67,-1.0,3.25,2749.57,2744.51,2768.83,SL,-1.0,False
50,False,2744.62,2731.53,2731.53,2757.71,-1.0,2.52,2740.07,2731.53,2744.67,SL,-1.0,False
51,True,2619.32,2536.05,2536.05,2696.51,0.93,5.16,2615.49,2536.05,2619.78,TP,0.927,True
52,True,2709.16,2683.9,2683.9,2719.69,0.42,3.57,2704.49,2683.9,2710.24,TP,0.417,True
53,False,2653.47,2610.17,2610.17,2656.33,-0.07,6.01,2644.66,2610.17,2668.94,TP,0.066,True
54,False,2642.71,2630.88,2630.88,2654.54,-1.0,2.21,2638.21,2630.88,2642.79,SL,-1.0,False
55,True,2648.51,2623.83,2623.83,2666.33,0.72,2.89,2644.95,2623.83,2648.61,TP,0.722,True
56,True,2673.76,2660.86,2660.86,2698.27,1.9,2.83,2668.35,2660.86,2686.14,TP,1.9,True
57,False,2712.57,2685.81,2685.81,2739.33,-1.0,3.58,2704.61,2690.0,2717.83,SL,-1.0,False
58,False,2644.74,2624.84,2624.84,2664.64,-1.0,2.8,2641.56,2624.84,2644.82,SL,-1.0,False
59,True,2638.6,2632.75,2632.75,2655.42,2.88,1.25,2634.89,2632.75,2638.67,TP,2.875,True
60,True,2655.98,2645.57,2645.57,2662.32,0.61,2.3,2651.92,2645.57,2656.3,TP,0.609,True
61,True,2666.59,2655.15,2655.15,2667.02,0.04,2.16,2662.57,2655.12,2667.03,TP,0.038,True
62,False,2682.7,2663.52,2663.52,2701.88,-1.0,3.57,2679.15,2663.52,2683.59,SL,-1.0,False
63,True,2679.29,2659.57,2659.57,2695.4,0.82,2.83,2675.04,2659.53,2679.4,TP,0.817,True
64,True,2701.33,2675.93,2675.93,2724.93,0.93,5.2,2696.07,2675.93,2707.75,TP,0.929,True
65,False,2751.81,2739.58,2739.58,2764.04,-1.0,2.37,2745.97,2739.58,,SL,-1.0,False
66,True,2753.93,2735.33,2735.33,2771.67,0.95,4.12,2751.29,2735.33,2754.34,TP,0.954,True
67,False,2781.88,2769.57,2769.57,2794.19,-1.0,2.57,2770.73,2769.57,,SL,-1.0,False
68,True,2753.99,2734.46,2734.46,2776.66,1.16,2.56,2751.44,2741.01,2754.34,TP,1.161,True
69,True,2785.68,2730.04,2730.04,2841.54,1.0,2.67,2775.87,2730.04,,TP,1.004,True
70,True,2847.08,2806.55,2806.55,2897.62,1.25,6.67,2841.15,2806.55,,TP,1.247,True
71,True,2902.56,2863.88,2863.88,2942.32,1.03,3.88,2899.19,2863.84,2902.71,TP,1.028,True
72,False,2946.8,2931.91,2931.91,2961.69,-1.0,2.57,2939.02,2933.61,,SL,-1.0,False
73,False,2945.47,2923.51,2923.51,2967.43,-1.0,2.11,2938.38,2937.1,2952.52,SL,-1.0,False
74,True,2940.79,2920.73,2920.73,2950.06,0.46,3.4,2936.89,2920.73,2940.9,TP,0.462,True
75,True,2899.34,2831.84,2831.84,2913.58,0.21,2.71,2890.49,2883.96,2908.49,TP,0.211,True
76,True,2919.6,2879.57,2879.57,2985.37,1.64,4.39,2916.37,2879.4,2919.87,TP,1.643,True
77,False,2998.99,2980.43,2980.43,3017.55,-1.0,3.37,2983.44,2980.42,,SL,-1.0,False
78,True,3004.22,2984.27,2984.27,3032.23,1.4,4.02,2998.99,2984.27,,TP,1.404,True
79,False,3047.27,3021.94,3021.94,3072.6,-1.0,3.99,3033.76,3028.85,,SL,-1.0,False
80,True,3025.19,2998.54,2998.54,3048.24,0.86,2.12,3021.36,3013.56,3031.07,TP,0.865,True
81,True,3055.16,2998.65,2998.65,3118.06,1.11,4.59,3048.34,2998.65,,TP,1.113,True
82,True,3132.73,3099.32,3099.32,3141.95,0.28,2.24,3120.62,3119.68,,TP,0.276,True
83,False,3111.29,3077.77,3077.77,3144.81,-1.0,5.87,3106.88,3077.77,3112,SL,-1.0,False
84,True,3060.34,2955.72,2955.72,3153.24,0.89,18.04,3052.27,2954.77,3072.93,TP,0.888,True
85,True,3194.67,3167.56,3167.56,3210.96,0.6,6.25,3167.56,3167.56,,TP,0.601,True
86,True,3225.13,3200.91,3200.91,3299.15,3.06,5.08,3215.97,3200.91,3228.15,TP,3.056,True
87,True,3321.86,3288.12,3288.12,3348.24,0.78,6.85,3296.08,3288.12,,TP,0.782,True
88,True,3369.85,3283.31,3283.31,3478.98,1.26,7.81,3340.91,3283.01,,TP,1.261,True
89,False,3348.14,3267.47,3267.47,3428.81,-1.0,15.3,3334.05,3267.47,3349.67,SL,-1.0,False
90,False,3338.1,3267.17,3267.17,3409.03,-1.0,8.09,3328.49,3267.17,3338.87,SL,-1.0,False
91,True,3271.94,3222.18,3222.18,3310.85,0.78,4.64,3259.5,3222.18,3274.56,TP,0.782,True
92,False,3336.22,3201.14,3201.14,3442.8,-0.79,5.74,3324.71,3201.1,3337.34,timeout,-0.789,False
93,True,3195.34,3119.89,3119.89,3275.62,1.06,5.45,3179.51,3119.89,3204.54,TP,1.064,True
94,True,3316.35,3274.38,3274.38,3360.33,1.05,8.57,3309.98,3274.38,3317.67,TP,1.048,True
95,True,3298.3,3244.62,3244.62,3377.59,1.48,4.94,3292.09,3265.66,3299.03,TP,1.477,True
96,True,3367.14,3332.76,3332.76,3370.58,0.1,4.35,3359.08,3345.83,3372.75,TP,0.1,True
97,True,3345.84,3292.63,3292.63,3423.15,1.45,5.88,3338.68,3292.63,3346.18,TP,1.453,True
98,False,3449.71,3428.73,3428.73,3470.69,-1.0,4.21,3428.73,3428.73,,SL,-1.0,False
99,False,3394.81,3369.97,3369.97,3419.65,-1.0,4.55,3382.95,3369.97,3394.86,SL,-1.0,False
100,False,3339.47,3311.51,3311.51,3367.43,-1.0,2.89,3332.89,3311.51,3339.71,SL,-1.0,False
101,True,3288.99,3245.64,3245.64,3346.3,1.32,4.52,3282.11,3245.9,3289.87,TP,1.322,True
102,False,3342.24,3328.06,3328.06,3356.42,-1.0,3.37,3337.43,3328.06,3343.59,SL,-1.0,False
103,True,3320.19,3281.73,3281.73,3349.61,0.77,6.77,3315.08,3281.73,3321.7,TP,0.765,True
104,False,3370.71,3353.08,3353.08,3388.34,-1.0,2.82,3365.11,3353.08,3370.95,SL,-1.0,False
105,True,3343.35,3309.29,3309.29,3395.05,1.52,3.85,3336.14,3309.29,3343.59,TP,1.518,True
106,True,3400.36,3383.11,3383.11,3428.36,1.62,2.42,3395.21,3386.22,3400.98,TP,1.623,True
107,False,3329.91,3311.52,3311.52,3348.3,-1.0,3.67,3326.71,3311.52,3330.02,SL,-1.0,False
108,False,3387.82,3357.77,3357.77,3417.87,-1.0,2.97,3384.11,3357.77,3387.91,SL,-1.0,False
109,False,3366.78,3330.26,3330.26,3403.3,-1.0,3.92,3360.89,3345.28,3367.18,SL,-1.0,False
110,True,3340.34,3323.25,3323.25,3357.23,0.35,2.52,3336.12,3323.25,3340.48,TP,0.988,True
111,True,3329.05,3311.98,3318.54,3373.24,0.62,3.16,3325.47,3311.98,3329.07,TP,4.205,True
112,True,3350.95,3311.14,3330.23,3369.18,0.46,2.8,3345.79,3311.14,3350.97,SL,-1.0,False
113,True,3377.24,3351.0,3351.0,3563.25,1.54,3.68,3371.42,3351.0,,timeout,3.802,False
114,True,3418.73,3403.96,3403.96,3560.91,1.57,2.34,3415.28,3403.93,3420.07,TP,9.626,True
115,True,3457.1,3436.69,3436.69,3560.91,0.82,3.55,3442.2,3436.69,,TP,5.086,True
116,True,3488.52,3466.68,3466.68,3560.33,2.03,2.28,3474.21,3473.83,,TP,3.288,True
117,True,3537.32,3526.05,3524.35,3573.26,2.48,3.02,3524.9,3526.05,,TP,2.771,True
118,True,3624.04,3572.0,3608.7,3670.36,1.11,10.54,3611.59,3572.0,,TP,3.02,True
119,False,3693.38,3674.16,3674.16,3712.6,-1.0,2.78,3679.83,3679.83,,SL,-1.0,False
120,True,3659.09,3631.85,3630.15,3776.76,1.0,3.25,3651.56,3631.85,3660.07,TP,4.066,True
121,True,3706.24,3685.2,3693.33,3780.19,1.81,3.07,3690.27,3685.2,,TP,5.728,True
122,False,3754.66,3737.93,3737.93,3785.22,-1.0,3.05,3742.14,3737.93,,SL,-1.0,False
123,False,3777.43,3750.2,3750.2,3804.66,-1.0,3.7,3768.71,3750.2,3778.63,SL,-1.0,False
124,False,3757.43,3729.16,3729.16,3785.7,-1.0,5.2,3751.44,3729.16,3764.01,SL,-1.0,False
125,True,3764.45,3734.03,3744.11,3865.01,1.95,3.74,3759.2,3742.51,3765.23,TP,4.944,True
126,True,3838.51,3805.76,3819.47,3868.81,0.72,6.04,3824.99,3808.62,,TP,1.591,True
127,True,3843.94,3791.97,3817.46,3879.12,0.68,11.44,3824.45,3791.97,3846.56,TP,1.329,True
128,True,3877.26,3854.21,3854.21,4047.17,2.51,4.35,3863.07,3854.21,3878.01,TP,7.371,True
129,True,3957.78,3921.73,3925.33,4047.98,0.83,6.57,3931.73,3921.73,,TP,2.78,True
130,True,4003.68,3983.85,3983.85,4054.79,1.41,4.31,3983.85,3983.85,,TP,2.577,True
131,False,4053.35,4021.94,4021.94,4084.76,-1.0,5.82,4036.75,4021.94,4054.99,SL,-1.0,False
132,True,4009.15,3945.67,3965.18,4171.67,1.44,9.82,4000.43,3945.67,4029.8,TP,3.696,True
133,True,4128.46,4090.1,4104.06,4177.42,0.69,7.9,4105.71,4090.1,,TP,2.007,True
134,True,4168.57,4088.92,4131.89,4373.09,2.15,15.8,4154.25,4088.92,4171.35,TP,5.576,True
135,True,4293.83,4217.63,4256.8,4370.35,0.82,8.84,4277.96,4244.8,4310.77,TP,2.066,True
136,False,4129.93,4009.08,4062.11,4250.78,-1.0,10.01,4112.96,4078.65,4136.32,SL,-1.0,False
137,False,4004.91,3914.05,3942.78,4117.4,-0.24,13.93,3988.11,3913.94,4009.38,SL,-1.0,False
138,True,4027.02,3965.32,3982.0,4216.31,0.78,5.07,4010.83,3997.84,4027.72,TP,4.205,True
139,True,4114.15,4073.5,4073.5,4229.59,1.9,6.85,4101.08,4073.46,4116.34,TP,2.84,True
140,False,4217.6,4179.15,4179.15,4256.05,-1.0,6.48,4204.16,4179.15,4230.07,SL,-1.0,False
141,True,4063.47,3996.61,4027.22,4126.31,0.56,7.36,4051.53,4028.26,4065.36,TP,1.734,True
142,True,4112.73,4021.6,4036.8,4253.24,0.34,6.92,4105.97,4067.73,4113.55,timeout,0.41,False
143,True,4170.55,4142.1,4142.1,4251.9,1.59,4.12,4160.99,4148.82,4178.8,TP,2.859,True
144,False,4238.71,4204.92,4204.92,4272.5,-1.0,6.35,4217.51,4204.92,,SL,-1.0,False
145,False,4220.37,4194.09,4194.09,4246.65,-1.0,5.41,4213.29,4194.09,4221.89,SL,-1.0,False
146,True,4210.37,4182.97,4182.97,4251.9,0.63,6.21,4202.64,4182.97,4211.14,TP,1.516,True
147,True,4218.48,4169.1,4169.1,4271.91,1.08,5.41,4213.29,4188.97,4219.96,TP,1.082,True
148,True,4285.78,4265.75,4265.75,4348.09,2.3,4.0,4272.16,4265.75,,TP,3.111,True
149,False,4328.99,4294.67,4294.67,4363.31,-1.0,6.55,4320.45,4294.67,4334.22,SL,-1.0,False
150,True,4325.75,4271.08,4271.08,4524.83,1.93,8.62,4318.7,4270.7,4326.45,timeout,3.007,False
151,True,4454.93,4411.29,4411.29,4543.74,0.77,8.21,4431.16,4411.29,,TP,2.035,True
152,False,4521.43,4429.63,4429.63,4613.23,-1.0,8.53,4482.47,4429.63,,SL,-1.0,False
153,False,4399.84,4348.89,4348.89,4450.79,-1.0,10.01,4358.23,4348.89,4402.83,SL,-1.0,False
154,True,4370.03,4308.64,4308.64,5230.3,0.97,10.78,4358.15,4308.64,4372.19,timeout,3.237,False
155,True,4436.61,4395.49,4395.49,4488.79,1.08,7.82,4431.08,4395.49,4458.8,TP,1.269,True
156,False,4498.46,4441.61,4441.61,4555.31,-1.0,7.73,4484.62,4441.61,4505.75,SL,-1.0,False
157,True,4469.94,4406.64,4406.64,5280.4,1.82,7.74,4458.73,4406.7,4472.87,timeout,2.055,False
158,False,4606.69,4562.41,4562.41,4746.81,-1.0,8.49,4585.15,4562.41,,SL,-1.0,False
159,True,4654.38,4535.62,4576.49,5520.89,1.68,8.1,4623.3,4580.01,,timeout,5.434,False
160,True,4854.01,4772.96,4772.96,5510.87,1.13,8.03,4838.86,4809.75,4860.99,TP,8.104,True
161,True,5021.66,4898.41,4948.97,5500.85,1.1,12.66,4969.37,4957.19,,TP,6.592,True
162,True,5326.55,5235.11,5262.53,5572.03,1.38,19.62,5266.71,5234.58,,TP,3.834,True
163,True,4948.32,4823.08,4879.46,5074.37,0.88,24.7,4912.22,4823.08,4951.77,TP,1.831,True
164,False,5070.08,4985.63,4985.63,5154.53,-1.0,12.37,5055.8,5009.88,5071.13,SL,-1.0,False
165,True,5022.28,4841.2,4952.61,5378.91,1.12,8.14,4991.54,4980.77,5022.69,timeout,1.785,False
166,False,5348.26,5219.71,5219.71,5476.81,-1.0,16.24,5219.71,5219.71,,SL,-1.0,False
167,True,5140.02,5059.89,5059.89,5225.88,1.02,15.25,5119.19,5059.89,5154.1,TP,1.072,True
168,False,4775.75,4697.09,4697.09,4854.41,-1.0,12.83,4750.36,4702.16,4786.54,SL,-1.0,False
169,True,4748.5,4699.38,4699.38,4854.23,1.83,8.84,4731.46,4699.38,4751.46,TP,2.152,True
170,False,4850.76,4643.03,4697.55,4934.68,-0.4,7.14,4833.67,4826.59,4855.38,SL,-1.0,False
