candidate_id,timestamp,old_selected,new_selected,status,old_regime,new_regime,r_label,label_source,outcome_known,classification,old_state,new_state,rsi_vs_ma,exhaustion_blocked,key_case,notes
54,2025-09-25T18:00,True,True,BOTH,BULL,BULL,6.53,rebuild_v3/trades.jsonl,yes,WINNER_PRESERVED,selected_regimeB_v3,operational_candidate,-6.62,False,#38_preserved,old trade #38 cls=KEEP
55,2025-11-09T23:00,False,True,NEW_ONLY,NO_DATA(>2026-05-25),BULL,,,no,NEW_UNKNOWN,NO_DATA(>2026-05-25),operational_candidate,0.21,False,,regime_l1_v4 admitiu; regime_B_v3=NO_DATA(>2026-05-25)
56,2025-11-27T03:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-3.92,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
57,2025-12-05T03:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,0.77,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
58,2025-12-11T19:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,13.4,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
59,2025-12-16T23:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-5.01,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
60,2026-01-15T07:00,False,True,NEW_ONLY,BULL,BULL,,,no,NEW_UNKNOWN,BULL,operational_candidate,-6.39,False,,regime_l1_v4 admitiu; regime_B_v3=BULL
61,2026-01-20T07:00,False,True,NEW_ONLY,BULL,BULL,,,no,NEW_UNKNOWN,BULL,operational_candidate,11.01,False,,regime_l1_v4 admitiu; regime_B_v3=BULL
62,2026-04-07T18:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,1.46,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
63,2026-04-10T10:00,False,True,NEW_ONLY,TRANSITION,BULL,,,no,NEW_UNKNOWN,TRANSITION,operational_candidate,-2.09,False,,regime_l1_v4 admitiu; regime_B_v3=TRANSITION
