id,ts,status,res,R,mfe,ret5,ext_ema,zone_w,dist_zone,rsi_vs_ma,atr_ratio,dow,hour,nas_shift1,in_A,in_B,in_C,in_D
2,2020-03-30T02:00,NEW_ONLY,STOP,-1.0,0.28,-0.0014,0.52,0.73,0.47,-2.84,0.0124,0,2,1.66,False,True,True,False
3,2020-06-18T02:00,BOTH,TARGET,3.0,4.04,0.0069,0.22,1.27,0.32,-0.56,0.0053,3,2,0.37,True,False,False,True
4,2020-06-19T06:00,BOTH,TIME,2.22,2.95,0.0051,0.7,1.41,0.87,2.7,0.0047,4,6,0.35,True,False,False,True
6,2020-07-30T22:00,BOTH,TARGET,3.0,4.35,0.0034,1.1,0.66,0.83,-4.3,0.0081,3,22,2.71,True,True,True,True
8,2020-09-15T22:00,BOTH,STOP,-1.0,0.84,-0.0058,0.34,1.18,0.73,-3.35,0.0052,1,22,0.63,True,False,False,True
9,2020-09-16T02:00,BOTH,STOP,-1.0,0.57,-0.0024,0.64,1.21,1.1,-1.52,0.0051,2,2,0.47,True,False,False,True
10,2020-12-06T23:00,NEW_ONLY,STOP,-1.0,0.2,-0.0024,0.91,1.17,0.42,-4.33,0.0053,6,23,0.99,False,False,False,True
11,2020-12-30T19:00,NEW_ONLY,STOP,-1.0,2.74,0.006,1.29,1.16,1.18,6.5,0.0051,2,19,1.33,True,True,True,True
12,2021-06-02T18:00,NEW_ONLY,STOP,-1.0,0.08,0.0053,0.8,1.22,0.88,2.3,0.004,2,18,1.76,True,True,True,True
14,2021-09-01T18:00,NEW_ONLY,STOP,-1.0,1.51,0.0011,0.5,1.18,0.59,-2.68,0.0039,2,18,1.67,True,True,True,True
15,2022-02-21T15:00,BOTH,TARGET,3.0,3.63,0.004,1.86,0.78,1.08,-5.99,0.0051,0,15,3.42,True,True,True,True
16,2022-05-27T06:00,NEW_ONLY,STOP,-1.0,0.32,0.005,0.84,1.11,0.91,1.98,0.0043,4,6,0.33,True,False,False,True
17,2022-05-29T22:00,NEW_ONLY,STOP,-1.0,0.44,0.0017,0.5,1.08,0.93,-0.14,0.0042,6,22,0.62,False,False,False,True
18,2022-05-30T02:00,NEW_ONLY,STOP,-1.0,0.08,0.0019,1.09,1.09,1.63,3.31,0.0042,0,2,0.56,True,False,False,True
20,2023-01-03T03:00,BOTH,TARGET,3.0,4.67,0.0142,2.95,1.12,1.06,14.6,0.0044,1,3,2.54,True,True,True,True
21,2023-01-24T19:00,BOTH,STOP,-1.0,0.44,0.0013,0.95,0.89,1.58,-0.8,0.0054,1,19,0.92,True,False,False,True
