id,ts,status,res,R,mfe,ret5,ext_ema,zone_w,dist_zone,rsi_vs_ma,atr_ratio,dow,hour,nas_shift1,in_A,in_B,in_C,in_D
24,2023-05-04T22:00,BOTH,STOP,-1.0,0.01,0.0045,2.22,0.79,0.26,3.55,0.006,3,22,3.1,True,True,True,True
26,2023-10-23T22:00,BOTH,STOP,-1.0,0.32,0.0004,1.01,0.68,0.5,-9.35,0.0052,0,22,3.84,True,True,True,True
27,2023-12-21T19:00,BOTH,STOP,-1.0,2.23,0.0043,1.34,1.1,1.15,-1.48,0.004,3,19,1.48,True,True,True,True
28,2024-01-30T19:00,NEW_ONLY,STOP,-1.0,1.66,0.0024,0.85,0.99,0.88,-1.49,0.0043,1,19,1.3,True,True,False,True
29,2024-01-31T23:00,NEW_ONLY,STOP,-1.0,0.97,0.0062,1.17,0.88,0.95,0.47,0.0048,2,23,1.88,True,True,True,True
30,2024-04-02T18:00,BOTH,TARGET,3.0,5.94,0.014,2.91,0.63,1.02,0.53,0.0064,1,18,4.62,True,True,True,True
31,2024-04-10T22:00,BOTH,TARGET,3.0,3.84,-0.0071,0.41,0.6,0.71,-11.32,0.0072,2,22,2.33,True,True,True,True
34,2024-05-14T18:00,BOTH,TARGET,3.0,3.4,0.0068,1.13,1.15,1.13,2.74,0.0048,1,18,1.75,True,True,True,True
35,2024-08-12T06:00,BOTH,TARGET,3.0,3.28,0.0066,1.74,0.79,1.21,4.23,0.0053,0,6,1.55,True,True,True,True
36,2024-08-12T10:00,BOTH,TIME,2.05,2.57,0.0097,2.34,0.88,1.3,6.03,0.0054,0,10,1.61,True,True,True,True
37,2024-10-04T02:00,BOTH,STOP,-1.0,0.01,0.0085,1.01,1.02,1.14,2.21,0.0046,4,2,1.08,True,False,False,True
38,2024-10-22T18:00,BOTH,STOP,-1.0,0.44,0.0076,2.6,1.14,0.75,0.66,0.004,1,18,4.25,True,True,True,True
39,2024-10-28T02:00,BOTH,STOP,-1.0,2.29,0.0063,0.52,1.01,0.72,-2.28,0.0045,0,2,1.44,True,True,True,True
40,2024-11-29T03:00,NEW_ONLY,STOP,-1.0,0.02,0.0067,1.33,0.95,1.05,6.64,0.0056,4,3,-0.32,True,False,False,True
41,2025-01-02T19:00,NEW_ONLY,STOP,-1.0,0.5,0.0088,2.55,0.64,0.57,18.36,0.0041,3,19,2.54,True,True,True,True
42,2025-02-12T23:00,BOTH,STOP,-1.0,1.07,0.0056,0.95,0.76,0.84,-1.28,0.0059,2,23,2.25,True,True,True,True
43,2025-02-24T19:00,BOTH,STOP,-1.0,0.04,0.004,1.03,0.93,1.21,4.35,0.005,0,19,1.29,True,True,False,True
45,2025-03-17T18:00,BOTH,TARGET,3.0,5.3,0.0034,2.03,1.07,0.61,-4.08,0.0045,0,18,3.3,True,True,True,True
46,2025-03-20T18:00,BOTH,STOP,-1.0,0.12,-0.0017,1.4,1.09,0.59,-6.46,0.0043,3,18,3.3,True,True,True,True
47,2025-04-01T22:00,BOTH,STOP,-1.0,0.99,0.0003,1.79,0.83,1.11,-12.39,0.0055,1,22,3.11,True,True,True,True
48,2025-04-15T14:00,BOTH,TARGET,3.0,7.41,0.0054,1.35,0.7,0.66,-6.95,0.0078,1,14,3.29,True,True,True,True
50,2025-07-21T02:00,BOTH,STOP,-1.0,1.98,0.0043,1.38,1.38,0.93,5.65,0.0045,0,2,0.72,True,False,False,True
51,2025-08-26T18:00,NEW_ONLY,TARGET,3.0,6.44,0.005,2.11,1.32,1.81,0.28,0.004,1,18,1.8,True,True,True,True
52,2025-08-27T18:00,BOTH,TARGET,3.0,18.0,0.0033,1.76,0.82,0.25,2.83,0.0039,2,18,1.49,True,True,True,True
53,2025-09-12T02:00,BOTH,TARGET,3.0,3.95,0.0086,1.2,0.96,0.83,0.72,0.005,4,2,2.89,True,True,True,True
54,2025-09-25T18:00,BOTH,TARGET,3.0,9.06,0.0036,0.44,0.82,0.64,-6.62,0.0059,3,18,1.32,True,True,True,True
56,2025-11-27T03:00,NEW_ONLY,TIME,1.12,2.1,-0.0006,0.89,1.1,0.52,-3.92,0.0071,3,3,1.98,True,True,True,True
57,2025-12-05T03:00,NEW_ONLY,STOP,-1.0,0.67,0.0064,0.73,1.01,0.86,0.77,0.0062,4,3,1.0,True,False,False,True
58,2025-12-11T19:00,NEW_ONLY,TARGET,3.0,4.37,0.0136,2.23,1.03,1.21,13.4,0.0062,3,19,1.31,True,True,True,True
59,2025-12-16T23:00,NEW_ONLY,TARGET,3.0,5.14,0.0059,0.65,0.75,0.65,-5.01,0.0071,1,23,1.42,True,True,True,True
60,2026-01-15T07:00,NEW_ONLY,STOP,-1.0,0.09,0.0004,0.83,0.89,0.63,-6.39,0.0071,3,7,2.27,True,True,True,True
61,2026-01-20T07:00,NEW_ONLY,TARGET,3.0,12.26,0.0129,2.57,1.04,1.17,11.01,0.0065,1,7,3.0,True,True,True,True
63,2026-04-10T10:00,NEW_ONLY,STOP,-1.0,0.25,-0.0047,0.75,0.69,0.86,-2.09,0.0104,4,10,1.54,False,True,True,False
