event_id,symbol,tf,cls_at_signal,r,bubble,nas,shapes_n
2026-05-04T20:30:07.368747+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T00:30:05.220439+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_EM_OBSERVACAO,1.68,unclear,NONE,
2026-05-05T01:15:04.895736+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_EM_OBSERVACAO,2.3,cluster_absent,NONE,0.0
2026-05-05T04:00:01.426341+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T05:00:07.568866+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-05T06:30:06.296693+00:00_PEPPERSTONE:US500_15_monitor_trendline_lta,US500,15,SETUP_EM_OBSERVACAO,2.0,unclear,NONE,
2026-05-05T12:00:08.603697+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,2.52,unclear,NONE,
2026-05-05T16:00:07.079995+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T18:00:08.897515+00:00_PEPPERSTONE:XAUUSD_240_monitor_trendline_ltb,XAUUSD,240,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T18:00:05.113937+00:00_PEPPERSTONE:XAUUSD_240_monitor_trendline_lta,XAUUSD,240,SETUP_EM_OBSERVACAO,1.71,unclear,NONE,
2026-05-05T18:45:05.432578+00:00_PEPPERSTONE:XPTUSD_15_monitor_dynamic_bb_zone,XPTUSD,15,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-05T21:00:00.769696+00:00_PEPPERSTONE:ETHUSD_240_monitor_zone,ETHUSD,240,SETUP_EM_OBSERVACAO,-1.0,cluster_absent,NONE,0.0
2026-05-06T02:00:01.466838+00:00_PEPPERSTONE:XAUUSD_240_monitor_trendline_ltb,XAUUSD,240,SETUP_EM_OBSERVACAO,-1.0,unclear,NONE,
2026-05-06T11:00:09.704694+00:00_VANTAGE:USOUSD_60_monitor_zone,USOUSD,60,NO_TRADE (max SETUP_EM_OBSERVACAO),2.0,cluster_present,NONE,
2026-05-06T12:00:14.943235+00:00_PEPPERSTONE:XAUUSD_30_monitor_dynamic_bb_zone,XAUUSD,30,SETUP_CANDIDATO_FORTE,3.23,unclear,NONE,
2026-05-06T13:00:03.762846+00:00_PEPPERSTONE:XPTUSD_60_monitor_zone,XPTUSD,60,SETUP_CANDIDATO_FORTE,-1.0,unclear,NONE,
