strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D|tgt4.0R,47,12.45,0.2649,0.404,1.84,10,-2.54,-10.62,0.18,0.75
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF1D|tgt4.0R,48,12.31,0.2565,0.375,1.62,7,-4.91,-14.01,0.18,0.77
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF_none|tgt4.0R,48,12.31,0.2565,0.375,1.62,7,-4.91,-14.01,0.18,0.77
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF_none|tgt3.0R,65,12.22,0.1879,0.385,1.44,6,-2.53,-15.41,0.24,1.02
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D|tgt3.0R,65,12.22,0.1879,0.385,1.44,6,-2.53,-15.41,0.24,1.02
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF_none|tgt4.0R,28,12.16,0.4345,0.464,2.14,3,-3.38,-9.59,0.1,0.44
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt4.0R,28,12.16,0.4345,0.464,2.14,3,-3.38,-9.59,0.1,0.44
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF1D|tgt4.0R,61,12.14,0.1991,0.361,1.52,12,-5.08,-15.13,0.23,0.97
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF_none|tgt4.0R,61,12.14,0.1991,0.361,1.52,12,-5.08,-15.13,0.23,0.97
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt3.0R,19,12.11,0.6374,0.526,2.73,3,-1.78,-6.99,0.08,0.35
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF_none|tgt2.5R,62,12.09,0.195,0.387,1.52,12,-0.16,-12.05,0.23,0.99
BTC_SWING_4H_brk_dec_b60_r12|BTCD_bull|HTF1D|tgt2.5R,62,12.09,0.195,0.387,1.52,12,-0.16,-12.05,0.23,0.99
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D+12H|tgt4.0R,39,12.02,0.3082,0.385,1.77,5,-5.38,-12.85,0.14,0.61
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF1D+12H|tgt4.0R,36,11.95,0.3321,0.444,1.9,6,-3.04,-9.91,0.13,0.58
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF1D+12H|tgt3.0R,46,11.94,0.2595,0.391,1.67,7,-2.81,-12.2,0.17,0.74
BTC_SWING_4H_brk10_b70|BTCD_bull|HTF1D+12H|tgt4.0R,55,11.87,0.2159,0.364,1.57,8,-5.35,-14.45,0.21,0.88
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF_none|tgt4.0R,42,11.86,0.2823,0.429,1.85,6,-3.14,-10.01,0.16,0.67
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF1D+12H|tgt4.0R,42,11.86,0.2823,0.429,1.85,6,-3.14,-10.01,0.16,0.67
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF1D|tgt4.0R,42,11.86,0.2823,0.429,1.85,6,-3.14,-10.01,0.16,0.67
BTC_SWING_4H_brk10_b70|no_macro|HTF1D+12H|tgt4.0R,79,11.71,0.1482,0.354,1.34,9,-6.58,-19.21,0.29,1.24
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt4.0R,25,11.66,0.4665,0.48,2.21,3,-3.88,-9.17,0.11,0.46
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt3.0R,27,11.56,0.4283,0.481,2.21,3,-2.33,-8.54,0.1,0.43
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D+12H|tgt2.0R,50,11.43,0.2287,0.46,1.77,10,1.68,-8.07,0.19,0.8
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF_none|tgt2.0R,50,11.43,0.2287,0.46,1.77,10,1.68,-8.07,0.19,0.8
BTC_SWING_4H_brk_dec_b60_r12|BTCD_strong_bull|HTF1D|tgt2.0R,50,11.43,0.2287,0.46,1.77,10,1.68,-8.07,0.19,0.8
BTC_SWING_4H_brk20_b50|BTCD_bull|HTF1D|tgt3.0R,63,11.41,0.1811,0.365,1.43,10,-3.34,-16.22,0.23,1.01
BTC_SWING_4H_brk20_b50|BTCD_bull|HTF1D+12H|tgt3.0R,63,11.41,0.1811,0.365,1.43,10,-3.34,-16.22,0.23,1.01
BTC_SWING_4H_brk20_b50|BTCD_bull|HTF_none|tgt3.0R,63,11.41,0.1811,0.365,1.43,10,-3.34,-16.22,0.23,1.01
BTC_SWING_4H_brk10_b70|BTCD_bull|HTF_none|tgt4.0R,56,11.11,0.1984,0.357,1.52,8,-6.11,-15.21,0.21,0.9
BTC_SWING_4H_brk10_b70|BTCD_bull|HTF1D|tgt4.0R,56,11.11,0.1984,0.357,1.52,8,-6.11,-15.21,0.21,0.9
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF1D+12H|tgt4.0R,10,11.1,1.1097,0.7,8.38,2,-0.26,0.0,0.04,0.18
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF_none|tgt4.0R,10,11.1,1.1097,0.7,8.38,2,-0.26,0.0,0.04,0.18
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF1D|tgt4.0R,10,11.1,1.1097,0.7,8.38,2,-0.26,0.0,0.04,0.18
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF1D|tgt3.0R,20,11.06,0.553,0.5,2.38,3,-2.83,-8.04,0.09,0.36
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF_none|tgt3.0R,20,11.06,0.553,0.5,2.38,3,-2.83,-8.04,0.09,0.36
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF1D|tgt4.0R,40,10.97,0.2742,0.375,1.66,5,-6.43,-13.9,0.15,0.63
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear|HTF_none|tgt4.0R,40,10.97,0.2742,0.375,1.66,5,-6.43,-13.9,0.15,0.63
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF1D+12H|tgt4.0R,15,10.96,0.7308,0.6,2.88,3,-2.57,-5.25,0.06,0.27
BTC_SWING_4H_brk10_b70|no_macro|HTF_none|tgt4.0R,80,10.94,0.1368,0.35,1.31,9,-7.34,-19.97,0.29,1.26
BTC_SWING_4H_brk10_b70|no_macro|HTF1D|tgt4.0R,80,10.94,0.1368,0.35,1.31,9,-7.34,-19.97,0.29,1.26
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF1D|tgt4.0R,37,10.9,0.2947,0.432,1.76,6,-4.09,-10.96,0.14,0.59
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF_none|tgt4.0R,37,10.9,0.2947,0.432,1.76,6,-4.09,-10.96,0.14,0.59
BTC_SWING_4H_brk_dec_b70_r15|no_macro|HTF1D+12H|tgt2.5R,65,10.89,0.1676,0.4,1.4,6,-1.36,-13.25,0.24,1.02
BTC_SWING_4H_brk_dec_b70_r15|DXY_bear+BTCD_bull|HTF1D+12H|tgt4.0R,27,10.87,0.4027,0.37,2.1,6,-4.67,-9.88,0.11,0.49
BTC_SWING_4H_brk_dec_b70_r15|BTCD_strong_bull|HTF1D+12H|tgt3.0R,36,10.85,0.3015,0.444,1.82,6,-3.04,-9.91,0.13,0.58
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF1D|tgt3.0R,42,10.76,0.2561,0.429,1.77,6,-3.14,-10.01,0.16,0.67
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF_none|tgt3.0R,42,10.76,0.2561,0.429,1.77,6,-3.14,-10.01,0.16,0.67
BTC_SWING_4H_brk10_b70|BTCD_strong_bull|HTF1D+12H|tgt3.0R,42,10.76,0.2561,0.429,1.77,6,-3.14,-10.01,0.16,0.67
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_bull|HTF_none|tgt4.0R,26,10.61,0.4082,0.462,1.99,3,-4.93,-10.22,0.11,0.47
BTC_SWING_4H_brk10_b70|DXY_strong_bear+BTCD_bull|HTF1D|tgt4.0R,26,10.61,0.4082,0.462,1.99,3,-4.93,-10.22,0.11,0.47
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D+12H|tgt2.5R,27,10.52,0.3896,0.481,2.1,3,-1.73,-8.54,0.1,0.43
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF1D|tgt3.0R,28,10.51,0.3755,0.464,1.99,3,-3.38,-9.59,0.1,0.44
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear|HTF_none|tgt3.0R,28,10.51,0.3755,0.464,1.99,3,-3.38,-9.59,0.1,0.44
BTC_SWING_4H_failed_breakdown|BTCD_strong_bull|HTF1D|tgt4.0R,29,10.45,0.3605,0.31,2.2,6,-6.11,-8.66,0.12,0.5
BTC_SWING_4H_brk20_b50|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt4.0R,25,10.4,0.4159,0.48,2.02,5,-5.14,-9.75,0.11,0.45
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF1D+12H|tgt3.0R,10,10.32,1.0319,0.7,7.86,2,-0.26,0.0,0.04,0.18
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF1D|tgt3.0R,10,10.32,1.0319,0.7,7.86,2,-0.26,0.0,0.04,0.18
BTC_SWING_4H_brk_dec_b70_r15|BTCD_altseason|HTF_none|tgt3.0R,10,10.32,1.0319,0.7,7.86,2,-0.26,0.0,0.04,0.18
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_strong_bull|HTF1D+12H|tgt3.0R,15,10.31,0.6874,0.6,2.77,3,-2.57,-5.25,0.06,0.27
BTC_SWING_4H_brk10_b60|BTCD_strong_bull|HTF_none|tgt3.0R,52,10.18,0.1957,0.385,1.53,10,-4.57,-13.69,0.19,0.83
BTC_SWING_4H_brk10_b60|BTCD_strong_bull|HTF1D+12H|tgt3.0R,52,10.18,0.1957,0.385,1.53,10,-4.57,-13.69,0.19,0.83
BTC_SWING_4H_brk10_b60|BTCD_strong_bull|HTF1D|tgt3.0R,52,10.18,0.1957,0.385,1.53,10,-4.57,-13.69,0.19,0.83
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF1D|tgt3.0R,48,10.12,0.2109,0.375,1.51,7,-4.63,-14.01,0.18,0.77
BTC_SWING_4H_brk_dec_b70_r15|BTCD_bull|HTF_none|tgt3.0R,48,10.12,0.2109,0.375,1.51,7,-4.63,-14.01,0.18,0.77
BTC_SWING_4H_brk_dec_b70_r15|DXY_strong_bear+BTCD_bull|HTF1D+12H|tgt2.5R,19,10.11,0.5321,0.526,2.45,3,-1.78,-6.99,0.08,0.35
BTC_SWING_4H_failed_breakdown|BTCD_bull|HTF1D|tgt4.0R,44,10.01,0.2275,0.25,1.55,12,-9.74,-18.05,0.18,0.76
