strategy,n,total_r_net,avg_r_net,win_rate,pf_net,max_losing_streak,r_no_top5_net,r_no_top10_net,trades_per_week,trades_per_month
BTC_INTRA_1H_decisive_body70+HTF1D_target2.5R,41,-0.82,-0.02,0.341,0.95,5,-11.08,-14.89,0.59,2.52
BTC_INTRA_1H_decisive_body70+HTF1D_target2.0R,41,-1.33,-0.0325,0.341,0.91,5,-11.08,-14.89,0.59,2.52
BTC_SWING_4H_+HTF1D+ADX20_target2.0R,91,-1.39,-0.0153,0.352,0.97,11,-11.14,-20.89,0.33,1.43
BTC_SWING_4H_+HTF1D+body70_target2.0R,85,-2.04,-0.024,0.353,0.95,9,-11.79,-21.54,0.31,1.34
BTC_SWING_4H_+HTF1D+12H+ADX25_target2.0R,75,-2.27,-0.0302,0.347,0.93,11,-12.02,-21.77,0.27,1.18
BTC_INTRA_1H_decisive_body60+HTF1D_target2.5R,69,-2.44,-0.0353,0.304,0.92,7,-14.69,-25.97,0.98,4.21
BTC_INTRA_1H_PULLBACK_EMA50_RSI+HTF1D_target4.0R,41,-2.85,-0.0695,0.317,0.84,6,-15.15,-17.67,0.59,2.51
BTC_SWING_4H_+HTF1D+ADX25_target2.0R,76,-3.03,-0.0398,0.342,0.91,11,-12.78,-22.53,0.28,1.19
BTC_SWING_4H_+HTF1D+HTF12H_target2.5R,110,-3.64,-0.0331,0.309,0.93,7,-15.89,-28.14,0.4,1.73
BTC_INTRA_1H_PULLBACK_EMA50_RSI+HTF1D_target3.0R,41,-4.08,-0.0996,0.317,0.77,6,-15.15,-17.67,0.59,2.51
BTC_SWING_4H_+HTF1D+HTF12H_target2.0R,113,-4.26,-0.0377,0.336,0.92,8,-14.01,-23.76,0.41,1.77
BTC_SWING_4H_base_no_HTF_target2.5R,111,-4.41,-0.0397,0.306,0.92,7,-16.66,-28.91,0.41,1.74
BTC_SWING_4H_+HTF1D_target2.5R,111,-4.41,-0.0397,0.306,0.92,7,-16.66,-28.91,0.41,1.74
BTC_INTRA_1H_PULLBACK_EMA50_RSI+HTF1D_target2.5R,41,-4.97,-0.1211,0.317,0.73,6,-15.15,-17.67,0.59,2.51
BTC_SWING_4H_+HTF1D_target2.0R,114,-5.02,-0.044,0.333,0.91,8,-14.77,-24.52,0.42,1.79
BTC_SWING_4H_base_no_HTF_target2.0R,114,-5.02,-0.044,0.333,0.91,8,-14.77,-24.52,0.42,1.79
BTC_INTRA_1H_decisive_body60+HTF1D+HTF4H_target2.0R,68,-5.33,-0.0783,0.309,0.82,7,-15.08,-24.83,0.97,4.15
BTC_INTRA_1H_PULLBACK_EMA50_RSI+HTF1D_target2.0R,41,-6.47,-0.1577,0.317,0.64,6,-15.15,-17.67,0.59,2.51
BTC_INTRA_1H_decisive_body60_target2.0R,86,-6.61,-0.0769,0.291,0.83,8,-16.36,-26.11,1.22,5.24
BTC_INTRA_1H_decisive_body60+HTF1D_target2.0R,70,-7.43,-0.1061,0.3,0.77,8,-17.18,-26.93,1.0,4.27
