bar_idx,datetime,mfe_R,capped,letrun,policy,class_ABCDE,leg,context
8878,2025-09-28,18.78,3.24,9.45,TAKE,C_bom_preservado,MACRO_BULL_LEG,PULLBACK
8893,2025-10-01,0.57,2.83,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8905,2025-10-03,13.77,3.9,3.7,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
8923,2025-10-08,0.58,0.9,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
8940,2025-10-13,4.96,0.9,-1.0,TAKE,E_residual,MACRO_BULL_LEG,PULLBACK
8966,2025-10-17,4.03,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
8978,2025-10-21,0.55,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
9007,2025-10-28,5.38,1.4,3.28,TAKE,C_bom_preservado,MACRO_BULL_LEG,BOTTOM
9081,2025-11-13,1.35,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
9105,2025-11-19,0.0,1.64,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
9199,2025-12-11,11.05,3.9,10.52,TAKE,C_bom_preservado,MACRO_RANGE,PULLBACK
9215,2025-12-16,17.05,3.9,15.93,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
9243,2025-12-22,2.79,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
9256,2025-12-26,0.72,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
9287,2026-01-05,18.9,1.64,4.38,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
9297,2026-01-06,0.15,1.97,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
9304,2026-01-08,0.3,2.45,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
9314,2026-01-09,24.93,3.16,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
9329,2026-01-14,0.21,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_BULL_LEG,PULLBACK
9345,2026-01-18,17.14,3.9,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
9368,2026-01-22,8.17,0.9,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_BULL_LEG,PULLBACK
9390,2026-01-28,3.81,-1.1,-1.0,REVIEW_RISK,E_residual,MACRO_BULL_LEG,PULLBACK
9432,2026-02-06,2.83,0.09,1.1,SKIP,C_bom_preservado,MACRO_TRANSITION,TOP
9492,2026-02-20,0.0,0.25,-1.0,REVIEW_RISK,E_residual,MACRO_CORRECTIVE_PULLBACK,PULLBACK
9504,2026-02-24,7.2,0.16,-1.0,REVIEW_RISK,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
9512,2026-02-25,5.18,0.9,-1.0,TAKE,B_bom_prejudicado_exit,MACRO_RANGE,PULLBACK
9523,2026-02-27,2.91,-1.1,-1.0,TAKE,E_residual,MACRO_RANGE,PULLBACK
9530,2026-03-02,0.87,-1.1,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
9537,2026-03-03,0.36,-0.59,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,BOTTOM
9582,2026-03-13,0.0,-1.1,-1.0,SKIP,E_residual,MACRO_BULL_LEG,TOP
9628,2026-03-25,0.15,0.5,-1.0,SKIP,E_residual,MACRO_RANGE,TOP
9646,2026-03-30,3.58,1.24,1.07,REVIEW,C_bom_preservado,MACRO_BEAR_LEG,NEUTRAL
9727,2026-04-17,0.1,-1.11,-1.0,TAKE,D_ruim_mantido,MACRO_RANGE,PULLBACK
9805,2026-05-06,1.4,-1.1,-1.0,REVIEW,E_residual,MACRO_BULL_LEG,NEUTRAL
