b,dt,conv,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,regime,macro_leg,why_low
9105,2025-11-19,2,0,0,0,0.0,1.64,1,0,BULL,MACRO_BULL_LEG,snap|sweep
9199,2025-12-11,3,0,0,0,11.05,3.9,1,1,BULL,MACRO_RANGE,sweep
9215,2025-12-16,2,0,0,0,17.05,3.9,1,1,BULL,MACRO_RANGE,snap|sweep
9243,2025-12-22,3,0,0,0,2.79,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
9256,2025-12-26,3,0,0,0,0.72,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
9287,2026-01-05,2,0,0,0,18.9,1.64,1,1,BULL,MACRO_BULL_LEG,sweep|bubble
9297,2026-01-06,2,0,0,0,0.15,1.97,1,0,BULL,MACRO_BULL_LEG,snap|sweep
9304,2026-01-08,2,0,0,0,0.3,2.45,1,0,BULL,MACRO_BULL_LEG,snap|sweep
9314,2026-01-09,3,0,0,0,24.93,3.16,1,1,BULL,MACRO_BULL_LEG,sweep
9329,2026-01-14,3,0,0,0,0.21,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
9345,2026-01-18,4,0,0,0,17.14,3.9,1,1,TRANSITION,MACRO_BULL_LEG,
9368,2026-01-22,3,0,0,0,8.17,0.9,1,0,BULL,MACRO_BULL_LEG,sweep
9390,2026-01-28,3,0,0,0,3.81,-1.1,0,0,BULL,MACRO_BULL_LEG,sweep
9432,2026-02-06,3,0,0,0,2.83,0.09,1,0,BULL,MACRO_TRANSITION,sweep
9492,2026-02-20,2,0,0,0,0.0,0.25,1,0,BULL,MACRO_CORRECTIVE_PULLBACK,sweep|bubble
9504,2026-02-24,2,0,0,0,7.2,0.16,1,0,BULL,MACRO_RANGE,snap|sweep
9512,2026-02-25,2,0,0,0,5.18,0.9,1,0,BULL,MACRO_RANGE,snap|sweep
9523,2026-02-27,3,0,0,0,2.91,-1.1,0,0,BULL,MACRO_RANGE,sweep
9530,2026-03-02,2,0,0,0,0.87,-1.1,0,0,BULL,MACRO_RANGE,snap|sweep
9537,2026-03-03,3,0,0,0,0.36,-0.59,0,0,TRANSITION,MACRO_RANGE,sweep
9582,2026-03-13,2,0,0,0,0.0,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep
9628,2026-03-25,1,1,0,0,0.15,0.5,1,0,TRANSITION,MACRO_RANGE,snap|sweep|bubble
9646,2026-03-30,2,0,0,1,3.58,1.24,1,0,TRANSITION,MACRO_BEAR_LEG,sweep|bubble
9727,2026-04-17,3,0,0,0,0.1,-1.11,0,0,TRANSITION,MACRO_RANGE,sweep
9805,2026-05-06,1,1,0,0,1.4,-1.1,0,0,TRANSITION,MACRO_BULL_LEG,snap|sweep|bubble
