bar_idx,datetime,new_pol,why,eng_pol,mfe_R,letrun,skip_winner_recovered,loser_take_cut,s_supply,s_leg,s_pullback,s_capit,s_regime,s_vol,s_bearbuy
351,2020-03-23,REVIEW,AMBIGUOUS,REVIEW,5.13,3.38,0,0,REJECTING,YOUNG_IMPULSE,BOUGHT_DIP,NONE,RANGE,IN_VALUE,NOT_BEAR
383,2020-03-31,REVIEW,AMBIGUOUS,REVIEW_RISK,0.0,-1.0,0,0,CLEAR,MID_LEG,MID,FALLING_KNIFE,BULL,REJECTED_BELOW,NOT_BEAR
391,2020-04-01,REVIEW,AMBIGUOUS,SKIP,10.4,6.4,0,0,CLEAR,MID_LEG,DEEP_RECLAIM,NONE,RANGE,IN_VALUE,NOT_BEAR
413,2020-04-07,REVIEW,AMBIGUOUS,TAKE,4.88,2.56,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,REJECTED_BELOW,NOT_BEAR
458,2020-04-17,REVIEW,AMBIGUOUS,SKIP,0.0,-1.0,0,0,REJECTING,MID_LEG,MID,FALLING_KNIFE,RANGE,REJECTED_BELOW,NOT_BEAR
493,2020-04-27,REVIEW,AMBIGUOUS,REVIEW_RISK,0.94,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,BULL,REJECTED_BELOW,NOT_BEAR
521,2020-05-04,REVIEW,AMBIGUOUS,TAKE,0.32,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
542,2020-05-07,REVIEW,AMBIGUOUS,TAKE,0.47,-1.0,0,0,REJECTING,MID_LEG,MID,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
583,2020-05-18,REVIEW,AMBIGUOUS,SKIP,1.44,-1.0,0,0,CLEAR,MID_LEG,MID,FALLING_KNIFE,RANGE,REJECTED_BELOW,NOT_BEAR
597,2020-05-20,REVIEW,AMBIGUOUS,TAKE,0.0,-1.0,0,0,REJECTING,MID_LEG,MID,FALLING_KNIFE,RANGE,IN_VALUE,NOT_BEAR
631,2020-05-28,REVIEW,AMBIGUOUS,TAKE,1.98,-1.0,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,BULL,IN_VALUE,NOT_BEAR
685,2020-06-10,REVIEW,AMBIGUOUS,TAKE,0.09,-1.0,0,0,REJECTING,MID_LEG,BOUGHT_DIP,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
702,2020-06-15,REVIEW,AMBIGUOUS,TAKE,5.67,4.75,0,0,REJECTING,MID_LEG,DEEP_RECLAIM,NONE,RANGE,ACCEPTING_ABOVE_VALUE,NOT_BEAR
766,2020-06-30,REVIEW,AMBIGUOUS,REVIEW_RISK,0.0,-1.0,0,0,CLEAR,MID_LEG,MID,NONE,BULL,IN_VALUE,NOT_BEAR
780,2020-07-02,REVIEW,AMBIGUOUS,TAKE,14.6,12.8,0,0,REJECTING,MID_LEG,MID,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
833,2020-07-15,REVIEW,AMBIGUOUS,TAKE,0.21,-1.0,0,0,CLEAR,LATE_EXTENDED,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
845,2020-07-17,REVIEW,AMBIGUOUS,TAKE,30.71,15.24,0,0,CLEAR,MID_LEG,BOUGHT_DIP,NONE,BULL,ACCEPTING_ABOVE_VALUE,NOT_BEAR
866,2020-07-23,REVIEW,AMBIGUOUS,REVIEW_RISK,12.59,4.52,0,0,CLEAR,MID_LEG,MID,NONE,BULL,IN_VALUE,NOT_BEAR
886,2020-07-28,REVIEW,AMBIGUOUS,REVIEW_RISK,4.68,-1.0,0,0,CLEAR,MID_LEG,DEEP_RECLAIM,NONE,BULL,IN_VALUE,NOT_BEAR
