candidate_id,timestamp,source,unknown_rank,demand_category,supply_category,polarity_category,quality_score_exploratory,dist_4h_supply_low_atr,dist_4h_demand_top_atr
C149,2020-02-05 03:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,3.66,0.96
C159,2020-02-06 19:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,3.17,1.31
C160,2020-02-06 23:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,3.22,1.58
C166,2020-02-09 23:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.78,1.87
C167,2020-02-10 03:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.7,0.55
C168,2020-02-10 07:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.19,1.01
C174,2020-02-11 07:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.68,0.17
C175,2020-02-11 11:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,-1,0.04,0.8
C176,2020-02-11 15:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.62,0.19
C178,2020-02-11 23:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,-1,0.84,0.19
C179,2020-02-12 03:00,fractal_3_3,UNKNOWN_NAO_LIKE_SUPPLY_PRESSURE,DEMAND_ORIGIN_OF_LEG,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,0,0.31,1.61
C180,2020-02-12 07:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_ORIGIN_OF_LEG,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,4.32,1.76
C183,2020-02-12 19:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_ORIGIN_OF_LEG,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,3,4.5,1.61
C188,2020-02-13 15:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.24,1.73
C189,2020-02-13 19:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.42,1.86
C191,2020-02-14 03:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.8,1.83
C192,2020-02-14 07:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,3,2.65,1.95
C198,2020-02-17 07:00,fractal_3_3,UNKNOWN_BOM_LIKE_DEMAND_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,2,1.79,1.1
