bar_idx,timestamp,macro_reader_leg,dspa_primary_state,dspa_secondary_state,confidence,evidence_supports,evidence_conflicts,source_layers_used,unavailable_flags,reason_code
3118,2022-01-07,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,capit_climax|bottom_turn|bub_climax_bull|smc_choch_bull,,ind_bubbles|ind_smc|macro_capit|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=capit_climax+bottom_turn+bub_climax_bull+smc_choch_bull
3126,2022-01-10,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,MARKUP_THROUGH_SUPPLY,low,demand_defended|acceptance_above,,dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above
3147,2022-01-14,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,,macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=supply_markup+momentum_strong+clean_sky+macro_phase_bullrun
3162,2022-01-18,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,med,acceptance_above|momentum_strong|macro_phase_bullrun,,dspa_F3F6|macro_momentum|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+momentum_strong+macro_phase_bullrun
3178,2022-01-21,MACRO_TRANSITION,UNKNOWN_CONFLICT,BULL_PULLBACK_CONTINUATION,low,demand_defended|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,UNKNOWN_CONFLICT<=demand_defended+structure_up+momentum_strong+macro_phase_bullrun
3190,2022-01-25,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F4|macro_momentum|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=structure_up+momentum_strong+clean_sky+macro_phase_bullrun
3219,2022-02-01,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,REVERSAL_RUNNER,med,acceptance_above|supply_markup|clean_sky,,dspa_F3F6|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+clean_sky
3238,2022-02-04,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|BOS|momentum_strong|clean_sky,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+BOS+momentum_strong
3252,2022-02-08,MACRO_TRANSITION,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+structure_up+BOS+momentum_strong
3326,2022-02-24,MACRO_TRANSITION,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|momentum_strong|macro_phase_bullrun,,dspa_F3|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+momentum_strong+macro_phase_bullrun
3443,2022-03-24,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,REVERSAL_RUNNER,med,acceptance_above|supply_markup|clean_sky,,dspa_F3F6|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+clean_sky
3474,2022-03-31,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,med,acceptance_above|supply_markup|BOS|clean_sky,rejected_at_res|risk_bad,dspa_F3F6|dspa_F4|macro_supply|prior_clean_sky,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+BOS+clean_sky
3491,2022-04-05,MACRO_CORRECTIVE_PULLBACK,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|momentum_strong|clean_sky,,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+momentum_strong+clean_sky
3509,2022-04-08,MACRO_CORRECTIVE_PULLBACK,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|BOS|clean_sky,,dspa_F3F6|dspa_F4|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+BOS+clean_sky
3622,2022-05-06,MACRO_RANGE,BEAR_PULLBACK_TRAP,LEGITIMATE_BEAR_BUY,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low
3678,2022-05-19,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|bl_refined_block,,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
3773,2022-06-10,MACRO_BULL_LEG,REVERSAL_RUNNER,BULL_PULLBACK_CONTINUATION,low,demand_defended|discount,,dspa_F5ctx|macro_demand,,REVERSAL_RUNNER<=demand_defended+discount
3799,2022-06-16,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,SUPPLY_REJECTION_TRAP,med,acceptance_above|structure_up|BOS,,dspa_F3F6|dspa_F4,,MARKUP_THROUGH_SUPPLY<=acceptance_above+structure_up+BOS
3825,2022-06-23,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|bl_refined_block,,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
3836,2022-06-26,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,LEGITIMATE_BEAR_BUY,med,supply_reject|fuel_low|bl_refined_block,flush_V,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
3929,2022-07-18,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,LEGITIMATE_BEAR_BUY,med,supply_reject|fuel_low|swept_high_reject,,dspa_F1|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+swept_high_reject
3949,2022-07-21,MACRO_BEAR_LEG,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,high,rejected_at_res|supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F3|dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low+premium
4095,2022-08-25,MACRO_TRANSITION,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,med,supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low+premium+swept_high_reject
4243,2022-09-28,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,med,demand_defended|acceptance_above|bl_refined_preserve,supply_reject,dspa_F3F6|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bl_refined_preserve
4309,2022-10-13,MACRO_TRANSITION,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,high,rejected_at_res|supply_reject|fuel_low|swept_high_reject,,dspa_F1|dspa_F3|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low+swept_high_reject
4346,2022-10-23,MACRO_TRANSITION,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,med,supply_reject|fuel_low|premium,acceptance_above,dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low+premium
4372,2022-10-28,MACRO_BULL_LEG,BEAR_PULLBACK_TRAP,MARKUP_THROUGH_SUPPLY,med,grind_down|supply_reject|fuel_low,,dspa_F2|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=grind_down+supply_reject+fuel_low
4384,2022-11-01,MACRO_RANGE,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,grind_down|supply_reject|fuel_low,sweep_low_reclaim,dspa_F2|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=grind_down+supply_reject+fuel_low
4401,2022-11-04,MACRO_RANGE,LEGITIMATE_BEAR_BUY,BEAR_PULLBACK_TRAP,med,demand_defended|acceptance_above|bottom_turn,supply_reject,dspa_F3F6|macro_demand|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bottom_turn
4429,2022-11-10,MACRO_CORRECTIVE_PULLBACK,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|structure_up|BOS|momentum_strong,,dspa_F3F6|dspa_F4|macro_momentum,,MARKUP_THROUGH_SUPPLY<=acceptance_above+structure_up+BOS+momentum_strong
4483,2022-11-23,MACRO_TRANSITION,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,high,rejected_at_res|supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F3|dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low+premium
4513,2022-11-30,MACRO_BULL_LEG,UNKNOWN_CONFLICT,SUPPLY_REJECTION_TRAP,low,supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F5ctx|macro_fuel|macro_supply,,UNKNOWN_CONFLICT<=supply_reject+fuel_low+premium+swept_high_reject
4530,2022-12-05,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,med,structure_up|momentum_strong|clean_sky,,dspa_F4|macro_momentum|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=structure_up+momentum_strong+clean_sky
4574,2022-12-15,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
4609,2022-12-22,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+structure_up+momentum_strong+clean_sky
4644,2023-01-03,MACRO_BULL_LEG,UNKNOWN_CONFLICT,BULL_PULLBACK_CONTINUATION,low,demand_defended|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,UNKNOWN_CONFLICT<=demand_defended+structure_up+momentum_strong+macro_phase_bullrun
4677,2023-01-11,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=supply_markup+structure_up+BOS+momentum_strong
4763,2023-01-31,MACRO_BULL_LEG,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,high,rejected_at_res|supply_reject|fuel_low|premium,,dspa_F3|dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low+premium
4899,2023-03-03,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,,med,demand_defended|acceptance_above|smc_choch_bull|bl_refined_preserve,momentum_strong,dspa_F3F6|ind_smc|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+smc_choch_bull+bl_refined_preserve
4908,2023-03-06,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong,,dspa_F3|dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
4918,2023-03-08,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,sweep_low_reclaim|flush_V|capit_climax|demand_defended|acceptance_above|bottom_turn|bub_climax_bull|smc_choch_bull|bl_refined_preserve,,dspa_F1|dspa_F2|dspa_F3F6|ind_bubbles|ind_smc|macro_capit|macro_demand|prior_bearleg_refined|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=sweep_low_reclaim+flush_V+capit_climax+demand_defended
4926,2023-03-09,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,BEAR_PULLBACK_TRAP,med,demand_defended|acceptance_above|bl_refined_preserve,supply_reject,dspa_F3F6|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bl_refined_preserve
4964,2023-03-20,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+momentum_strong+clean_sky
4996,2023-03-27,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,med,momentum_strong|clean_sky|macro_phase_bullrun,,macro_momentum|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=momentum_strong+clean_sky+macro_phase_bullrun
5016,2023-03-30,MACRO_BULL_LEG,UNKNOWN_CONFLICT,SUPPLY_REJECTION_TRAP,low,supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F5ctx|macro_fuel|macro_supply,,UNKNOWN_CONFLICT<=supply_reject+fuel_low+premium+swept_high_reject
5042,2023-04-06,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+structure_up+momentum_strong+clean_sky
5055,2023-04-11,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
5087,2023-04-18,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,med,acceptance_above|momentum_strong|macro_phase_bullrun,risk_bad,dspa_F3F6|macro_momentum|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+momentum_strong+macro_phase_bullrun
5103,2023-04-21,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,holding_support|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=holding_support+momentum_strong+macro_phase_bullrun
5147,2023-05-02,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|structure_up|BOS|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+structure_up+BOS+clean_sky
5165,2023-05-05,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,med,momentum_strong|clean_sky|macro_phase_bullrun,,macro_momentum|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=momentum_strong+clean_sky+macro_phase_bullrun
5296,2023-06-06,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,,low,demand_defended|bl_refined_preserve,,macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=demand_defended+bl_refined_preserve
5321,2023-06-12,MACRO_RANGE,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low
5331,2023-06-14,MACRO_RANGE,SUPPLY_REJECTION_TRAP,,low,supply_reject|fuel_low,acceptance_above,macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low
5350,2023-06-19,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,low,structure_up|clean_sky,,dspa_F4|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=structure_up+clean_sky
5414,2023-07-04,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|bl_refined_block,,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
5435,2023-07-07,MACRO_BEAR_LEG,SUPPLY_REJECTION_TRAP,LEGITIMATE_BEAR_BUY,med,rejected_at_res|premium|swept_high_reject,,dspa_F1|dspa_F3|dspa_F5ctx,,SUPPLY_REJECTION_TRAP<=rejected_at_res+premium+swept_high_reject
5478,2023-07-18,MACRO_RANGE,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,low,demand_defended|acceptance_above,momentum_strong,dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above
5530,2023-07-31,MACRO_BULL_LEG,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,med,supply_reject|fuel_low|premium,acceptance_above,dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low+premium
5555,2023-08-04,MACRO_RANGE,LEGITIMATE_BEAR_BUY,BEAR_PULLBACK_TRAP,low,sweep_low_reclaim|acceptance_above,supply_reject,dspa_F1|dspa_F3F6,,LEGITIMATE_BEAR_BUY<=sweep_low_reclaim+acceptance_above
5627,2023-08-22,MACRO_RANGE,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,high,rejected_at_res|supply_reject|fuel_low|swept_high_reject,,dspa_F1|dspa_F3|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low+swept_high_reject
5668,2023-08-31,MACRO_CORRECTIVE_PULLBACK,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,supply_markup|structure_up|momentum_strong|clean_sky,risk_bad,dspa_F4|macro_momentum|macro_supply|prior_clean_sky,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+structure_up+momentum_strong+clean_sky
5701,2023-09-07,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,flush_V|capit_climax|demand_defended|acceptance_above|bottom_turn|bub_climax_bull|smc_choch_bull|bl_refined_preserve,,dspa_F2|dspa_F3F6|ind_bubbles|ind_smc|macro_capit|macro_demand|prior_bearleg_refined|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=flush_V+capit_climax+demand_defended+acceptance_above
5724,2023-09-13,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,REVERSAL_RUNNER,low,sweep_low_reclaim|discount,risk_bad,dspa_F1|dspa_F5ctx,,STRUCTURAL_RISK_SL_PROBLEM<=sweep_low_reclaim+discount
5772,2023-09-25,MACRO_BEAR_LEG,STRUCTURAL_RISK_SL_PROBLEM,LEGITIMATE_BEAR_BUY,med,flush_V|acceptance_above|bl_refined_preserve,supply_reject|risk_bad,dspa_F2|dspa_F3F6|prior_bearleg_refined,,STRUCTURAL_RISK_SL_PROBLEM<=flush_V+acceptance_above+bl_refined_preserve
5826,2023-10-06,MACRO_TRANSITION,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,med,sweep_low_reclaim|demand_defended|acceptance_above,,dspa_F1|dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=sweep_low_reclaim+demand_defended+acceptance_above
5842,2023-10-11,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|structure_up|BOS|momentum_strong,,dspa_F3F6|dspa_F4|macro_momentum,,MARKUP_THROUGH_SUPPLY<=acceptance_above+structure_up+BOS+momentum_strong
5866,2023-10-17,MACRO_TRANSITION,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,demand_defended|acceptance_above|structure_up|momentum_strong,supply_reject,dspa_F3F6|dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+acceptance_above+structure_up+momentum_strong
5875,2023-10-18,MACRO_TRANSITION,BULL_PULLBACK_CONTINUATION,SUPPLY_REJECTION_TRAP,med,demand_defended|holding_support|structure_up|momentum_strong,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
5920,2023-10-30,MACRO_TRANSITION,UNKNOWN_CONFLICT,BULL_PULLBACK_CONTINUATION,low,demand_defended|holding_support|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,UNKNOWN_CONFLICT<=demand_defended+holding_support+structure_up+momentum_strong
5955,2023-11-07,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=supply_markup+structure_up+momentum_strong+clean_sky
5998,2023-11-16,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+structure_up+BOS+momentum_strong
6049,2023-11-29,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+BOS
6069,2023-12-04,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+structure_up+momentum_strong+clean_sky
6119,2023-12-14,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|momentum_strong|clean_sky,risk_bad,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+momentum_strong+clean_sky
6162,2023-12-26,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,supply_markup|structure_up|momentum_strong|clean_sky,,dspa_F4|macro_momentum|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=supply_markup+structure_up+momentum_strong+clean_sky
6193,2024-01-04,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,capit_climax|demand_defended|acceptance_above|bottom_turn|bub_climax_bull|smc_choch_bull,grind_down,dspa_F3F6|ind_bubbles|ind_smc|macro_capit|macro_demand|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=capit_climax+demand_defended+acceptance_above+bottom_turn
6210,2024-01-08,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,BULL_PULLBACK_CONTINUATION,med,demand_defended|holding_support|acceptance_above,supply_reject|risk_bad,dspa_F3|dspa_F3F6|macro_demand,,STRUCTURAL_RISK_SL_PROBLEM<=demand_defended+holding_support+acceptance_above
6295,2024-01-29,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,med,demand_defended|acceptance_above|bl_refined_preserve,,dspa_F3F6|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bl_refined_preserve
6362,2024-02-13,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,BEAR_PULLBACK_TRAP,med,flush_V|demand_defended|acceptance_above,supply_reject,dspa_F2|dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=flush_V+demand_defended+acceptance_above
6376,2024-02-15,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,capit_climax|demand_defended|acceptance_above|bottom_turn|bub_climax_bull|smc_choch_bull,,dspa_F3F6|ind_bubbles|ind_smc|macro_capit|macro_demand|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=capit_climax+demand_defended+acceptance_above+bottom_turn
6453,2024-03-05,MACRO_CORRECTIVE_PULLBACK,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|structure_up|BOS|momentum_strong|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+structure_up+BOS+momentum_strong
6471,2024-03-08,MACRO_CORRECTIVE_PULLBACK,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+BOS
6489,2024-03-13,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,demand_defended|acceptance_above|momentum_strong|macro_phase_bullrun,supply_reject|structure_down,dspa_F3F6|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+acceptance_above+momentum_strong+macro_phase_bullrun
6523,2024-03-21,MACRO_TRANSITION,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|BOS|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+BOS+momentum_strong
