bar_idx,timestamp,macro_reader_leg,dspa_primary_state,dspa_secondary_state,confidence,evidence_supports,evidence_conflicts,source_layers_used,unavailable_flags,reason_code
583,2020-05-18,MACRO_RANGE,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+structure_up+momentum_strong
597,2020-05-20,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,holding_support|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=holding_support+momentum_strong+macro_phase_bullrun
631,2020-05-28,MACRO_BULL_LEG,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low
685,2020-06-10,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|BOS|momentum_strong|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+BOS+momentum_strong+macro_phase_bullrun
702,2020-06-15,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,demand_defended|momentum_strong|macro_phase_bullrun,supply_reject,macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+momentum_strong+macro_phase_bullrun
766,2020-06-30,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+structure_up+momentum_strong+clean_sky
780,2020-07-02,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,med,holding_support|acceptance_above|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F3F6|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=holding_support+acceptance_above+momentum_strong+macro_phase_bullrun
833,2020-07-15,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,rejected_at_res,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+momentum_strong+clean_sky
845,2020-07-17,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+momentum_strong+clean_sky
866,2020-07-23,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|BOS|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+BOS+momentum_strong
886,2020-07-28,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,risk_bad,macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,STRUCTURAL_RISK_SL_PROBLEM<=supply_markup+momentum_strong+clean_sky+macro_phase_bullrun
901,2020-07-30,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|acceptance_above|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3F6|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+acceptance_above+structure_up+momentum_strong
919,2020-08-04,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|BOS|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+BOS
934,2020-08-07,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,supply_markup|structure_up|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F4|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=supply_markup+structure_up+momentum_strong+clean_sky
970,2020-08-17,MACRO_BULL_LEG,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,high,acceptance_above|supply_markup|structure_up|BOS|clean_sky,risk_bad,dspa_F3F6|dspa_F4|macro_supply|prior_clean_sky,,STRUCTURAL_RISK_SL_PROBLEM<=acceptance_above+supply_markup+structure_up+BOS
1027,2020-08-30,MACRO_RANGE,BULL_PULLBACK_CONTINUATION,SUPPLY_REJECTION_TRAP,med,demand_defended|holding_support|structure_up|momentum_strong,supply_reject,dspa_F3|dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
1072,2020-09-09,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,low,acceptance_above|clean_sky,,dspa_F3F6|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+clean_sky
1151,2020-09-28,MACRO_RANGE,MARKUP_THROUGH_SUPPLY,SUPPLY_REJECTION_TRAP,med,acceptance_above|supply_markup|clean_sky,,dspa_F3F6|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+clean_sky
1200,2020-10-08,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,BEAR_PULLBACK_TRAP,med,flush_V|demand_defended|acceptance_above,supply_reject,dspa_F2|dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=flush_V+demand_defended+acceptance_above
1211,2020-10-12,MACRO_CORRECTIVE_PULLBACK,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong,,dspa_F3|dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
1221,2020-10-14,MACRO_RANGE,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,grind_down|supply_reject|fuel_low,,dspa_F2|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=grind_down+supply_reject+fuel_low
1298,2020-11-02,MACRO_RANGE,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,high,supply_reject|fuel_low|rejected_at_res|swept_high_reject,,dspa_F1|dspa_F3|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+rejected_at_res+swept_high_reject
1316,2020-11-05,MACRO_BEAR_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|BOS|momentum_strong,,dspa_F3F6|dspa_F4|macro_momentum|macro_supply,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+BOS+momentum_strong
1326,2020-11-08,MACRO_CORRECTIVE_PULLBACK,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,med,supply_reject|fuel_low|premium,acceptance_above,dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low+premium
1353,2020-11-13,MACRO_TRANSITION,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,low,demand_defended|acceptance_above,,dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above
1429,2020-12-02,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,MARKUP_THROUGH_SUPPLY,med,demand_defended|acceptance_above|bl_refined_preserve,,dspa_F3F6|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bl_refined_preserve
1497,2020-12-17,MACRO_BEAR_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|bl_refined_block,,macro_fuel|macro_supply|prior_bearleg_refined,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+bl_refined_block
1522,2020-12-23,MACRO_RANGE,SUPPLY_REJECTION_TRAP,LEGITIMATE_BEAR_BUY,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low
1568,2021-01-06,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|structure_up|momentum_strong,,dspa_F3|dspa_F4|macro_demand|macro_momentum,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+structure_up+momentum_strong
1623,2021-01-20,MACRO_TRANSITION,LEGITIMATE_BEAR_BUY,,low,demand_defended|acceptance_above,,dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above
1661,2021-01-28,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,REVERSAL_RUNNER,high,flush_V|demand_defended|acceptance_above|bl_refined_preserve,,dspa_F2|dspa_F3F6|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=flush_V+demand_defended+acceptance_above+bl_refined_preserve
1761,2021-02-22,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,high,demand_defended|acceptance_above|bottom_turn|bl_refined_preserve,,dspa_F3F6|macro_demand|prior_bearleg_refined|prior_bottom_turn,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above+bottom_turn+bl_refined_preserve
1775,2021-02-24,MACRO_BEAR_LEG,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,low,supply_reject|fuel_low,,macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low
1836,2021-03-10,MACRO_BEAR_LEG,UNKNOWN_CONFLICT,BEAR_PULLBACK_TRAP,low,supply_reject|fuel_low|bl_refined_block|swept_high_reject,,dspa_F1|macro_fuel|macro_supply|prior_bearleg_refined,,UNKNOWN_CONFLICT<=supply_reject+fuel_low+bl_refined_block+swept_high_reject
1873,2021-03-18,MACRO_BEAR_LEG,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,med,flush_V|demand_defended|bl_refined_preserve,supply_reject,dspa_F2|macro_demand|prior_bearleg_refined,,LEGITIMATE_BEAR_BUY<=flush_V+demand_defended+bl_refined_preserve
1901,2021-03-25,MACRO_RANGE,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,grind_down|supply_reject|fuel_low|swept_high_reject,sweep_low_reclaim,dspa_F1|dspa_F2|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=grind_down+supply_reject+fuel_low+swept_high_reject
1941,2021-04-06,MACRO_RANGE,LEGITIMATE_BEAR_BUY,SUPPLY_REJECTION_TRAP,low,demand_defended|acceptance_above,,dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above
2034,2021-04-27,MACRO_BULL_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,med,supply_reject|fuel_low|swept_high_reject,flush_V,dspa_F1|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+swept_high_reject
2053,2021-05-02,MACRO_BULL_LEG,LEGITIMATE_BEAR_BUY,BULL_PULLBACK_CONTINUATION,med,flush_V|demand_defended|acceptance_above,supply_reject,dspa_F2|dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=flush_V+demand_defended+acceptance_above
2100,2021-05-12,MACRO_BULL_LEG,BEAR_PULLBACK_TRAP,SUPPLY_REJECTION_TRAP,high,supply_reject|fuel_low|rejected_at_res|swept_high_reject,,dspa_F1|dspa_F3|macro_fuel|macro_supply,,BEAR_PULLBACK_TRAP<=supply_reject+fuel_low+rejected_at_res+swept_high_reject
2110,2021-05-14,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,LEGITIMATE_BEAR_BUY,med,acceptance_above|momentum_strong|clean_sky,,dspa_F3F6|macro_momentum|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+momentum_strong+clean_sky
2174,2021-05-31,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|momentum_strong|clean_sky|macro_phase_bullrun,,dspa_F3F6|macro_momentum|macro_supply|prior_clean_sky|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+momentum_strong+clean_sky
2188,2021-06-02,MACRO_BULL_LEG,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,high,demand_defended|holding_support|acceptance_above|structure_up|momentum_strong|macro_phase_bullrun,supply_reject,dspa_F3|dspa_F3F6|dspa_F4|macro_demand|macro_momentum|prior_macro_phase,,BULL_PULLBACK_CONTINUATION<=demand_defended+holding_support+acceptance_above+structure_up
2204,2021-06-07,MACRO_BULL_LEG,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,med,acceptance_above|momentum_strong|macro_phase_bullrun,,dspa_F3F6|macro_momentum|prior_macro_phase,,MARKUP_THROUGH_SUPPLY<=acceptance_above+momentum_strong+macro_phase_bullrun
2222,2021-06-10,MACRO_BULL_LEG,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,med,rejected_at_res|supply_reject|fuel_low,,dspa_F3|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=rejected_at_res+supply_reject+fuel_low
2320,2021-07-02,MACRO_TRANSITION,MARKUP_THROUGH_SUPPLY,LEGITIMATE_BEAR_BUY,high,acceptance_above|supply_markup|BOS|clean_sky,,dspa_F3F6|dspa_F4|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+BOS+clean_sky
2364,2021-07-14,MACRO_CORRECTIVE_PULLBACK,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,high,acceptance_above|supply_markup|structure_up|clean_sky,,dspa_F3F6|dspa_F4|macro_supply|prior_clean_sky,,MARKUP_THROUGH_SUPPLY<=acceptance_above+supply_markup+structure_up+clean_sky
2372,2021-07-15,MACRO_CORRECTIVE_PULLBACK,SUPPLY_REJECTION_TRAP,BULL_PULLBACK_CONTINUATION,med,rejected_at_res|premium|swept_high_reject,,dspa_F1|dspa_F3|dspa_F5ctx,,SUPPLY_REJECTION_TRAP<=rejected_at_res+premium+swept_high_reject
2428,2021-07-28,MACRO_BULL_LEG,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,med,supply_reject|fuel_low|premium|swept_high_reject,acceptance_above,dspa_F1|dspa_F5ctx|macro_fuel|macro_supply,,SUPPLY_REJECTION_TRAP<=supply_reject+fuel_low+premium+swept_high_reject
2488,2021-08-11,MACRO_RANGE,LEGITIMATE_BEAR_BUY,,low,demand_defended|acceptance_above,,dspa_F3F6|macro_demand,,LEGITIMATE_BEAR_BUY<=demand_defended+acceptance_above
