plot_id,set,datetime,blocked_v3,d1_leg,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour,sup_cat,pol_cat,demand_cat,spec_supply,spec_demand,spec_volume,spec_mtf,spec_regime,spec_momentum,spec_capit,spec_fuel,spec_risk,d1_n_SH,d1_n_SL,d1_regimeB_state,d1_regimeB_combined,d1_macro_broken,d1_weekly_slope,d1_weekly_rsi,d1_daily_HH,d1_daily_HL
S23,C,2024-05-13 10:00,NO,MACRO_CORRECTIVE_PULLBACK,1.17,0.4,1.9,0.45,1.64,above,58.7,52.4,False,2.05,2.63,51.63,51.63,74.5,below,22.9,0,1,0.83,13.87,0.93,False,54.2,66.2,66.2,0,0,0,0,0.8,51.63,0,2,3,1,0,0,0,0,6,0,6,0,6,1,2.71,0.75,,1,1,1,1.16,1,1.51,1,1,1,0,1,1.36,1.22,False,-0.33,0.42,1.11,,10,0.29,1.95,1.51,2.81,demand,NORMAL_DEMAND_BASE,False,10,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,11,9,BULL,3,False,0.9776251203295535,70.93986344205621,False,False
S24,A,2024-07-03 06:00,NO,MACRO_RANGE,3.01,3.24,2.61,1.68,2.12,above,50.3,49.0,False,0.0,2.61,55.74,49.79,59.12,above,1.8,0,2,1.56,9.96,0.91,False,97.7,70.2,70.2,0,0,0,0,0.8,55.74,0,3,1,0,0,0,0,0,4,0,4,0,1,1,2.76,1.23,,1,1,1,0.87,1,0.97,1,1,0,0,1,2.65,1.06,False,1.32,1.68,0.46,,,1.3,1.53,0.97,2.86,demand,NORMAL_DEMAND_BASE,False,6,False,SUPPLY_FRESH_DANGEROUS,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_TRANSITION_RISK,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,10,11,TRANSITION,0,False,0.5897049129146874,65.6990161227865,False,True
S25,A,2024-08-15 10:00,NO,MACRO_RANGE,2.19,5.73,0.71,-1.06,1.16,above,58.0,56.6,False,2.05,0.71,54.9,47.27,65.94,below,11.0,1,0,3.21,13.89,0.92,True,57.8,69.5,72.1,1,0,0,0,1.54,54.9,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.5,0.82,,1,0,1,1.18,1,1.59,1,1,1,0,1,0.12,1.34,True,-0.9,-0.55,0.44,,5,-0.89,0.68,1.59,0.58,demand,V_REVERSAL_DEMAND,False,10,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,10,9,BULL,2,False,0.22044507817301648,71.51773775581385,False,True
S26,A,2024-09-04 06:00,NO,MACRO_RANGE,-2.76,0.84,-3.34,-1.63,-2.47,below,55.2,61.7,True,4.12,0.16,44.44,34.28,46.42,above,2.0,2,0,2.31,10.35,0.85,False,17.4,18.5,49.7,0,0,0,0,,44.44,0,0,0,0,1,0,0,0,0,1,0.0,0,0,1,4.79,1.28,,0,0,1,2.98,1,1.14,1,1,1,0,1,0.54,,True,-1.14,-0.38,1.13,,,-1.12,3.51,1.14,0.92,demand,NORMAL_DEMAND_BASE,False,6,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,PARTIAL_BULL,MACRO_BULL,STRONG_BULL_MOMENTUM,FALLING_KNIFE,low_fuel,SL_TOO_SHORT,11,9,BULL,2,False,0.4018224665467104,69.6265688123122,False,True
S27,A,2025-05-28 22:00,NO,MACRO_CORRECTIVE_PULLBACK,-3.21,-6.26,-4.28,-2.31,-1.39,below,52.3,50.8,False,4.28,0.0,35.44,35.44,54.88,below,19.4,4,0,2.44,23.18,0.8,True,15.1,58.4,48.7,0,0,0,0,,35.44,0,0,0,0,1,0,0,0,0,1,0.0,0,0,1,2.55,0.8,,0,1,1,1.39,1,1.58,1,1,1,0,1,1.77,1.13,False,-0.24,0.43,1.42,,,-0.99,1.75,1.58,2.65,demand,NORMAL_DEMAND_BASE,False,22,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_ORIGIN_OF_LEG,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,PARTIAL_BULL,MACRO_BULL,WEAK_MOMENTUM,FALLING_KNIFE,low_fuel,SL_STRUCTURAL_OK,10,10,BULL,1,False,1.1166325924137492,64.4039253215305,False,False
S28,C,2025-07-11 06:00,YES,MACRO_CORRECTIVE_PULLBACK,-0.02,-0.39,0.33,1.74,0.88,above,50.2,47.6,False,0.0,3.65,58.41,47.46,58.41,above,0.0,0,5,0.96,13.73,0.75,False,89.8,77.9,62.7,0,0,0,0,0.81,58.41,0,2,1,0,0,0,0,0,3,0,3,0,1,1,2.12,0.82,,1,1,1,1.1,1,2.22,0,1,0,0,1,1.52,1.25,False,0.4,0.91,0.66,,,0.38,1.3,2.22,2.22,demand,NORMAL_DEMAND_BASE,False,6,False,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,MTF_CONFLICT,MACRO_BULL,WEAK_MOMENTUM,NO_CAPITULATION,medium_fuel,SL_STRUCTURAL_OK,11,10,TRANSITION,1,False,0.7695780101118973,62.313012312484226,False,False
S29,A,2025-09-02 02:00,NO,MACRO_RANGE,7.07,8.42,5.81,3.26,6.03,above,73.8,56.0,False,0.27,6.5,81.34,73.44,82.05,above,0.7,1,0,0.65,16.47,1.15,False,89.1,92.2,92.2,0,0,0,0,6.08,81.34,0,0,8,1,0,0,0,0,9,0,9,0,11,1,5.4,1.06,,1,0,1,3.67,0,,0,0,0,0,0,,1.23,False,0.06,0.2,0.7,,,-0.27,4.34,,5.5,swing,TOP_EXHAUSTION,True,2,True,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY_BULLISH,DEMAND_ABSENT,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,10,11,BULL,3,False,0.2740287472976669,71.15140832706498,False,True
S30,A,2025-09-15 18:00,NO,MACRO_BULL_LEG,2.8,20.45,1.81,2.21,3.99,above,77.5,78.0,True,0.19,3.72,69.17,55.23,69.17,above,0.0,1,0,0.41,15.32,0.9,False,90.8,96.9,98.0,0,0,0,0,4.3,69.17,0,4,1,0,0,0,0,0,5,0,5,0,2,1,4.29,1.16,,1,0,1,6.81,0,,0,0,0,0,0,,0.57,False,2.37,3.1,1.93,,,-0.19,3.13,,4.39,demand,NORMAL_DEMAND_BASE,False,18,True,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,10,11,BULL,3,False,0.3743791972827738,72.90055884702193,True,True
S31,A,2025-10-01 10:00,NO,MACRO_BULL_LEG,3.99,7.94,4.69,1.76,3.63,above,84.0,77.6,False,0.57,4.69,67.8,53.57,76.2,above,0.0,1,0,0.96,27.92,1.37,False,87.4,91.7,92.1,0,0,0,0,4.5,67.8,0,0,3,6,0,0,0,0,9,0,9,0,11,1,2.86,0.66,,1,0,1,3.85,0,,0,0,0,0,0,,1.12,False,0.23,0.64,0.75,,,-0.57,2.2,,2.96,demand,NORMAL_DEMAND_BASE,False,10,False,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,10,10,BULL,2,False,0.6700509901770102,79.48162502121629,True,True
S32,A,2025-10-03 10:00,NO,MACRO_BULL_LEG,5.01,9.61,0.53,0.95,3.07,above,81.0,77.6,False,0.26,3.48,57.25,52.46,63.53,below,6.3,0,2,1.56,24.15,1.14,True,90.7,94.4,94.7,1,0,0,0,2.47,57.25,0,5,3,1,0,0,0,0,9,0,9,0,4,1,2.63,0.8,,1,1,1,3.94,0,,0,0,0,0,0,,1.07,False,1.08,1.49,0.82,,,0.76,1.84,,2.73,demand,NORMAL_DEMAND_BASE,False,10,False,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,10,10,BULL,2,False,0.6700509901770102,79.48162502121629,True,True
S34,A,2025-10-13 06:00,NO,MACRO_BULL_LEG,3.29,8.65,1.88,1.43,3.05,above,81.9,82.6,True,0.0,3.1,66.32,49.64,66.32,above,0.0,0,5,0.48,40.9,1.66,False,98.3,99.1,99.3,0,0,0,0,3.27,66.32,0,3,2,3,0,0,0,0,8,0,8,0,5,1,3.24,0.48,,1,0,1,5.75,0,,0,0,0,0,0,,0.89,False,0.34,0.75,0.81,,,0.33,2.77,,3.34,demand,NORMAL_DEMAND_BASE,False,6,False,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,9,9,BULL,1,False,0.8506313187533326,81.80008856777239,True,True
S35,A,2025-12-16 03:00,NO,MACRO_RANGE,3.31,4.55,1.87,-0.01,1.56,above,63.4,61.8,False,1.79,2.31,57.84,57.84,68.84,below,11.0,6,0,0.71,32.38,1.14,True,64.9,66.1,73.6,0,0,0,1,2.04,57.84,0,2,2,2,0,0,0,0,6,0,6,0,6,1,0.98,0.94,,1,0,1,1.13,1,1.37,1,1,1,0,1,0.81,0.94,False,-0.08,0.54,0.77,,,-0.03,0.05,1.37,1.08,demand,V_REVERSAL_DEMAND,False,3,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,10,7,BULL,2,False,1.3733804583563853,77.56905239624649,False,True
S36,A,2026-01-06 23:00,NO,MACRO_BULL_LEG,3.36,5.22,4.64,1.7,1.55,above,60.3,64.1,True,0.6,4.88,65.57,59.15,65.57,above,0.0,1,0,1.22,33.44,1.0,False,88.6,72.8,73.0,0,0,0,0,2.63,65.57,0,2,7,0,0,0,0,0,9,0,9,0,7,1,4.94,0.95,,0,0,1,2.77,1,1.35,1,1,0,0,1,0.23,0.77,False,-0.13,0.25,0.82,,,-0.64,3.99,1.35,5.04,demand,NORMAL_DEMAND_BASE,False,23,False,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_WIDE,11,5,TRANSITION,3,False,1.1821257622043917,71.75136767088152,True,True
S37,A,2026-01-08 03:00,NO,MACRO_BULL_LEG,3.21,4.36,3.06,-0.58,0.46,above,57.9,62.1,True,1.87,3.06,51.33,51.33,65.57,below,8.8,2,0,0.98,32.9,0.97,False,70.3,57.8,58.2,0,0,0,0,0.67,51.33,0,1,1,0,0,0,0,0,2,0,2,0,3,1,3.76,0.97,,0,0,1,1.13,1,1.09,1,1,1,0,1,0.67,0.82,False,-0.23,0.0,0.59,,,-0.24,2.79,1.09,3.86,demand,NORMAL_DEMAND_BASE,False,3,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,11,6,BULL,1,False,1.1821257622043917,71.75136767088152,True,True
S38,A,2026-01-09 19:00,NO,MACRO_BULL_LEG,6.1,5.98,0.79,1.54,3.3,above,60.1,61.0,True,0.0,2.64,63.08,49.36,63.08,above,0.0,0,3,0.6,29.09,0.86,False,96.4,85.6,85.6,0,0,0,0,2.0,63.08,0,3,1,0,0,0,0,0,4,0,4,0,1,1,3.53,1.09,,1,0,1,1.95,1,0.34,1,1,0,1,0,,0.56,False,1.19,1.79,1.2,,,0.48,2.44,0.34,3.63,demand,NORMAL_DEMAND_BASE,False,19,False,SUPPLY_NEAR_BUT_BROKEN,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,MARKUP_BREAKING,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,11,6,BULL,2,False,1.1821257622043917,71.75136767088152,True,True
S39,C,2026-01-22 19:00,NO,MACRO_BULL_LEG,5.94,11.57,5.0,2.59,4.6,above,73.3,67.3,False,0.0,5.0,76.57,62.11,81.41,above,4.2,0,5,0.65,53.99,1.5,False,98.9,99.1,99.3,0,0,0,0,4.91,76.57,0,0,1,8,0,0,0,0,9,0,9,0,11,1,3.35,0.6,,1,0,1,3.75,0,,0,0,0,0,0,,0.58,False,2.06,2.77,1.17,,,0.37,2.75,,3.45,demand,TOP_EXHAUSTION,True,19,False,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,10,6,BULL,3,False,1.204192301178643,79.72456895797868,True,True
T2,B,2020-01-30 23:00,NO,MACRO_RANGE,1.63,3.08,-0.91,-0.45,0.63,above,61.5,,False,1.83,1.09,50.06,50.06,63.23,below,13.2,2,0,0.74,6.51,0.91,False,49.4,61.6,69.2,0,0,0,0,0.67,50.06,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.37,0.7,,1,1,1,0.74,1,1.54,1,1,1,0,1,1.68,0.77,False,-0.19,0.05,0.52,,13,-0.22,0.67,1.54,1.47,demand,V_REVERSAL_DEMAND,False,23,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,14,13,TRANSITION,1,False,0.24430619108777824,75.83509665771517,False,True
T3,B,2020-02-25 23:00,NO,MACRO_BULL_LEG,2.04,4.73,1.16,-0.49,1.34,above,77.5,64.4,False,2.53,1.16,48.51,48.51,75.51,below,16.2,0,1,0.65,18.47,2.71,False,45.4,61.5,65.4,0,0,0,0,0.94,48.51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.39,0.33,,1,0,1,4.76,1,2.33,0,1,1,0,0,,1.27,False,0.01,0.21,0.43,,,0.27,0.06,2.33,0.49,demand,V_REVERSAL_DEMAND,False,23,False,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,13,11,BULL,3,False,0.5054408455860381,60.199585812862935,True,True
T4,B,2020-03-09 06:00,NO,MACRO_BULL_LEG,2.72,4.07,0.98,0.21,1.31,above,70.0,64.6,False,1.75,1.41,53.02,53.02,72.86,below,19.8,0,1,1.22,20.46,1.75,True,68.0,72.8,72.8,0,0,0,0,1.01,53.02,0,2,2,5,0,0,0,0,9,0,9,0,9,1,1.14,0.4,,1,1,1,2.26,0,,0,0,0,0,1,0.22,0.81,False,-0.79,0.09,1.31,,,0.1,0.74,,1.24,demand,V_REVERSAL_DEMAND,False,6,False,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,13,11,BULL,4,False,0.6064504073529768,70.53013843103304,True,True
T9,B,2020-11-13 11:00,YES,MACRO_TRANSITION,-5.45,-1.29,0.34,1.71,-0.89,below,44.0,48.8,True,0.0,3.21,46.58,40.32,46.81,above,0.2,0,1,2.34,9.27,0.83,False,35.5,35.5,35.5,0,0,0,0,,46.58,0,2,1,0,0,0,0,0,3,0,3,0,1,1,3.76,1.29,,1,0,1,0.2,1,6.93,0,0,0,1,1,1.85,1.31,False,1.3,1.76,0.82,,,1.34,2.47,6.93,3.86,demand,NORMAL_DEMAND_BASE,False,11,False,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,12,12,BEAR,-2,True,0.13537984025754116,53.441715616318,True,False
T11,B,2021-01-28 11:00,YES,MACRO_BEAR_LEG,-0.93,-5.54,0.38,0.46,0.27,above,43.2,45.5,True,0.79,1.68,43.22,36.06,44.48,below,0.9,0,2,2.82,10.36,0.83,False,56.6,72.2,42.2,0,0,0,0,,43.22,0,0,0,0,2,1,0,0,0,3,0.0,1,0,1,2.25,1.11,,1,1,1,0.84,1,9.04,0,0,0,1,1,2.49,1.5,False,1.58,1.99,0.94,,6,1.26,1.14,9.04,2.35,demand,NORMAL_DEMAND_BASE,False,11,False,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,11,12,BEAR,-3,True,-0.21810057484990794,49.98373799047563,False,False
T12,B,2021-07-14 02:00,YES,MACRO_CORRECTIVE_PULLBACK,1.37,4.18,1.32,0.84,1.59,above,51.5,44.2,False,0.12,2.56,54.41,53.1,59.14,above,4.7,0,3,0.64,8.07,0.91,False,79.7,91.6,92.0,0,0,0,0,1.08,54.41,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1.78,1.13,,1,1,1,1.86,1,5.21,0,0,0,0,1,4.09,0.79,False,0.5,0.77,0.43,,3,0.49,0.65,5.21,1.88,demand,V_REVERSAL_DEMAND,False,2,True,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_NEUTRAL,11,12,TRANSITION,1,True,0.3616902615007083,50.101702811438635,False,False
T13,C,2021-08-11 18:00,YES,MACRO_RANGE,-6.8,-5.85,-1.38,1.47,-3.3,below,24.6,43.7,True,1.43,3.33,49.4,19.85,49.4,above,0.0,1,0,0.34,8.87,1.03,False,53.4,47.2,47.2,0,0,1,0,,49.4,0,0,0,0,2,1,0,0,0,3,0.0,1,0,1,3.81,1.0,,1,0,1,0.1,1,6.2,0,0,0,0,1,2.15,0.47,False,2.02,2.52,1.86,,,-0.14,2.81,6.2,3.91,demand,NORMAL_DEMAND_BASE,False,18,True,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,12,12,BEAR,-3,True,0.049612178563807556,45.496231329570385,False,True
T14,C,2021-08-13 06:00,YES,MACRO_BEAR_LEG,-5.94,-6.48,3.54,2.24,-1.71,below,37.0,42.6,True,0.0,5.38,52.77,48.0,52.77,above,0.0,0,5,0.71,6.79,0.8,False,64.7,52.1,51.7,0,0,0,0,,52.77,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.49,1.31,,1,1,1,0.36,1,7.07,0,0,0,1,1,1.83,1.05,False,0.39,0.67,0.32,,,0.4,1.18,7.07,2.59,demand,NORMAL_DEMAND_BASE,False,6,False,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,11,13,BEAR,-1,True,0.049612178563807556,45.496231329570385,False,False
T15,B,2021-09-22 02:00,YES,MACRO_RANGE,-3.64,-4.99,3.56,2.18,-0.22,below,45.7,44.7,False,0.0,4.07,56.14,44.33,56.38,above,0.2,0,2,0.52,6.86,0.9,False,55.1,53.6,38.8,0,0,0,0,,56.14,0,2,0,0,0,0,0,0,2,0,2,0,0,1,2.89,1.19,,1,1,1,1.26,1,3.07,0,0,0,0,1,0.26,0.79,False,0.25,0.41,0.61,,,0.18,1.71,3.07,2.99,demand,NORMAL_DEMAND_BASE,False,2,True,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,14,11,BEAR,-1,True,-0.28972844202019227,42.09661528529267,False,True
T16,B,2021-11-15 23:00,NO,MACRO_RANGE,5.59,7.83,2.63,1.06,4.59,above,72.7,61.8,False,0.05,2.91,59.35,57.93,66.13,below,5.4,0,1,0.89,7.95,0.93,False,94.1,97.3,97.3,0,0,0,0,3.12,59.35,0,2,4,2,0,0,0,0,8,0,8,0,7,1,1.4,1.06,,1,1,1,3.58,1,3.34,0,0,0,0,1,1.06,0.53,False,-0.16,0.41,0.58,,,0.58,0.35,3.34,1.5,demand,V_REVERSAL_DEMAND,False,23,False,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,13,12,BULL,2,False,-0.005775650458188004,61.78599928687566,False,True
T17,B,2021-11-26 03:00,NO,MACRO_BULL_LEG,-9.23,0.84,-0.58,1.2,-4.47,below,40.3,61.2,True,1.32,2.91,46.08,23.29,46.08,above,0.0,0,2,1.43,6.57,0.73,False,25.9,23.0,23.0,0,0,1,0,,46.08,0,0,0,0,6,0,0,0,0,6,0.0,0,0,1,3.45,1.3,,1,0,1,0.71,1,8.56,0,0,0,1,1,2.09,0.58,False,1.05,1.7,1.13,,,1.07,2.14,8.56,3.55,demand,NORMAL_DEMAND_BASE,False,3,False,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,13,11,BEAR,2,True,0.05353041237491978,49.6240319053103,True,True
