plot_id,set,datetime,blocked_v3,d1_leg,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour,sup_cat,pol_cat,demand_cat,spec_supply,spec_demand,spec_volume,spec_mtf,spec_regime,spec_momentum,spec_capit,spec_fuel,spec_risk,d1_n_SH,d1_n_SL,d1_regimeB_state,d1_regimeB_combined,d1_macro_broken,d1_weekly_slope,d1_weekly_rsi,d1_daily_HH,d1_daily_HL
S13,A,2022-07-21 18:00,YES,MACRO_BEAR_LEG,0.94,-9.85,-0.09,1.31,0.33,above,22.0,24.2,True,0.09,3.73,54.01,27.92,54.01,above,0.0,0,3,0.7,9.04,0.99,False,86.8,48.4,28.0,0,0,1,0,,54.01,1,0,0,0,3,2,0,0,0,5,0.0,2,0,0,,,,0,0,1,5.09,1,1.93,1,1,0,1,1,5.3,1.71,False,2.83,4.13,2.76,,6,0.48,,1.93,1.53,swing,LATE_WIDE,False,18,True,SUPPLY_BLOCKS_TARGET,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,9,9,BEAR,-2,True,-0.6656697849668259,35.86622567570866,False,False
S14,C,2022-11-01 06:00,YES,MACRO_RANGE,1.29,-1.5,-2.06,0.18,0.25,above,41.0,43.1,True,2.27,2.08,44.4,33.76,44.4,above,0.0,0,3,1.19,8.13,0.83,False,44.5,57.6,49.9,0,0,0,0,,44.4,0,0,0,0,1,5,2,0,0,8,0.0,9,0,1,4.09,1.17,,0,0,1,0.32,1,1.11,1,1,1,0,1,2.09,0.92,False,1.02,1.49,1.45,,4,1.06,2.92,1.11,4.19,demand,NORMAL_DEMAND_BASE,False,6,False,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,DEMAND_NEUTRAL,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,11,10,BEAR,-3,True,-0.4691936913007228,41.226877291453484,False,True
S15,A,2022-11-04 02:00,NO,MACRO_RANGE,-1.25,-2.09,1.33,0.56,-0.15,below,41.2,43.6,True,0.74,2.73,44.1,29.39,44.1,above,0.0,0,4,1.65,10.17,1.06,False,57.6,52.2,52.2,1,0,0,0,,44.1,0,0,0,0,1,1,0,0,0,2,0.0,1,0,1,2.99,0.83,,1,0,1,0.18,1,0.27,1,1,1,0,1,0.11,0.58,False,1.31,1.59,0.29,,,1.3,2.17,0.27,3.09,demand,NORMAL_DEMAND_BASE,False,2,True,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,11,10,BEAR,-3,True,-0.4691936913007228,41.226877291453484,False,True
S16,A,2022-11-23 19:00,NO,MACRO_TRANSITION,-2.92,13.73,-0.5,0.82,-1.05,below,59.3,65.9,True,0.5,1.47,46.77,38.03,46.77,above,0.0,0,3,1.33,8.33,0.88,False,46.0,56.0,78.2,0,0,0,0,0.01,46.77,0,0,0,0,2,0,0,0,0,2,0.0,0,0,1,5.67,0.63,,0,0,1,4.11,1,1.36,1,1,0,0,1,0.67,0.46,False,0.68,1.47,1.06,,,0.68,5.04,1.36,2.13,swing,LATE_WIDE,False,19,False,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,DEMAND_ABSENT,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,10,10,TRANSITION,2,True,-0.15548914863712407,51.50905333202191,True,False
S17,A,2023-01-03 19:00,NO,MACRO_BULL_LEG,4.21,4.34,3.46,1.84,2.71,above,66.3,59.2,False,0.56,3.66,64.82,60.29,75.38,above,10.6,0,1,0.33,9.81,1.15,False,80.8,84.2,86.2,0,0,0,1,2.63,64.82,0,1,6,3,0,0,0,0,10,0,10,0,10,1,2.67,0.92,,1,1,1,1.68,1,0.81,1,1,1,0,1,0.58,0.42,False,0.11,0.61,1.12,,4,0.06,1.75,0.81,2.77,demand,NORMAL_DEMAND_BASE,False,19,False,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,11,11,BULL,3,False,0.48669225017661527,64.764381787986,True,True
S18,C,2023-01-11 07:00,NO,MACRO_BULL_LEG,3.37,11.58,6.06,1.95,4.73,above,68.2,63.8,False,0.0,6.27,66.03,62.25,66.47,above,0.4,0,2,0.76,7.68,0.85,False,97.0,97.9,98.2,0,0,0,0,3.49,66.03,0,7,2,0,0,0,0,0,9,0,9,0,2,1,2.22,1.06,,1,1,1,3.76,0,,0,0,0,0,1,3.86,1.28,False,0.5,0.86,1.13,,,0.53,1.16,,2.32,demand,NORMAL_DEMAND_BASE,False,7,False,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,10,10,BULL,3,False,0.6487836827052934,69.30767509929386,True,True
S19,C,2023-08-22 14:00,YES,MACRO_RANGE,-0.92,-6.23,0.34,0.74,-0.49,below,33.7,33.5,False,0.71,1.69,43.35,40.48,59.99,above,16.6,0,1,1.34,7.23,1.11,True,48.1,27.2,18.4,0,0,0,0,,43.35,1,1,0,0,1,1,0,0,1,2,0.5,3,0,1,12.22,0.63,,0,0,1,4.89,1,0.85,1,1,1,0,1,3.96,1.32,False,0.16,0.83,1.06,,1,1.02,11.59,0.85,1.89,swing,LATE_WIDE,False,14,False,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_REJECTING_RISK,DEMAND_ABSENT,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,low_fuel,SL_NEUTRAL,12,9,BEAR,-2,True,-0.24545820039007285,47.60134897388745,False,True
S20,A,2023-10-11 10:00,NO,MACRO_TRANSITION,7.66,-10.11,7.51,2.97,4.92,above,43.4,28.0,False,0.0,7.64,71.07,63.7,71.07,above,0.0,0,2,1.26,6.77,0.98,False,95.6,71.9,45.1,0,0,0,0,2.68,71.07,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2.84,0.8,,1,1,1,2.36,1,0.18,1,1,1,0,1,2.75,1.42,False,1.65,2.01,1.63,,15,0.25,2.04,0.18,2.94,demand,NORMAL_DEMAND_BASE,False,10,False,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,PARTIAL_BULL,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,11,9,TRANSITION,1,True,-0.18938395936776528,51.86891777725833,True,False
S21,C,2023-10-17 10:00,NO,MACRO_TRANSITION,6.6,1.97,4.48,2.19,5.32,above,60.0,37.5,False,0.2,5.55,71.16,67.28,72.54,below,1.4,0,3,1.23,10.65,1.43,False,95.2,96.9,96.9,0,0,0,0,4.99,71.16,0,2,7,0,0,0,0,0,9,0,9,0,9,1,1.85,0.64,,1,1,1,3.95,1,1.18,1,1,0,0,1,0.0,1.47,False,0.66,1.3,0.98,,,0.45,1.21,1.18,1.95,demand,TOP_EXHAUSTION,True,10,False,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,10,10,TRANSITION,3,True,-0.12456137625421815,58.21886326692092,True,False
S22,C,2023-11-29 03:00,NO,MACRO_RANGE,5.66,8.97,6.21,3.53,5.35,above,74.8,60.4,False,0.28,6.21,83.3,67.06,83.3,above,0.0,1,0,0.72,8.47,1.17,False,88.7,92.4,93.9,0,0,0,0,6.1,83.3,0,5,4,0,0,0,0,0,9,0,9,0,4,1,3.94,0.9,,1,0,1,4.52,0,,0,0,0,0,1,0.37,0.72,False,-0.27,0.16,0.87,,,-0.27,3.04,,4.04,demand,TOP_EXHAUSTION,True,3,False,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,high_fuel,SL_NEUTRAL,9,8,BULL,3,False,0.21494183568943886,64.7642084331184,False,True
