plot_id,set,datetime,d1_leg,regimeB_state,regimeB_combined,macro_broken,weekly_slope,weekly_rsi,spec_regime,spec_mtf,sup_cat,pol_cat,demand_cat,has_overhead,dist_supply,dist_demand,supply_broken,demand_touched,spec_supply,spec_demand,spec_volume,below_VAL,dist_POC,dist_VAL,va_width,rel_volume,trend_30,trend_90,rsi,rsi_1d,legpos90,legpos30,rise20,drop20,bear_div,spec_momentum,spec_capit,rsi_min8,sweet_spot,reclaim_body,spec_fuel,macro_state,macro_family,macro_confidence,sl_atr,sl_type,spec_risk,bear_leg_v3,clean_sky_flag,micro_residual,deep7_member,EVAL_exitype,EVAL_realR,EVAL_sl_atr
S38,A,2026-01-09,MACRO_BULL_LEG,BULL,2,False,1.182,71.751,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_NEAR_BUT_BROKEN,POLARITY_UNDER_SUPPLY_PRESSURE,DEMAND_SUPPORTING_RETEST,1,0.34,3.53,1,1,MARKUP_BREAKING,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.19,1.79,1.2,0.56,6.1,5.98,63.08,60.1,85.6,96.4,2.64,0.0,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,49.36,False,0.48,high_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,3.63,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_HELD,3.16,3.63
S39,C,2026-01-22,MACRO_BULL_LEG,BULL,3,False,1.204,79.725,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,0,,3.35,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,2.06,2.77,1.17,0.58,5.94,11.57,76.57,73.3,99.3,98.9,5.0,0.0,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,62.11,False,0.37,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,3.45,TOP_EXHAUSTION,SL_NEUTRAL,ALLOW,,NO,NO,WIN_BE,0.9,3.45
T2,B,2020-01-30,MACRO_RANGE,TRANSITION,1,False,0.244,75.835,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,1,1.54,1.37,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.19,0.05,0.52,0.77,1.63,3.08,50.06,61.5,69.2,49.4,1.09,1.83,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,50.06,False,-0.22,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,1.47,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,YES,WIN_BE,0.79,1.47
T3,B,2020-02-25,MACRO_BULL_LEG,BULL,3,False,0.505,60.2,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_PRESENT_NEUTRAL,1,2.33,0.39,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,IN_VALUE_BALANCE,False,0.01,0.21,0.43,1.27,2.04,4.73,48.51,77.5,65.4,45.4,1.16,2.53,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,48.51,False,0.27,high_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,0.49,V_REVERSAL_DEMAND,SL_TOO_SHORT,ALLOW,,NO,YES,STOP_LOSS,-1.1,0.49
T4,B,2020-03-09,MACRO_BULL_LEG,BULL,4,False,0.606,70.53,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,0,,1.14,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.79,0.09,1.31,0.81,2.72,4.07,53.02,70.0,72.8,68.0,1.41,1.75,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,53.02,True,0.1,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,1.24,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,YES,STOP_LOSS,-1.1,1.24
T9,B,2020-11-13,MACRO_TRANSITION,BEAR,-2,True,0.135,53.442,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,1,6.93,3.76,1,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.3,1.76,0.82,1.31,-5.45,-1.29,46.58,44.0,35.5,35.5,3.21,0.0,0.0,WEAK_MOMENTUM,NO_CAPITULATION,40.32,False,1.34,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,3.86,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,STOP_LOSS,-1.1,3.86
T11,B,2021-01-28,MACRO_BEAR_LEG,BEAR,-3,True,-0.218,49.984,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,1,9.04,2.25,1,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.58,1.99,0.94,1.5,-0.93,-5.54,43.22,43.2,42.2,56.6,1.68,0.79,0.0,WEAK_MOMENTUM,NO_CAPITULATION,36.06,False,1.26,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,2.35,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,STOP_LOSS,-1.1,2.35
T12,B,2021-07-14,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,True,0.362,50.102,MACRO_BROKEN_DISTRIBUTION,PARTIAL_BULL,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,5.21,1.78,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.5,0.77,0.43,0.79,1.37,4.18,54.41,51.5,92.0,79.7,2.56,0.12,0.0,WEAK_MOMENTUM,NO_CAPITULATION,53.1,False,0.49,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,1.88,V_REVERSAL_DEMAND,SL_NEUTRAL,BLOCK_CORRECTIVE_PULLBACK,,NO,NO,STOP_LOSS,-1.1,1.88
T13,C,2021-08-11,MACRO_RANGE,BEAR,-3,True,0.05,45.496,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,1,6.2,3.81,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,2.02,2.52,1.86,0.47,-6.8,-5.85,49.4,24.6,47.2,53.4,3.33,1.43,0.0,WEAK_MOMENTUM,NO_CAPITULATION,19.85,False,-0.14,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,3.91,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,SCRATCH,1.02,3.91
T14,C,2021-08-13,MACRO_BEAR_LEG,BEAR,-1,True,0.05,45.496,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,1,7.07,2.49,1,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.39,0.67,0.32,1.05,-5.94,-6.48,52.77,37.0,51.7,64.7,5.38,0.0,0.0,WEAK_MOMENTUM,NO_CAPITULATION,48.0,False,0.4,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,2.59,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_HELD,1.99,2.59
T15,B,2021-09-22,MACRO_RANGE,BEAR,-1,True,-0.29,42.097,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,3.07,2.89,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,0.25,0.41,0.61,0.79,-3.64,-4.99,56.14,45.7,38.8,55.1,4.07,0.0,0.0,WEAK_MOMENTUM,NO_CAPITULATION,44.33,False,0.18,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,2.99,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,STOP_LOSS,-1.1,2.99
T16,B,2021-11-15,MACRO_RANGE,BULL,2,False,-0.006,61.786,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,3.34,1.4,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.16,0.41,0.58,0.53,5.59,7.83,59.35,72.7,97.3,94.1,2.91,0.05,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,57.93,False,0.58,high_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,1.5,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,YES,STOP_LOSS,-1.1,1.5
T17,B,2021-11-26,MACRO_BULL_LEG,BEAR,2,True,0.054,49.624,MACRO_BROKEN_DISTRIBUTION,MTF_CONFLICT,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,1,8.56,3.45,1,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.05,1.7,1.13,0.58,-9.23,0.84,46.08,40.3,23.0,25.9,2.91,1.32,0.0,WEAK_MOMENTUM,NO_CAPITULATION,23.29,False,1.07,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,3.55,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,YES,YES,STOP_LOSS,-1.1,3.55
T18,B,2021-12-30,MACRO_TRANSITION,TRANSITION,1,True,0.096,54.927,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,1,6.56,3.84,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.92,2.45,1.41,0.41,1.69,4.81,59.96,51.8,91.5,81.5,2.87,0.5,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,40.83,False,0.12,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,3.94,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,STOP_LOSS,-1.1,3.94
T19,C,2022-01-10,MACRO_BULL_LEG,BEAR,-2,True,0.085,49.152,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,3.29,2.27,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.79,1.14,0.78,1.53,-0.19,-0.24,43.16,46.0,35.9,37.4,1.62,3.32,0.0,WEAK_MOMENTUM,NO_CAPITULATION,36.54,False,0.78,high_fuel,CORRECTIVE_BEAR_LEG,RISK,medium,2.37,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,WIN_HELD,2.02,2.37
T20,B,2022-01-25,MACRO_BULL_LEG,TRANSITION,0,False,0.165,47.219,MACRO_TRANSITION_RISK,PARTIAL_BULL,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,DEMAND_PRESENT_NEUTRAL,1,2.53,1.04,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_NEUTRAL,REJECTION_BELOW_VALUE,True,-0.37,-0.25,0.48,0.89,3.57,4.14,56.85,61.2,84.4,75.9,0.72,1.08,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,51.48,False,-0.46,medium_fuel,BULL_PULLBACK_CONTINUATION,BULL,medium,1.14,V_REVERSAL_DEMAND,SL_TOO_SHORT,ALLOW,,YES,NO,STOP_LOSS,-1.1,1.14
T23,B,2022-03-24,MACRO_BULL_LEG,TRANSITION,3,False,0.415,63.637,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,1,4.37,4.17,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.02,1.49,0.92,1.36,0.82,2.61,56.62,52.6,33.3,90.8,3.24,0.0,0.0,WEAK_MOMENTUM,NO_CAPITULATION,40.83,False,1.24,high_fuel,BULL_PULLBACK_CONTINUATION,BULL,high,4.27,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,YES,STOP_LOSS,-1.1,4.27
T24,B,2022-03-31,MACRO_RANGE,TRANSITION,3,False,0.483,58.61,MACRO_BULL,PARTIAL_BULL,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_TOO_DEEP,1,4.82,4.98,1,0,CLEAN_SKY_BULLISH,DEMAND_FRAGILE,ACCEPTANCE_ABOVE_VALUE,False,0.64,1.64,1.32,0.97,-1.79,-4.76,55.46,48.3,47.5,72.3,3.41,0.0,0.0,WEAK_MOMENTUM,NO_CAPITULATION,42.05,False,0.68,high_fuel,RANGE_MACRO_BULL_RECLAIM,BULL,medium,5.08,NORMAL_DEMAND_BASE,SL_TOO_WIDE,ALLOW,,YES,YES,SCRATCH,0.38,5.08
T25,B,2022-04-05,MACRO_CORRECTIVE_PULLBACK,BULL,2,False,0.545,60.756,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,1,5.81,2.76,1,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.23,1.61,0.76,1.16,3.59,2.0,49.95,49.4,68.5,87.2,2.27,0.3,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,41.47,False,1.3,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.86,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_CORRECTIVE_PULLBACK,,NO,NO,WIN_BE,0.9,2.86
T26,B,2022-04-08,MACRO_CORRECTIVE_PULLBACK,BULL,3,False,0.545,60.756,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,1,6.51,2.71,1,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.82,1.06,0.37,1.55,0.89,0.66,53.45,50.5,65.0,82.9,2.06,0.29,0.0,WEAK_MOMENTUM,NO_CAPITULATION,46.25,False,0.82,high_fuel,BULL_PULLBACK_CONTINUATION,BULL,high,2.81,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_CORRECTIVE_PULLBACK,,NO,NO,WIN_BE,0.9,2.81
T27,C,2022-07-18,MACRO_BEAR_LEG,BEAR,-3,True,-0.622,32.349,MACRO_BROKEN_DISTRIBUTION,BEAR_ALIGN,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,1.64,1.96,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.3,0.48,0.89,0.94,-2.2,-10.78,51.02,24.6,15.1,44.8,1.63,2.05,0.0,WEAK_MOMENTUM,NO_CAPITULATION,33.05,False,-0.31,low_fuel,BEAR_BOUNCE_RISK,RISK,high,2.06,V_REVERSAL_DEMAND,SL_NEUTRAL,BLOCK_BEAR_MARKDOWN,,NO,NO,STOP_LOSS,-1.1,2.06
T30,B,2024-01-04,MACRO_BULL_LEG,BULL,1,False,0.462,58.799,MACRO_BULL,PARTIAL_BULL,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,1,2.39,1.93,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,0.26,0.52,0.27,0.53,-1.73,5.8,39.87,51.6,64.3,28.8,1.12,2.8,0.0,WEAK_MOMENTUM,CLIMAX_RECLAIM,31.97,False,0.26,medium_fuel,CAPITULATION_RECLAIM_VALID,BULL,high,2.03,V_REVERSAL_DEMAND,SL_NEUTRAL,ALLOW,,NO,NO,STOP_LOSS,-1.1,2.03
T32,C,2024-04-11,MACRO_BULL_LEG,BULL,1,False,0.636,79.153,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,0,,2.16,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.76,1.37,0.64,1.8,3.65,11.68,56.87,74.0,95.7,90.7,1.69,0.41,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,51.16,False,0.76,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.26,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,YES,NO,STOP_LOSS,-1.1,2.26
T33,C,2024-05-09,MACRO_CORRECTIVE_PULLBACK,TRANSITION,1,False,0.978,70.94,MACRO_BULL,FULL_BULL_ALIGN,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,1.73,1.84,0,1,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.12,1.5,0.84,1.49,2.92,-4.91,46.21,49.7,33.6,86.1,1.49,0.32,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,46.21,False,1.49,low_fuel,MACRO_BULL_RUN_CONTINUATION,BULL,high,1.94,V_REVERSAL_DEMAND,SL_NEUTRAL,BLOCK_CORRECTIVE_PULLBACK,,NO,NO,WIN_HELD,1.69,1.94
T34,C,2024-06-14,MACRO_BEAR_LEG,TRANSITION,-1,False,0.899,62.335,MACRO_NEUTRAL,PARTIAL_BULL,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,3.28,2.9,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,IN_VALUE_BALANCE,False,-0.03,1.4,1.72,0.3,3.09,-0.09,59.71,43.4,45.5,83.8,2.44,0.13,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,39.75,False,-0.11,high_fuel,BULL_PULLBACK_CONTINUATION,BULL,high,3.0,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,STOP_LOSS,-1.1,3.0
T36,C,2025-03-27,MACRO_BULL_LEG,BULL,1,False,0.856,75.494,MACRO_BULL,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,0,,2.24,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,0.84,1.73,0.92,1.11,-0.13,11.3,63.45,65.8,90.1,78.0,2.64,0.0,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,47.54,False,0.82,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.34,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,WIN_BE,0.9,2.34
T40,B,2025-11-13,MACRO_RANGE,TRANSITION,3,True,1.376,72.638,MACRO_BROKEN_DISTRIBUTION,FULL_BULL_ALIGN,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,5.27,2.12,0,1,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,True,-0.62,-0.33,1.19,0.78,5.55,1.29,56.69,64.3,79.4,72.7,2.51,1.54,0.0,STRONG_BULL_MOMENTUM,NO_CAPITULATION,56.69,False,0.38,high_fuel,NO_OVERHEAD_MARKUP,BULL,high,2.22,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,ALLOW,,NO,NO,STOP_LOSS,-1.1,2.22
T42,B,2026-04-17,MACRO_RANGE,TRANSITION,-1,True,0.607,59.781,MACRO_BROKEN_DISTRIBUTION,PARTIAL_BULL,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,1,3.18,2.64,0,1,SUPPLY_FAR_NEUTRAL,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,False,1.86,2.64,1.13,1.19,2.84,13.35,67.75,51.9,95.0,89.0,2.34,0.5,0.0,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,51.03,False,-0.52,high_fuel,BULL_PULLBACK_CONTINUATION,BULL,high,2.74,NORMAL_DEMAND_BASE,SL_STRUCTURAL_OK,BLOCK_BEAR_MARKDOWN,,NO,NO,STOP_LOSS,-1.11,2.74
