episode_id,datetime,final_policy,exit,realR,macro_context,risk_sl,error_state,cause
1353,2020-11-13,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
1429,2020-12-02,SKIP_STRUCTURAL,SCRATCH,0.55,MACRO_BEAR_LEG,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
1497,2020-12-17,SKIP_STRUCTURAL,SCRATCH,1.2,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1522,2020-12-23,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
1568,2021-01-06,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
1623,2021-01-20,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,SKIP_CORRECT,ok
1661,2021-01-28,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1761,2021-02-22,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
1775,2021-02-24,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1836,2021-03-10,SKIP_STRUCTURAL,SCRATCH,0.05,MACRO_BEAR_LEG,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
1873,2021-03-18,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
1901,2021-03-25,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_RANGE,SL_TOO_SHORT,SKIP_CORRECT,risk_sl
1941,2021-04-06,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
2034,2021-04-27,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
2053,2021-05-02,TAKE_CANDIDATE,WIN_HELD,3.32,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
2100,2021-05-12,REVIEW,WIN_HELD,1.78,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_SHOULD_BE_TAKE,risk_sl|supply_lens/regime_underread
2110,2021-05-14,TAKE_CANDIDATE,WIN_HELD,1.86,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
2174,2021-05-31,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2188,2021-06-02,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2204,2021-06-07,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2222,2021-06-10,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2320,2021-07-02,REVIEW,WIN_HELD,1.47,MACRO_TRANSITION,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
2364,2021-07-14,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_OK,SKIP_CORRECT,ok
2372,2021-07-15,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
2428,2021-07-28,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_LATE_WIDE,REVIEW_CORRECT,risk_sl
2488,2021-08-11,HUMAN_VISUAL_REQUIRED,SCRATCH,1.02,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
2497,2021-08-13,SKIP_STRUCTURAL,WIN_HELD,1.99,MACRO_BEAR_LEG,SL_OK,SKIP_WRONG_CUT_WINNER,regime_overcut
2544,2021-08-25,UNKNOWN,WIN_BE,0.9,MACRO_CORRECTIVE_PULLBACK,SL_OK,RESIDUAL_ACCEPTABLE,ok
2663,2021-09-22,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
2705,2021-10-01,SKIP_STRUCTURAL,SCRATCH,1.19,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
2737,2021-10-08,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
2747,2021-10-12,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_RANGE,SL_OK,SKIP_CORRECT,ok
2859,2021-11-05,HUMAN_VISUAL_REQUIRED,SCRATCH,0.36,MACRO_RANGE,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MICRO,risk_sl|microstructure
2896,2021-11-15,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
2905,2021-11-17,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
2922,2021-11-22,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2944,2021-11-26,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
2991,2021-12-08,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
3011,2021-12-13,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
3029,2021-12-16,TAKE_CANDIDATE,SCRATCH,0.59,MACRO_RANGE,SL_TOO_WIDE,AUTO_TAKE_BAD_EXIT,risk_sl|exit_management
3070,2021-12-28,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
3085,2021-12-30,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
3102,2022-01-04,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
3118,2022-01-07,REVIEW,SCRATCH,0.99,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
3126,2022-01-10,TAKE_CANDIDATE,WIN_HELD,2.02,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
3147,2022-01-14,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MICRO,microstructure
3162,2022-01-18,REVIEW,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,REVIEW_CORRECT,ok
3178,2022-01-21,REVIEW,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,REVIEW_CORRECT,ok
3190,2022-01-25,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
3219,2022-02-01,TAKE_CANDIDATE,WIN_HELD,2.66,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
3238,2022-02-04,REVIEW,WIN_HELD,2.41,MACRO_TRANSITION,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
3252,2022-02-08,REVIEW,WIN_HELD,1.84,MACRO_TRANSITION,SL_TOO_WIDE,REVIEW_SHOULD_BE_TAKE,risk_sl|supply_lens/regime_underread
3326,2022-02-24,REVIEW,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,REVIEW_CORRECT,ok
3443,2022-03-24,REVIEW,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
3474,2022-03-31,REVIEW,SCRATCH,0.38,MACRO_RANGE,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
3491,2022-04-05,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_CORRECTIVE_PULLBACK,SL_OK,SKIP_CORRECT,ok
3509,2022-04-08,SKIP_STRUCTURAL,WIN_BE,0.9,MACRO_CORRECTIVE_PULLBACK,SL_OK,SKIP_CORRECT,ok
3622,2022-05-06,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1,MACRO_RANGE,SL_OK,HUMAN_VISUAL_REQUIRED_DUE_MACRO,macro_phase
3678,2022-05-19,SKIP_STRUCTURAL,SCRATCH,0.66,MACRO_BEAR_LEG,SL_LATE_WIDE,SKIP_CORRECT,risk_sl
3773,2022-06-10,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
3799,2022-06-16,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
3825,2022-06-23,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
3836,2022-06-26,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
3929,2022-07-18,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
3949,2022-07-21,SKIP_STRUCTURAL,WIN_HELD,3.54,MACRO_BEAR_LEG,SL_LATE_WIDE,SKIP_WRONG_CUT_WINNER,risk_sl|regime_overcut
4095,2022-08-25,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,SKIP_CORRECT,ok
4243,2022-09-28,SKIP_STRUCTURAL,SCRATCH,0.18,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
4309,2022-10-13,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_TRANSITION,SL_OK,SKIP_CORRECT,ok
4346,2022-10-23,SKIP_STRUCTURAL,SCRATCH,0.4,MACRO_TRANSITION,SL_OK,SKIP_CORRECT,ok
4372,2022-10-28,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
4384,2022-11-01,SKIP_STRUCTURAL,WIN_HELD,2.75,MACRO_RANGE,SL_TOO_WIDE,SKIP_WRONG_CUT_WINNER,risk_sl|regime_overcut
4401,2022-11-04,TAKE_CANDIDATE,WIN_HELD,2.76,MACRO_RANGE,SL_OK,AUTO_TAKE_CORRECT,ok
4429,2022-11-10,SKIP_STRUCTURAL,SCRATCH,-0.11,MACRO_CORRECTIVE_PULLBACK,SL_TOO_WIDE,SKIP_CORRECT,risk_sl
4483,2022-11-23,REVIEW,WIN_HELD,1.82,MACRO_TRANSITION,SL_LATE_WIDE,REVIEW_SHOULD_BE_TAKE,risk_sl|supply_lens/regime_underread
4513,2022-11-30,TAKE_CANDIDATE,SCRATCH,0.49,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_EXIT,exit_management
4530,2022-12-05,TAKE_CANDIDATE,WIN_HELD,1.28,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
4574,2022-12-15,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
4609,2022-12-22,TAKE_CANDIDATE,WIN_RUNNER,3.9,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
4644,2023-01-03,TAKE_CANDIDATE,WIN_HELD,2.17,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
4677,2023-01-11,TAKE_CANDIDATE,WIN_HELD,2.05,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
4763,2023-01-31,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
4899,2023-03-03,SKIP_STRUCTURAL,STOP_LOSS,-1.1,MACRO_BEAR_LEG,SL_OK,SKIP_CORRECT,ok
4908,2023-03-06,UNKNOWN,STOP_LOSS,-1.1,MACRO_CORRECTIVE_PULLBACK,SL_OK,RESIDUAL_ACCEPTABLE,ok
4918,2023-03-08,TAKE_CANDIDATE,WIN_RUNNER,3.9,MACRO_BEAR_LEG,SL_OK,AUTO_TAKE_CORRECT,ok
4926,2023-03-09,SKIP_STRUCTURAL,WIN_RUNNER,3.9,MACRO_BEAR_LEG,SL_OK,SKIP_WRONG_CUT_RUNNER,regime_overcut
4964,2023-03-20,HUMAN_VISUAL_REQUIRED,SCRATCH,-0.43,MACRO_RANGE,SL_TOO_WIDE,HUMAN_VISUAL_REQUIRED_DUE_MICRO,risk_sl|microstructure
4996,2023-03-27,REVIEW,WIN_HELD,2.51,MACRO_RANGE,SL_OK,REVIEW_SHOULD_BE_TAKE,supply_lens/regime_underread
5016,2023-03-30,TAKE_CANDIDATE,STOP_LOSS,-1.1,MACRO_BULL_LEG,SL_OK,AUTO_TAKE_BAD_CONTEXT,macro_phase
5042,2023-04-06,REVIEW,SCRATCH,-0.41,MACRO_BULL_LEG,SL_TOO_WIDE,REVIEW_CORRECT,risk_sl
