bar_idx,datetime,path_f1_swept_low_reclaim,path_f1_sweep_depth_atr,path_f1_bars_since_sweep,path_f1_swept_high_reject,path_f2_flush_state,path_f2_drop_atr,path_f2_velocity_atr_bar,path_f2_range_expansion,path_f2_consec_down,path_f2_flush_bars,path_f3_acceptance_state,path_f3_closes_above_res,path_f3_rejections_at_res,path_f3_breaks_support,path_f4_structure_state,path_f4_BOS,path_f4_CHoCH,path_f4_n_pivots_lb,path_f6_svp_state,path_f6_above_value,path_f6_below_value,path_f6_dist_poc_atr,path_f5_range_pos_4h,path_f5_range_pct_4h,path_f5_range_pos_1d,path_f5_range_pct_1d,path_f7_regime_traj,path_f7_combined_slope,path_f7_cascade_now,path_f7_macro_broken_recent,dspa_primary,dspa_secondary,eng_supply,eng_demand,eng_volume,eng_mtf,eng_regime,eng_momentum,eng_capit,eng_fuel,eng_risk,eng_macro_state,ind_context,ind_bubbles,ind_smc,ind_nas,ind_rsi,ind_indicator_confluence,macro_reader_leg,sup_cat,macro_phase,bear_leg_refined,EVAL_mfe_R,EVAL_runner,EVAL_loser,EVAL_monumental,EVAL_eng_policy
351,2020-03-23,0,0.0,-1,0,MIXED_DECLINE,1.62,0.54,0.89,0,3,ACCEPTED_ABOVE_RES,4,0,4,STRUCTURE_RANGE,1,0,3,IN_VALUE,4,0,0.27,PREMIUM,0.93,EQUILIBRIUM,0.48,REGIME_NEUTRAL,0.0,-1.0,1,SUPPLY_REJECTION_TRAP,BEAR_PULLBACK_TRAP,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,IN_VALUE_BALANCE,BEAR_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,UNKNOWN_CONFLICT,NEUTRAL,BUBBLE_NEUTRAL,SMC_NONE,NAS_NEUTRAL,RSI_NO_DIV,NEUTRAL,MACRO_TRANSITION,SUPPLY_FRESH_DANGEROUS,MACRO_BEAR_MARKDOWN,,5.13,1,0,0,REVIEW
383,2020-03-31,0,0.0,-1,0,MIXED_DECLINE,2.35,0.29,0.66,1,8,REJECTED_AT_RES,1,3,1,STRUCTURE_DOWN,0,0,5,BELOW_VALUE_REJECTED,3,5,-0.47,DISCOUNT,0.23,EQUILIBRIUM,0.62,REGIME_IMPROVING,0.5,2.0,0,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,CLEAN_SKY_BULLISH,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BROKEN_DISTRIBUTION,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_WIDE,NO_OVERHEAD_MARKUP,PULLBACK,BUBBLE_MIXED,SMC_NONE,NAS_NEUTRAL,RSI_NO_DIV,NEUTRAL,MACRO_BULL_LEG,CLEAN_SKY,MACRO_RANGE_TRANSITION,,0.0,0,1,0,REVIEW_RISK
391,2020-04-01,0,0.0,-1,0,GRIND_DOWN,4.21,0.35,0.82,0,12,HOLDING_SUPPORT,0,0,0,STRUCTURE_DOWN,0,0,3,IN_VALUE,4,7,0.1,DISCOUNT,0.22,EQUILIBRIUM,0.52,REGIME_NEUTRAL,-0.167,0.0,0,STRUCTURAL_RISK_SL_PROBLEM,REVERSAL_RUNNER,CLEAN_SKY_BULLISH,DEMAND_DEFENDED,IN_VALUE_BALANCE,MTF_CONFLICT,MACRO_BROKEN_DISTRIBUTION,WEAK_MOMENTUM,NO_CAPITULATION,high_fuel,SL_TOO_SHORT,CORRECTIVE_BEAR_LEG,TOP,BUBBLE_SELL_DISTRIBUTION,SMC_CHOCH_TOP_REVERSAL,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BEAR_CONFIRM,MACRO_RANGE,CLEAN_SKY,MACRO_RANGE_TRANSITION,,10.4,1,0,1,SKIP
413,2020-04-07,0,0.0,-1,1,MIXED_DECLINE,1.03,0.26,0.65,1,4,ACCEPTED_ABOVE_RES,7,5,1,STRUCTURE_UP,1,0,2,IN_VALUE,10,1,-0.58,PREMIUM,0.73,PREMIUM,0.87,REGIME_STABLE_BULL,0.167,3.0,0,UNKNOWN_CONFLICT,MARKUP_THROUGH_SUPPLY,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,HEALTHY_HIGH_LEGPOS,NO_CAPITULATION,low_fuel,SL_NEUTRAL,BULL_PULLBACK_CONTINUATION,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_NONE,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BULL,MACRO_RANGE,SUPPLY_NEAR_AND_REJECTING,MACRO_BULL_RUN,,4.88,0,0,0,TAKE
458,2020-04-17,1,0.41,5,0,MIXED_DECLINE,3.98,0.5,1.15,2,8,BROKE_SUPPORT,0,1,5,STRUCTURE_DOWN,0,0,2,BELOW_VALUE_REJECTED,1,7,-0.32,DISCOUNT,0.03,PREMIUM,0.78,REGIME_STABLE_BULL,-0.167,2.0,0,MARKUP_THROUGH_SUPPLY,REVERSAL_RUNNER,SUPPLY_FAR_NEUTRAL,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,FALLING_KNIFE,high_fuel,SL_NEUTRAL,CORRECTIVE_BEAR_LEG,TOP,BUBBLE_BUY_LATE,SMC_CHOCH_TOP_REVERSAL,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BEAR,MACRO_RANGE,SUPPLY_FAR_ENOUGH,MACRO_BULL_RUN,,0.0,0,1,0,SKIP
493,2020-04-27,1,0.41,0,0,MIXED_DECLINE,2.91,0.42,0.76,5,7,HOLDING_SUPPORT,0,1,1,STRUCTURE_RANGE,0,0,3,BELOW_VALUE_REJECTED,4,4,-0.86,DISCOUNT,0.21,PREMIUM,0.8,REGIME_STABLE_BULL,0.0,2.0,0,STRUCTURAL_RISK_SL_PROBLEM,BULL_PULLBACK_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_FRAGILE,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_TOO_SHORT,MACRO_BULL_RUN_CONTINUATION,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_NONE,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BULL,MACRO_BULL_LEG,SUPPLY_BLOCKS_TARGET,MACRO_BULL_RUN,,0.94,0,1,0,REVIEW_RISK
521,2020-05-04,0,0.0,-1,0,MIXED_DECLINE,4.0,0.67,1.32,0,6,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,3,ACCEPTING_ABOVE_VALUE,7,5,0.65,PREMIUM,0.72,PREMIUM,0.72,REGIME_DETERIORATING,-0.333,2.0,0,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,SUPPLY_REJECTING_RISK,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,RANGE_MACRO_BULL_RECLAIM,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_CHOCH_BULL_TRIGGER,NAS_LONG_RECENT,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_RANGE,SUPPLY_NEAR_AND_REJECTING,MACRO_BULL_RUN,,0.32,0,1,0,TAKE
542,2020-05-07,0,0.0,-1,0,MIXED_DECLINE,2.81,0.4,0.97,1,7,ACCEPTED_ABOVE_RES,2,0,0,STRUCTURE_DOWN,0,0,3,ACCEPTING_ABOVE_VALUE,7,4,2.17,PREMIUM,0.85,PREMIUM,0.71,REGIME_STABLE_BULL,0.0,1.0,0,MARKUP_THROUGH_SUPPLY,BULL_PULLBACK_CONTINUATION,SUPPLY_BLOCKS_TARGET,DEMAND_DEFENDED,ACCEPTANCE_ABOVE_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,low_fuel,SL_STRUCTURAL_OK,MACRO_BULL_RUN_CONTINUATION,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_CHOCH_BULL_TRIGGER,NAS_NEUTRAL,RSI_NO_DIV,STRONG_BULL_CONFIRM,MACRO_RANGE,SUPPLY_BLOCKS_TARGET,MACRO_BULL_RUN,,0.47,0,1,0,TAKE
583,2020-05-18,0,0.0,-1,1,NO_FLUSH,0.73,0.06,1.33,3,12,ACCEPTED_ABOVE_RES,6,3,0,STRUCTURE_UP,0,0,1,BELOW_VALUE_REJECTED,10,3,-2.23,EQUILIBRIUM,0.43,PREMIUM,0.69,REGIME_IMPROVING,0.333,3.0,0,STRUCTURAL_RISK_SL_PROBLEM,MARKUP_THROUGH_SUPPLY,CLEAN_SKY_BULLISH,DEMAND_ABSENT,REJECTION_BELOW_VALUE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,FALLING_KNIFE,high_fuel,SL_TOO_WIDE,CORRECTIVE_BEAR_LEG,TOP,BUBBLE_BUY_LATE,SMC_BOS_LATE,NAS_NEUTRAL,RSI_NO_DIV,NEUTRAL,MACRO_RANGE,CLEAN_SKY,MACRO_BULL_RUN,,1.44,0,1,0,SKIP
597,2020-05-20,0,0.0,-1,0,MIXED_DECLINE,4.85,0.97,0.86,3,5,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,3,IN_VALUE,6,3,-0.19,EQUILIBRIUM,0.46,PREMIUM,0.78,REGIME_STABLE_BULL,0.0,2.0,0,BULL_PULLBACK_CONTINUATION,MARKUP_THROUGH_SUPPLY,SUPPLY_REJECTING_RISK,DEMAND_NEUTRAL,IN_VALUE_BALANCE,FULL_BULL_ALIGN,MACRO_BULL,STRONG_BULL_MOMENTUM,NO_CAPITULATION,high_fuel,SL_STRUCTURAL_OK,BULL_PULLBACK_CONTINUATION,PULLBACK,BUBBLE_BUY_ACCUM_PULLBACK,SMC_NONE,NAS_NEUTRAL,RSI_NO_DIV,WEAK_BULL,MACRO_RANGE,SUPPLY_NEAR_AND_REJECTING,MACRO_BULL_RUN,,0.0,0,1,0,TAKE
