episode_first_idx,candidate_id,timestamp,n_candidates_in_episode,outcome_R_2R,outcome_how,dist_supply_low_atr,demand_category,supply_category,polarity_category,reclass,near_BOM_12b,dense_leg,buckets
8200,C8200,2025-04-22 18:00,5,-1.0,stop,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT
8216,C8216,2025-04-25 10:00,3,2.0,target,1.59,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNCLASSIFIED
8236,C8236,2025-04-30 18:00,20,-1.0,stop,1.69,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,1,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
8277,C8277,2025-05-09 14:00,1,-1.0,stop,1.36,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNKNOWN_SINGLE_CLEAN_SIGNAL
8338,C8338,2025-05-23 18:00,2,-1.0,stop,1.3,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
8357,C8357,2025-05-28 22:00,3,2.0,target,1.58,DEMAND_ORIGIN_OF_LEG,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike
8371,C8371,2025-06-02 06:00,18,0.8,time,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
8403,C8403,2025-06-09 14:00,12,2.0,target,2.1,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8431,C8431,2025-06-16 06:00,13,-1.0,stop,3.05,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8460,C8460,2025-06-23 02:00,2,-1.0,stop,1.02,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL
8479,C8479,2025-06-26 06:00,1,-1.0,stop,1.65,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
8497,C8497,2025-07-01 06:00,11,0.01,time,1.14,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8544,C8544,2025-07-11 06:00,23,2.0,target,2.22,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8589,C8589,2025-07-22 18:00,14,-1.0,stop,0.1,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,NA,0,1,UNKNOWN_LOW_OUTCOME_NAOlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
8622,C8622,2025-07-30 06:00,1,-1.0,stop,6.04,DEMAND_PRESENT_NEUTRAL,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_SINGLE_CLEAN_SIGNAL
8635,C8635,2025-08-01 10:00,4,-0.11,time,3.75,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,RECLAIM_ACCEPTED_ABOVE_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_DEMAND_SUPPORTED
8659,C8659,2025-08-07 10:00,62,-1.0,stop,2.28,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,NA,0,1,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8765,C8765,2025-09-02 02:00,22,2.0,target,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
8823,C8823,2025-09-15 18:00,18,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8858,C8858,2025-09-23 14:00,4,-1.0,stop,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT
8878,C8878,2025-09-28 22:00,3,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
8893,C8893,2025-10-01 10:00,4,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
8905,C8905,2025-10-03 10:00,8,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8923,C8923,2025-10-08 10:00,4,-1.0,stop,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
8940,C8940,2025-10-13 06:00,9,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
8966,C8966,2025-10-17 14:00,1,2.0,target,2.61,DEMAND_ORIGIN_OF_LEG,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_SINGLE_CLEAN_SIGNAL
8978,C8978,2025-10-21 14:00,15,-1.0,stop,3.77,DEMAND_ORIGIN_OF_LEG,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,1,UNKNOWN_DUPLICATE_DENSE_LEG
9007,C9007,2025-10-28 10:00,3,2.0,target,3.51,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNCLASSIFIED
9081,C9081,2025-11-13 19:00,12,-1.0,stop,5.27,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,NA,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
9105,C9105,2025-11-19 19:00,46,-1.0,stop,2.68,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
9199,C9199,2025-12-11 11:00,5,2.0,target,5.22,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
9215,C9215,2025-12-16 03:00,1,2.0,target,1.37,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_SINGLE_CLEAN_SIGNAL
9243,C9243,2025-12-22 19:00,1,-1.0,stop,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL|UNKNOWN_TOP_SWEEP_RISK
9256,C9256,2025-12-26 03:00,6,-1.0,stop,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
9287,C9287,2026-01-05 07:00,1,1.74,time,2.04,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
9297,C9297,2026-01-06 23:00,1,-1.0,stop,1.35,DEMAND_TOO_DEEP,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL
9304,C9304,2026-01-08 03:00,3,-1.0,stop,1.09,DEMAND_PRESENT_NEUTRAL,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_TOP_SWEEP_RISK
9314,C9314,2026-01-09 19:00,1,2.0,target,0.34,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_BUT_BROKEN,POLARITY_UNDER_SUPPLY_PRESSURE,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
9329,C9329,2026-01-14 07:00,2,-1.0,stop,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
9345,C9345,2026-01-18 23:00,7,2.0,target,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT
9368,C9368,2026-01-22 19:00,6,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED
9390,C9390,2026-01-28 11:00,19,-1.0,stop,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG|UNKNOWN_TOP_SWEEP_RISK
9432,C9432,2026-02-06 11:00,16,0.35,time,0.95,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,1,UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
9492,C9492,2026-02-20 11:00,3,2.0,target,12.26,DEMAND_TOO_DEEP,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT
9504,C9504,2026-02-24 11:00,1,2.0,target,8.29,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL
9512,C9512,2026-02-25 19:00,1,2.0,target,0.58,DEMAND_PRESENT_NEUTRAL,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_SINGLE_CLEAN_SIGNAL
9523,C9523,2026-02-27 15:00,1,2.0,target,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL
9530,C9530,2026-03-02 19:00,1,-1.0,stop,4.62,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL
9537,C9537,2026-03-03 23:00,18,-1.0,stop,2.4,DEMAND_PRESENT_NEUTRAL,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,1,UNKNOWN_DUPLICATE_DENSE_LEG
9582,C9582,2026-03-13 10:00,1,-1.0,stop,1.01,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_SINGLE_CLEAN_SIGNAL
9628,C9628,2026-03-25 02:00,5,0.7,time,0.97,DEMAND_SUPPORTING_RETEST,SUPPLY_FRESH_DANGEROUS,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DEMAND_SUPPORTED
9646,C9646,2026-03-30 02:00,42,2.0,target,0.4,DEMAND_SUPPORTING_RETEST,SUPPLY_NEAR_AND_REJECTING,POLARITY_UNDER_SUPPLY_PRESSURE,GENERIC_BULL_FOLLOW_THROUGH,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
9727,C9727,2026-04-17 14:00,15,-1.0,stop,3.18,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,NA,0,1,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
9805,C9805,2026-05-06 14:00,15,-1.0,stop,1.59,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_FLOATING_NO_BASE,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
