episode_first_idx,candidate_id,timestamp,n_candidates_in_episode,outcome_R_2R,outcome_how,dist_supply_low_atr,demand_category,supply_category,polarity_category,reclass,near_BOM_12b,dense_leg,buckets
6376,C6376,2024-02-15 15:00,41,2.0,target,2.23,DEMAND_SUPPORTING_RETEST,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
6453,C6453,2024-03-05 11:00,7,2.0,target,0.55,DEMAND_ABSENT_OR_IRRELEVANT,SUPPLY_NEAR_AND_REJECTING,RECLAIM_REJECTED_BELOW_SUPPLY,GENERIC_BULL_FOLLOW_THROUGH,0,0,UNKNOWN_SUPPLY_PRESSURE|UNKNOWN_NO_DEMAND_SUPPORT
6471,C6471,2024-03-08 11:00,8,-1.0,stop,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
6489,C6489,2024-03-13 10:00,5,-1.0,stop,1.2,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,NA,0,0,UNKNOWN_DEMAND_SUPPORTED
6523,C6523,2024-03-21 02:00,42,1.33,time,,DEMAND_ABSENT_OR_IRRELEVANT,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,NA,0,1,UNKNOWN_CLEAN_SKY|UNKNOWN_NO_DEMAND_SUPPORT|UNKNOWN_DUPLICATE_DENSE_LEG
6597,C6597,2024-04-09 10:00,2,-1.0,stop,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
6610,C6610,2024-04-11 14:00,38,2.0,target,,DEMAND_SUPPORTING_RETEST,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,1,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_CLEAN_SKY|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_DUPLICATE_DENSE_LEG
6711,C6711,2024-05-06 10:00,3,2.0,target,1.02,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,NA,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED
6729,C6729,2024-05-09 10:00,2,2.0,target,1.73,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_HIGH_OUTCOME_BOMlike|UNKNOWN_DEMAND_SUPPORTED|UNKNOWN_SINGLE_CLEAN_SIGNAL
6741,C6741,2024-05-13 10:00,7,-1.0,stop,1.51,DEMAND_SUPPORTING_RETEST,SUPPLY_BLOCKS_TARGET,RECLAIM_REJECTED_BELOW_SUPPLY,TRUE_L2_CONTINUATION_CANDIDATE,0,0,UNKNOWN_DEMAND_SUPPORTED
