bucket,n,WR,PF,p_WR,p_PF
TAKE_CONFIRMED,119,25.2,1.69,0.332,0.33
TAKE_CONFIRMED+WEAK,121,24.8,1.67,0.282,0.354
+UPGRADE_TAKE,126,26.2,1.79,0.138,0.19
UPGRADE_TAKE_only,5,60.0,8.58,0.083,0.056
SKIP_CONFIRMED,65,27.7,1.9,0.129,0.211
