bar_idx,episode_id,datetime,sl_atr,realR,exitype,is_winner_gt,is_loser_gt,sim_dist_to_winners,sim_dist_to_losers,closer_to_DIAG
2320,,2021-07-02 14:00,2.38,1.47,WIN_HELD,0,0,9.9,19.3,WINNERS
2364,,2021-07-14 02:00,1.88,-1.1,STOP_LOSS,0,0,16.88,6.59,LOSERS
2372,,2021-07-15 10:00,4.48,-1.1,STOP_LOSS,0,0,16.68,6.01,LOSERS
2428,,2021-07-28 18:00,1.93,-1.1,STOP_LOSS,0,0,4.2,14.7,WINNERS
2488,,2021-08-11 18:00,3.91,1.02,SCRATCH,0,0,7.96,16.94,WINNERS
2497,,2021-08-13 06:00,2.59,1.99,WIN_HELD,0,0,4.15,10.75,WINNERS
2544,,2021-08-25 02:00,2.89,0.9,WIN_BE,0,0,11.02,4.37,LOSERS
2663,,2021-09-22 02:00,2.99,-1.1,STOP_LOSS,0,0,4.9,15.03,WINNERS
2705,,2021-10-01 02:00,3.56,1.19,SCRATCH,0,0,6.13,17.22,WINNERS
2737,,2021-10-08 10:00,2.58,-1.1,STOP_LOSS,0,0,11.27,2.65,LOSERS
2747,,2021-10-12 02:00,1.52,0.9,WIN_BE,0,0,5.03,6.71,WINNERS
2859,,2021-11-05 18:00,6.32,0.36,SCRATCH,0,0,19.82,9.42,LOSERS
2896,,2021-11-15 23:00,1.5,-1.1,STOP_LOSS,0,0,19.52,8.69,LOSERS
2905,,2021-11-17 11:00,2.53,-1.1,STOP_LOSS,0,0,16.03,5.99,LOSERS
2922,,2021-11-22 07:00,1.97,-1.1,STOP_LOSS,0,0,7.49,6.48,LOSERS
2944,,2021-11-26 03:00,3.55,-1.1,STOP_LOSS,0,0,11.84,22.68,WINNERS
2991,,2021-12-08 03:00,2.63,-1.1,STOP_LOSS,0,0,10.48,20.49,WINNERS
3011,,2021-12-13 11:00,2.82,-1.1,STOP_LOSS,0,0,7.69,18.58,WINNERS
3029,,2021-12-16 11:00,4.73,0.59,SCRATCH,0,0,6.88,9.37,WINNERS
3070,,2021-12-28 07:00,2.78,-1.1,STOP_LOSS,0,0,20.49,9.75,LOSERS
3085,,2021-12-30 19:00,3.94,-1.1,STOP_LOSS,0,0,15.95,7.47,LOSERS
3102,,2022-01-04 15:00,2.23,-1.1,STOP_LOSS,0,0,11.19,5.32,LOSERS
3118,,2022-01-07 07:00,4.68,0.99,SCRATCH,0,0,12.25,23.04,WINNERS
3126,,2022-01-10 15:00,2.37,2.02,WIN_HELD,0,0,5.36,16.33,WINNERS
3147,,2022-01-14 03:00,2.29,-1.1,STOP_LOSS,0,0,16.58,6.17,LOSERS
3162,,2022-01-18 15:00,3.86,-1.1,STOP_LOSS,0,0,5.12,7.11,WINNERS
3178,,2022-01-21 07:00,3.25,-1.1,STOP_LOSS,0,0,13.82,4.9,LOSERS
3190,,2022-01-25 07:00,1.14,-1.1,STOP_LOSS,0,0,13.98,3.94,LOSERS
3219,,2022-02-01 03:00,3.25,2.66,WIN_HELD,0,0,9.95,20.81,WINNERS
3238,,2022-02-04 07:00,3.91,2.41,WIN_HELD,0,0,3.86,12.27,WINNERS
3252,,2022-02-08 15:00,5.89,1.84,WIN_HELD,0,0,9.47,5.66,LOSERS
3326,,2022-02-24 23:00,1.38,-1.1,STOP_LOSS,0,0,7.59,3.82,LOSERS
3443,,2022-03-24 10:00,4.27,-1.1,STOP_LOSS,0,0,6.32,16.6,WINNERS
3474,,2022-03-31 14:00,5.08,0.38,SCRATCH,0,0,2.63,12.32,WINNERS
3491,,2022-04-05 10:00,2.86,0.9,WIN_BE,0,0,7.22,5.27,LOSERS
3509,,2022-04-08 10:00,2.81,0.9,WIN_BE,0,0,6.34,5.38,LOSERS
3622,,2022-05-06 06:00,1.78,-1.1,STOP_LOSS,0,0,10.83,21.19,WINNERS
3678,,2022-05-19 14:00,3.54,0.66,SCRATCH,0,0,3.95,14.67,WINNERS
3773,,2022-06-10 10:00,3.31,-1.1,STOP_LOSS,0,0,12.11,22.59,WINNERS
3799,,2022-06-16 18:00,3.73,-1.1,STOP_LOSS,0,0,7.74,5.19,LOSERS
3825,,2022-06-23 02:00,1.56,-1.1,STOP_LOSS,0,0,3.69,14.61,WINNERS
3836,,2022-06-26 22:00,3.41,-1.1,STOP_LOSS,0,0,3.79,14.43,WINNERS
3929,,2022-07-18 10:00,2.06,-1.1,STOP_LOSS,0,0,13.93,24.95,WINNERS
3949,,2022-07-21 18:00,1.53,3.54,WIN_HELD,0,0,10.91,22.91,WINNERS
4095,,2022-08-25 02:00,2.16,-1.1,STOP_LOSS,0,0,5.18,15.54,WINNERS
4243,,2022-09-28 18:00,3.85,0.18,SCRATCH,0,0,6.04,17.09,WINNERS
