episode_id,n_candidates,has_BOM,has_STRONG,first_ts,span_bars
211,8,0,1,1739242800,9
212,2,0,1,1739559600,2
213,1,0,1,1739862000,0
214,17,0,0,1740006000,34
215,51,0,1,1741071600,80
216,3,0,1,1742839200,2
217,3,0,1,1743055200,3
218,8,0,0,1743458400,13
219,7,0,1,1743775200,9
220,1,0,1,1744178400,0
221,19,0,1,1744293600,33
222,5,0,0,1745344800,6
223,3,0,0,1745575200,8
224,20,0,1,1746036000,34
225,1,0,0,1746799200,0
226,2,0,0,1748023200,2
227,3,0,1,1748469600,2
228,18,0,1,1748844000,24
229,12,0,1,1749477600,21
230,13,0,0,1750053600,20
231,2,0,0,1750644000,5
232,1,0,0,1750917600,0
233,11,0,0,1751349600,20
234,23,0,1,1752213600,36
235,14,0,0,1753207200,21
236,1,0,0,1753855200,0
237,4,0,1,1754042400,5
238,62,0,1,1754560800,94
239,22,0,1,1756778400,46
240,18,0,1,1757959200,28
241,4,0,1,1758636000,9
242,3,0,1,1759096800,5
243,4,0,1,1759312800,5
244,8,0,1,1759485600,11
245,4,0,0,1759917600,5
246,9,0,1,1760335200,15
247,1,0,1,1760709600,0
248,15,0,0,1761055200,21
249,3,0,1,1761645600,2
250,12,0,1,1763060400,17
251,46,0,1,1763578800,79
252,5,0,1,1765450800,7
253,1,0,1,1765854000,0
254,1,0,1,1766430000,0
255,6,0,0,1766718000,5
256,1,0,1,1767596400,0
257,1,0,0,1767740400,0
258,3,0,1,1767841200,2
259,1,0,1,1767985200,0
260,2,0,0,1768374000,2
261,7,0,1,1768777200,16
262,6,0,1,1769108400,11
263,19,0,1,1769598000,34
264,16,0,1,1770375600,26
265,3,0,1,1771585200,2
266,1,0,1,1771930800,0
267,1,0,1,1772046000,0
268,1,0,1,1772204400,0
269,1,0,0,1772478000,0
270,18,0,1,1772578800,31
271,1,0,0,1773396000,0
272,5,0,0,1774404000,5
273,42,0,1,1774836000,74
274,15,0,0,1776434400,33
275,15,0,1,1778076000,37
