candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C8051,2025-03-17 22:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8053,2025-03-18 06:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8054,2025-03-18 10:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8055,2025-03-18 14:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8058,2025-03-19 02:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8059,2025-03-19 06:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8060,2025-03-19 10:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8066,2025-03-20 10:00,swing_high_simples,structural,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8074,2025-03-21 18:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8075,2025-03-23 22:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C8076,2025-03-24 02:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8077,2025-03-24 06:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C8078,2025-03-24 10:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/B
C8083,2025-03-25 06:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8084,2025-03-25 10:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8085,2025-03-25 14:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C8086,2025-03-25 18:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/B
C8087,2025-03-25 22:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C8088,2025-03-26 02:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8091,2025-03-26 14:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8092,2025-03-26 18:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8093,2025-03-26 22:00,topo_duplo,structural,pruned,overextended_entry|src_redundant,1,1,0,no,no,,no,classic_BOS/A
C8094,2025-03-27 02:00,topo_duplo,structural,pruned,src_redundant,0,1,0,no,no,,no,classic_BOS/A
C8097,2025-03-27 14:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8099,2025-03-27 22:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8100,2025-03-28 02:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8101,2025-03-28 06:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8102,2025-03-28 10:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8103,2025-03-28 14:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8104,2025-03-28 18:00,swing_high_simples,structural,pruned,bear_flag,0,0,1,no,no,,no,classic_BOS/A
C8105,2025-03-30 22:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8106,2025-03-31 02:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8108,2025-03-31 10:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/B
C8109,2025-03-31 14:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/A
C8115,2025-04-01 14:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/B
C8118,2025-04-02 02:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/B
C8120,2025-04-02 10:00,swing_high_simples,structural,pruned,overextended_entry|bear_flag,1,0,1,no,no,,no,classic_BOS/B
C8123,2025-04-02 22:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/A
C8125,2025-04-03 06:00,topo_duplo,structural,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C8126,2025-04-03 10:00,fractal_3_3,fractal,pruned,overextended_entry,1,0,0,no,no,,no,classic_BOS/B
C8127,2025-04-03 14:00,topo_duplo,structural,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/A
C8128,2025-04-03 18:00,topo_duplo,structural,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/A
C8129,2025-04-03 22:00,topo_duplo,structural,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
C8130,2025-04-04 02:00,topo_duplo,structural,pruned,src_redundant|bear_flag,0,1,1,no,no,,no,classic_BOS/B
