candidate_id,timestamp,source,source_family,kept,prune_reason,overextended_entry,src_redundant,bear_flag,GT_match,NAO_match,gt_id,fragile_BOM,notes
C237,2020-02-25 23:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C242,2020-02-26 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C247,2020-02-27 15:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C249,2020-02-27 23:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C253,2020-02-28 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C254,2020-02-28 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C255,2020-03-01 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C259,2020-03-02 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C260,2020-03-02 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C262,2020-03-03 03:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C268,2020-03-04 03:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C270,2020-03-04 11:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C272,2020-03-04 19:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C274,2020-03-05 03:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C277,2020-03-05 15:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C278,2020-03-05 19:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C279,2020-03-05 23:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C287,2020-03-09 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C288,2020-03-09 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C289,2020-03-09 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C291,2020-03-09 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C293,2020-03-10 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C295,2020-03-10 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C297,2020-03-10 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C298,2020-03-11 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C299,2020-03-11 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C300,2020-03-11 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C303,2020-03-11 22:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C304,2020-03-12 02:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C305,2020-03-12 06:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C351,2020-03-23 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C355,2020-03-24 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C356,2020-03-24 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C358,2020-03-25 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C359,2020-03-25 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C360,2020-03-25 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C361,2020-03-25 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C362,2020-03-25 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C363,2020-03-25 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C364,2020-03-26 02:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C365,2020-03-26 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C369,2020-03-26 22:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/B
C375,2020-03-29 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C383,2020-03-31 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C384,2020-03-31 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C391,2020-04-01 14:00,swing_high_simples,structural,kept,,0,0,0,no,no,,no,classic_BOS/A
C396,2020-04-02 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C398,2020-04-02 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C399,2020-04-02 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C413,2020-04-07 06:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C414,2020-04-07 10:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C415,2020-04-07 14:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
C416,2020-04-07 18:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/B
C417,2020-04-07 22:00,fractal_3_3,fractal,kept,,0,0,0,no,no,,no,classic_BOS/A
