b,dt,conv,regime,rm_conv,rm_bear,rm_blr,mfe,realR,winner,runner,snap,sweep,snap_sweep,dist_dem,dem_origin,near_dem,low_rng,macro_floor,floor_sweep
8923,2025-10-08,3,BULL,0,0,0,0.58,0.9,1,0,1,0,0,4.04,0,0,0,0,0
8940,2025-10-13,3,BULL,0,0,0,4.96,0.9,1,0,1,0,0,3.24,0,0,0,0,0
8966,2025-10-17,2,BULL,0,0,0,4.03,-1.1,0,0,0,0,0,2.51,1,0,0,1,0
8978,2025-10-21,2,TRANSITION,0,0,0,0.55,-1.1,0,0,0,0,0,2.55,1,0,0,1,0
9007,2025-10-28,2,TRANSITION,0,0,0,5.38,1.4,1,0,1,0,0,2.45,0,0,0,0,0
9081,2025-11-13,2,BULL,0,0,0,1.35,-1.1,0,0,0,0,0,2.12,1,0,0,1,0
9105,2025-11-19,2,BULL,0,0,0,0.0,1.64,1,0,0,0,0,2.1,1,0,0,1,0
9199,2025-12-11,3,BULL,0,0,0,11.05,3.9,1,1,1,0,0,2.0,1,0,0,1,0
9215,2025-12-16,2,BULL,0,0,0,17.05,3.9,1,1,0,0,0,0.98,0,1,0,1,0
9243,2025-12-22,3,BULL,0,0,0,2.79,-1.1,0,0,1,0,0,5.32,0,0,0,0,0
9256,2025-12-26,3,BULL,0,0,0,0.72,-1.1,0,0,1,0,0,2.3,1,0,0,1,0
9287,2026-01-05,2,BULL,0,0,0,18.9,1.64,1,1,1,0,0,3.09,0,0,0,0,0
9297,2026-01-06,2,BULL,0,0,0,0.15,1.97,1,0,0,0,0,4.94,0,0,0,0,0
9304,2026-01-08,2,BULL,0,0,0,0.3,2.45,1,0,0,0,0,3.76,0,0,0,0,0
9314,2026-01-09,3,BULL,0,0,0,24.93,3.16,1,1,1,0,0,3.53,0,0,0,0,0
9329,2026-01-14,3,BULL,0,0,0,0.21,-1.1,0,0,1,0,0,2.0,1,0,0,1,0
9345,2026-01-18,4,TRANSITION,0,0,0,17.14,3.9,1,1,1,1,1,7.01,0,0,0,0,0
9368,2026-01-22,3,BULL,0,0,0,8.17,0.9,1,0,1,0,0,3.35,0,0,0,0,0
9390,2026-01-28,3,BULL,0,0,0,3.81,-1.1,0,0,1,0,0,5.43,0,0,0,0,0
9432,2026-02-06,3,BULL,0,0,0,2.83,0.09,1,0,1,0,0,4.92,0,0,0,0,0
9492,2026-02-20,2,BULL,0,0,0,0.0,0.25,1,0,1,0,0,5.09,0,0,0,0,0
9504,2026-02-24,2,BULL,0,0,0,7.2,0.16,1,0,0,0,0,5.42,0,0,0,0,0
9512,2026-02-25,2,BULL,0,0,0,5.18,0.9,1,0,0,0,0,1.45,0,0,0,0,0
9523,2026-02-27,3,BULL,0,0,0,2.91,-1.1,0,0,1,0,0,,0,0,0,0,0
9530,2026-03-02,2,BULL,0,0,0,0.87,-1.1,0,0,0,0,0,9.06,0,0,0,0,0
9537,2026-03-03,3,TRANSITION,0,0,0,0.36,-0.59,0,0,1,0,0,3.38,0,0,0,0,0
9582,2026-03-13,2,TRANSITION,0,0,0,0.0,-1.1,0,0,0,0,0,5.95,0,0,0,0,0
9628,2026-03-25,1,TRANSITION,1,0,0,0.15,0.5,1,0,0,0,0,1.95,1,0,0,1,0
9646,2026-03-30,2,TRANSITION,0,0,1,3.58,1.24,1,0,1,0,0,2.5,1,0,0,1,0
9727,2026-04-17,3,TRANSITION,0,0,0,0.1,-1.11,0,0,1,0,0,2.64,0,0,0,0,0
9805,2026-05-06,1,TRANSITION,1,0,0,1.4,-1.1,0,0,0,0,0,4.29,0,0,0,0,0
