bar_idx,entry,sl,risk,capped_struct,letrun_struct,mfe_struct
4346,1653.73,1616.06,37.67,2.41,2.41,3.52
4372,1649.7,1637.37,12.33,-1.0,-1.0,11.1
4384,1650.45,1616.4,34.05,2.98,2.98,3.99
4401,1647.09,1615.66,31.43,4.0,4.87,5.01
4483,1749.4,1731.66,17.74,4.0,3.88,4.24
4513,1773.42,1738.55,34.87,1.28,1.28,1.72
4530,1768.61,1743.81,24.8,3.47,3.47,3.89
4574,1795.44,1776.5,18.94,-1.0,-1.0,7.05
4609,1792.87,1773.46,19.41,4.0,7.3,7.45
4644,1839.47,1812.3,27.17,4.0,3.26,4.04
4677,1884.74,1866.93,17.81,4.0,-1.0,4.21
4763,1929.35,1895.39,33.96,-1.0,-1.0,0.89
4899,1846.9,1829.27,17.63,-1.0,-1.0,9.24
4908,1846.56,1829.28,17.28,-1.0,-1.0,9.45
4918,1820.38,1803.98,16.4,4.0,12.33,12.9
4926,1830.74,1811.09,19.65,4.0,8.97,10.24
4996,1949.14,1932.94,16.2,4.0,2.22,6.15
5016,1980.15,1954.35,25.8,-1.0,-1.0,2.66
5055,2004.5,1980.61,23.89,-1.0,-1.0,3.09
5087,2004.09,1991.16,12.93,-1.0,-1.0,5.74
5103,1986.1,1968.12,17.98,4.0,-1.0,5.13
5147,2012.24,1975.98,36.26,-1.0,-1.0,1.82
5165,2015.44,1976.83,38.61,-1.0,-1.0,0.85
5296,1957.13,1937.21,19.92,-1.0,-1.0,0.8
5321,1955.89,1938.77,17.12,-1.0,-1.0,0.88
5331,1951.28,1938.75,12.53,-1.0,-1.0,1.32
5350,1951.96,1923.7,28.26,-1.0,-1.0,0.42
5414,1923.65,1909.38,14.27,-1.0,-1.0,4.47
5435,1926.94,1901.79,25.15,0.6,0.6,2.4
5530,1971.35,1941.59,29.76,-1.0,-1.0,0.03
5555,1941.94,1911.89,30.05,-1.0,-1.0,0.36
5627,1897.68,1884.02,13.66,4.0,2.43,4.04
5701,1925.82,1914.76,11.06,-1.0,-1.0,1.95
5724,1908.1,1884.29,23.81,-1.0,-1.0,1.65
5772,1915.76,1900.48,15.28,-1.0,-1.0,5.33
5826,1831.58,1812.3,19.28,4.0,8.34,9.23
5842,1872.17,1852.27,19.9,4.0,4.42,6.9
5875,1948.22,1911.3,36.92,0.34,0.34,1.66
5920,1998.53,1975.84,22.69,-1.0,-1.0,0.86
5955,1966.12,1952.61,13.51,-1.0,-1.0,13.12
5998,1979.7,1954.54,25.16,4.0,2.04,6.5
6069,2050.09,2031.99,18.1,-1.0,-1.0,2.12
6119,2036.38,1971.87,64.51,0.28,0.28,0.81
6162,2065.31,2026.64,38.67,-1.0,-1.0,0.6
6193,2047.26,2026.43,20.83,-1.0,-1.0,0.8
6210,2034.14,2023.36,10.78,-1.0,-1.0,2.9
6295,2028.78,2008.7,20.08,-1.0,-1.0,1.82
6362,2026.57,2011.25,15.32,-1.0,-1.0,11.0
6376,2004.51,1983.38,21.13,4.0,7.37,9.02
6489,2166.01,2149.66,16.35,-1.0,-1.0,12.19
6610,2356.3,2317.7,38.6,-1.0,-1.0,1.95
6711,2327.92,2275.57,52.35,0.11,0.11,2.33
6729,2324.36,2302.52,21.84,4.0,1.66,5.75
6741,2344.13,2305.15,38.98,-1.0,-1.0,2.72
6791,2328.45,2304.96,23.49,-1.0,-1.0,2.52
6819,2348.69,2305.39,43.3,-1.0,-1.0,0.9
6832,2348.4,2305.28,43.12,-1.0,-1.0,0.91
6844,2355.06,2314.16,40.9,-1.0,-1.0,0.8
6887,2332.69,2294.23,38.46,-1.0,-1.0,2.39
6908,2334.62,2305.58,29.04,-1.0,-1.0,5.13
6923,2334.38,2315.55,18.83,-1.0,-1.0,7.93
6954,2334.1,2317.69,16.41,4.0,2.78,9.11
6962,2346.3,2317.81,28.49,4.0,2.62,4.82
6992,2371.86,2348.19,23.67,4.0,0.95,4.72
7053,2421.82,2387.13,34.69,-1.0,-1.0,3.17
7065,2381.49,2351.55,29.94,4.0,3.91,5.02
7094,2463.88,2367.85,96.03,-1.0,-1.0,0.71
7119,2414.11,2377.52,36.59,2.75,2.75,3.21
7129,2434.65,2415.82,18.83,4.0,2.83,5.15
7149,2444.52,2422.3,22.22,4.0,4.54,4.82
7232,2481.58,2430.98,50.6,4.0,3.38,4.03
7253,2506.21,2483.72,22.49,4.0,6.06,7.97
7408,2663.64,2600.46,63.18,-1.0,-1.0,2.0
7454,2721.25,2707.24,14.01,4.0,-1.0,4.91
7509,2691.84,2635.95,55.89,-1.0,-1.0,0.53
7549,2585.94,2552.52,33.42,4.0,2.03,4.19
7569,2665.07,2617.24,47.83,-1.0,-1.0,1.28
7577,2714.41,2617.21,97.2,-1.0,-1.0,0.12
7662,2686.73,2611.57,75.16,-1.0,-1.0,0.15
7710,2625.87,2585.93,39.94,3.71,3.71,3.82
7731,2625,2594.98,30.02,4.0,4.18,5.36
7765,2667.53,2613.29,54.24,3.53,3.53,3.96
7838,2751.43,2734.3,17.13,-1.0,-1.0,11.95
7869,2820.99,2743.18,77.81,0.89,0.89,1.74
7924,2882.9,2862.76,20.14,-1.0,-1.0,6.05
7933,2911.19,2875.35,35.84,-1.0,-1.0,3.27
7943,2941.01,2890.5,50.51,-1.0,-1.0,2.28
7993,2914.7,2830.67,84.03,2.59,2.59,2.79
8080,3011.88,2997.71,14.17,4.0,-1.0,34.46
8095,3039.9,3010.77,29.13,4.0,-1.0,15.79
8133,3025.74,2995.69,30.05,-1.0,-1.0,15.78
8149,3045.04,2953.36,91.68,4.0,3.13,4.96
8157,3162.68,2966.45,196.23,0.91,0.91,1.72
8200,3381,3280.16,100.84,-1.0,-1.0,0.53
8216,3280.88,3255.63,25.25,-1.0,-1.0,6.09
8236,3288.61,3191.06,97.55,-1.0,-1.0,1.5
8277,3340.84,3218.95,121.89,-1.0,-1.0,0.51
8338,3360.07,3276.77,83.3,-1.0,-1.0,1.1
8357,3263.66,3202.24,61.42,1.08,1.08,3.06
8371,3348.4,3243.11,105.29,-0.58,-0.58,0.98
8403,3333.58,3269.0,64.58,-1.0,-1.0,1.82
8431,3412.09,3317.08,95.01,-1.0,-1.0,0.11
8460,3356.75,3338.08,18.67,-1.0,-1.0,1.96
8479,3340.65,3310.02,30.63,-1.0,-1.0,3.21
8497,3345.76,3244.32,101.44,-0.27,-0.27,0.92
8544,3339.38,3308.9,30.48,-1.0,-1.0,3.27
8622,3331.13,3280.87,50.26,-1.0,-1.0,1.53
8635,3342.13,3265.89,76.24,1.13,1.13,1.14
8659,3385,3356.48,28.52,-1.0,-1.0,6.79
8823,3678.89,3611.62,67.27,4.0,6.42,6.51
8878,3778.67,3720.05,58.62,4.0,5.17,10.28
8893,3872.95,3790.3,82.65,4.0,1.69,6.15
8905,3882.64,3816.71,65.93,4.0,2.03,7.57
8940,4077.17,3940.55,136.62,-1.0,-1.0,2.23
8966,4221.05,4085.45,135.6,-1.0,-1.0,1.18
8978,4111.19,3938.11,173.08,-1.0,-1.0,0.77
9007,3938.71,3814.11,124.6,1.5,1.5,2.46
9081,4171.32,4093.49,77.83,-1.0,-1.0,1.47
9105,4077.97,3993.99,83.98,3.1,3.1,3.28
9199,4230.02,4179.34,50.68,4.0,7.51,7.89
9215,4289.08,4254.11,34.97,4.0,9.46,10.12
9256,4511.82,4426.76,85.06,-1.0,-1.0,7.05
9287,4436.17,4305.43,130.74,4.0,2.06,8.89
9297,4474.84,4306.31,168.53,4.0,3.36,6.66
9304,4433.4,4306.41,126.99,4.0,3.84,9.17
9314,4510.04,4404.45,105.59,4.0,-1.0,10.3
9329,4633.1,4566.45,66.65,-1.0,-1.0,14.48
9345,4662.6,4577.48,85.12,4.0,-1.0,10.99
9432,4948.32,4391.76,556.56,0.33,0.33,0.85
9492,5054.61,4837.73,216.88,-1.0,-1.0,1.68
9504,5128.5,4836.76,291.74,-1.0,-1.0,1.0
9512,5164.94,5088.76,76.18,-1.0,-1.0,3.34
9523,5245.4,5126.17,119.23,-1.0,-1.0,1.46
9530,5321.97,5124.91,197.06,-1.0,-1.0,0.29
9537,5156.08,4833.08,323.0,-1.0,-1.0,0.26
9582,5101.88,5010.13,91.75,-1.0,-1.0,0.07
9628,4555.81,4292.61,263.2,0.6,0.6,1.27
9646,4522.25,4344.62,177.63,0.62,0.62,2.07
9727,4862.55,4763.83,98.72,-1.0,-1.0,0.05
9805,4684,4496.41,187.59,-1.0,-1.0,0.48
