bar_idx,datetime,f1_swept_low_reclaim,f1_sweep_depth_atr,f1_bars_since_sweep,f1_swept_high_reject,f2_flush_state,f2_drop_atr,f2_velocity_atr_bar,f2_range_expansion,f2_consec_down,f2_flush_bars,f3_acceptance_state,f3_closes_above_res,f3_rejections_at_res,f3_breaks_support,f4_structure_state,f4_BOS,f4_CHoCH,f4_n_pivots,f6_svp_state,f6_above_value,f6_below_value,f6_dist_poc_atr,f5_range_pos_4h,f5_range_pct_4h,f5_range_pos_1d,f5_range_pct_1d,f7_regime_traj,f7_combined_slope,f7_cascade_now,f7_distribution_onset,f7_macro_broken_recent
458,2020-04-17,1,0.41,5,0,MIXED_DECLINE,3.98,0.5,1.15,2,8,BROKE_SUPPORT,0,1,5,STRUCTURE_DOWN,0,0,77,BELOW_VALUE_REJECTED,1,7,-0.32,DISCOUNT,0.03,PREMIUM,0.78,REGIME_STABLE_BULL,-0.167,2.0,0,0
493,2020-04-27,1,0.41,0,0,MIXED_DECLINE,2.91,0.42,0.76,5,7,HOLDING_SUPPORT,0,1,1,STRUCTURE_RANGE,0,0,83,BELOW_VALUE_REJECTED,4,4,-0.86,DISCOUNT,0.21,PREMIUM,0.8,REGIME_STABLE_BULL,0.0,2.0,0,0
521,2020-05-04,0,0.0,-1,0,MIXED_DECLINE,4.0,0.67,1.32,0,6,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,88,ACCEPTING_ABOVE_VALUE,7,5,0.65,PREMIUM,0.72,PREMIUM,0.72,REGIME_DETERIORATING,-0.333,2.0,0,0
542,2020-05-07,0,0.0,-1,0,MIXED_DECLINE,2.81,0.4,0.97,1,7,ACCEPTED_ABOVE_RES,2,0,0,STRUCTURE_DOWN,0,0,92,ACCEPTING_ABOVE_VALUE,7,4,2.17,PREMIUM,0.85,PREMIUM,0.71,REGIME_STABLE_BULL,0.0,1.0,0,0
583,2020-05-18,0,0.0,-1,1,NO_FLUSH,0.73,0.06,1.33,3,12,ACCEPTED_ABOVE_RES,6,3,0,STRUCTURE_UP,0,0,96,BELOW_VALUE_REJECTED,10,3,-2.23,EQUILIBRIUM,0.43,PREMIUM,0.69,REGIME_IMPROVING,0.333,3.0,0,0
597,2020-05-20,0,0.0,-1,0,MIXED_DECLINE,4.85,0.97,0.86,3,5,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,99,IN_VALUE,6,3,-0.19,EQUILIBRIUM,0.46,PREMIUM,0.78,REGIME_STABLE_BULL,0.0,2.0,0,0
631,2020-05-28,0,0.0,-1,0,MIXED_DECLINE,4.43,0.55,1.35,0,8,HOLDING_SUPPORT,0,0,0,STRUCTURE_DOWN,0,0,105,IN_VALUE,4,7,-0.27,EQUILIBRIUM,0.58,EQUILIBRIUM,0.5,REGIME_STABLE_BULL,-0.167,1.0,0,0
685,2020-06-10,0,0.0,-1,1,MIXED_DECLINE,1.24,0.18,1.0,0,7,ACCEPTED_ABOVE_RES,2,1,4,STRUCTURE_RANGE,1,0,115,ACCEPTING_ABOVE_VALUE,7,1,1.97,PREMIUM,0.98,PREMIUM,0.72,REGIME_STABLE_BULL,-0.167,2.0,0,0
702,2020-06-15,1,0.04,3,0,MIXED_DECLINE,3.45,0.57,0.83,0,6,BROKE_SUPPORT,0,1,3,STRUCTURE_RANGE,0,0,120,IN_VALUE,5,6,0.76,EQUILIBRIUM,0.45,EQUILIBRIUM,0.55,REGIME_STABLE_BULL,0.0,2.0,0,0
766,2020-06-30,0,0.0,-1,0,MIXED_DECLINE,1.26,0.42,0.8,3,3,BROKE_SUPPORT,0,0,8,STRUCTURE_UP,0,0,134,IN_VALUE,3,4,-0.02,PREMIUM,0.82,PREMIUM,0.86,REGIME_STABLE_BULL,0.0,3.0,0,0
780,2020-07-02,1,0.18,1,0,MIXED_DECLINE,3.39,0.48,1.83,0,7,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,138,ACCEPTING_ABOVE_VALUE,7,2,0.47,EQUILIBRIUM,0.62,PREMIUM,0.9,REGIME_STABLE_BULL,-0.167,2.0,0,0
833,2020-07-15,0,0.0,-1,1,MIXED_DECLINE,3.03,0.5,1.06,0,6,REJECTED_AT_RES,0,2,0,STRUCTURE_RANGE,0,0,150,ACCEPTING_ABOVE_VALUE,6,3,0.36,PREMIUM,0.85,PREMIUM,0.94,REGIME_STABLE_BULL,0.0,2.0,0,0
845,2020-07-17,0,0.0,-1,0,GRIND_DOWN,3.51,0.39,0.84,0,9,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,153,ACCEPTING_ABOVE_VALUE,8,6,2.11,PREMIUM,0.8,PREMIUM,0.93,REGIME_STABLE_BULL,-0.167,1.0,0,0
866,2020-07-23,0,0.0,-1,1,MIXED_DECLINE,2.43,0.0,0.0,0,0,ACCEPTED_ABOVE_RES,3,1,0,STRUCTURE_RANGE,1,0,156,IN_VALUE,9,2,-0.04,PREMIUM,0.9,PREMIUM,0.81,REGIME_STABLE_BULL,0.0,3.0,0,0
886,2020-07-28,0,0.0,-1,0,FLUSH_V,3.73,1.86,2.77,0,2,HOLDING_SUPPORT,0,0,0,STRUCTURE_RANGE,0,0,158,IN_VALUE,5,2,0.25,EQUILIBRIUM,0.59,PREMIUM,0.79,REGIME_STABLE_BULL,-0.167,3.0,0,0
901,2020-07-30,1,0.13,2,0,MIXED_DECLINE,2.82,0.56,0.71,0,5,BROKE_SUPPORT,0,1,3,STRUCTURE_UP,0,0,162,ACCEPTING_ABOVE_VALUE,5,4,0.67,PREMIUM,0.79,PREMIUM,0.93,REGIME_STABLE_BULL,0.0,3.0,0,0
919,2020-08-04,0,0.0,-1,0,MIXED_DECLINE,2.07,0.52,0.72,1,4,ACCEPTED_ABOVE_RES,3,0,3,STRUCTURE_UP,1,0,167,BELOW_VALUE_REJECTED,5,2,-0.19,PREMIUM,0.81,PREMIUM,0.99,REGIME_STABLE_BULL,-0.167,2.0,0,0
934,2020-08-07,0,0.0,-1,0,MIXED_DECLINE,2.04,0.68,1.06,3,3,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,169,BELOW_VALUE_REJECTED,6,4,-0.75,PREMIUM,0.73,PREMIUM,0.9,REGIME_STABLE_BULL,0.0,3.0,0,0
970,2020-08-17,0,0.0,-1,0,MIXED_DECLINE,2.24,0.28,0.48,0,8,BROKE_SUPPORT,1,0,2,STRUCTURE_UP,1,0,175,ACCEPTING_ABOVE_VALUE,4,1,1.34,PREMIUM,0.99,EQUILIBRIUM,0.62,REGIME_STABLE_BULL,-0.167,2.0,0,0
1027,2020-08-30,0,0.0,-1,0,FLUSH_V,4.1,4.1,1.97,0,1,HOLDING_SUPPORT,0,0,0,STRUCTURE_UP,0,0,186,IN_VALUE,5,2,0.09,PREMIUM,0.94,EQUILIBRIUM,0.51,REGIME_IMPROVING,0.333,3.0,0,0
1072,2020-09-09,0,0.0,-1,0,MIXED_DECLINE,2.39,0.0,0.0,1,0,ACCEPTED_ABOVE_RES,2,3,0,STRUCTURE_DOWN,0,0,195,ACCEPTING_ABOVE_VALUE,5,7,1.12,PREMIUM,0.93,EQUILIBRIUM,0.55,REGIME_STABLE_BULL,-0.167,2.0,0,0
