left_out,n,WR,PF,sumR,runners,Lstreak
2020,116,24.1,1.53,33.7,6,14
2021,128,26.6,1.8,51.9,8,12
2022,127,24.4,1.57,39.3,7,12
2023,121,24.0,1.63,40.2,7,14
2024,112,25.0,1.71,41.2,7,14
2025,112,25.0,1.35,23.0,6,14
2026,130,24.6,1.51,36.3,7,14
