plot_id,in_62,gate_v2,gate_v3,blocked_v2,blocked_v3,newly_blocked_by_v3,cris
T34,YES,BLOCK_BEAR_MARKDOWN,BLOCK_BEAR_MARKDOWN,YES,YES,NO,PROTECT_entry_fix_SL
T35,NO,-,-,-,-,-,-
T37,NO,-,-,-,-,-,-
S20,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S24,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S25,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S26,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S27,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S29,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S30,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S31,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S32,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
T39,NO,-,-,-,-,-,-
T41,NO,-,-,-,-,-,-
S35,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S36,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S37,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
S38,YES,ALLOW,ALLOW,NO,NO,NO,PROTECT
