bar_idx,datetime,mfe_R,policy,leg,bottleneck
2905,2021-11-17,0.38,TAKE,MACRO_RANGE,SUPPLY_CONTEXT
2922,2021-11-22,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
2944,2021-11-26,1.46,SKIP,MACRO_BULL_LEG,RESIDUAL
2991,2021-12-08,0.45,SKIP,MACRO_RANGE,RESIDUAL
3011,2021-12-13,0.12,REVIEW,MACRO_RANGE,RESIDUAL
3029,2021-12-16,2.88,TAKE,MACRO_RANGE,EXIT_ONLY
3070,2021-12-28,0.29,TAKE,MACRO_TRANSITION,READING_ONLY
3085,2021-12-30,1.75,TAKE,MACRO_TRANSITION,READING_ONLY
3102,2022-01-04,1.23,SKIP,MACRO_BULL_LEG,RESIDUAL
3118,2022-01-07,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
3126,2022-01-10,5.05,SKIP,MACRO_BULL_LEG,READING_ONLY
3147,2022-01-14,0.27,TAKE,MACRO_TRANSITION,READING_ONLY
3162,2022-01-18,4.84,TAKE,MACRO_TRANSITION,EXIT_ONLY
3178,2022-01-21,3.16,TAKE,MACRO_TRANSITION,EXIT_ONLY
3190,2022-01-25,1.81,REVIEW_RISK,MACRO_BULL_LEG,RESIDUAL
3219,2022-02-01,0.92,SKIP,MACRO_BULL_LEG,RESIDUAL
3238,2022-02-04,0.0,TAKE,MACRO_TRANSITION,READING_ONLY
3252,2022-02-08,23.67,REVIEW_RISK,MACRO_TRANSITION,READING_ONLY
3326,2022-02-24,0.29,TAKE,MACRO_TRANSITION,READING_ONLY
3443,2022-03-24,0.82,TAKE,MACRO_BULL_LEG,READING_ONLY
3474,2022-03-31,0.02,REVIEW_RISK,MACRO_RANGE,RESIDUAL
3491,2022-04-05,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,READING_ONLY
3509,2022-04-08,4.61,TAKE,MACRO_CORRECTIVE_PULLBACK,EXIT_ONLY
3622,2022-05-06,0.51,SKIP,MACRO_RANGE,RESIDUAL
3678,2022-05-19,2.19,REVIEW,MACRO_BEAR_LEG,RESIDUAL
3773,2022-06-10,4.85,SKIP,MACRO_BULL_LEG,EXIT_ONLY
3799,2022-06-16,0.0,SKIP,MACRO_BULL_LEG,RESIDUAL
3825,2022-06-23,0.96,SKIP,MACRO_BEAR_LEG,RESIDUAL
3836,2022-06-26,0.47,SKIP,MACRO_BEAR_LEG,RESIDUAL
3929,2022-07-18,0.05,SKIP,MACRO_BEAR_LEG,RESIDUAL
3949,2022-07-21,6.62,SKIP,MACRO_BEAR_LEG,READING_ONLY
