plot_id,set,datetime,bar_idx,d1_leg,gate_v3,blocked_v3,dist_4h_demand_atr,dist_4h_supply_atr,net_micro_location,has_overhead,demand_touched,demand_origin_leg,supply_rejected_before,supply_broken_before,legpos30,legpos90,va_state,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,drop20_atr,rise20_atr,micro_bottom_reclaim,micro_top_chase,smc_bos,smc_choch_bars_ago,rsi,rsi_1d,rsi_min8,rsi_max8,bear_div,bub_buy_sell_ratio,bub_large_buy_10b,bub_large_sell_10b,sup_cat,pol_cat,demand_cat,micro_range_position,swept_prior_high,bars_since_swing
T12,B,2021-07-14 02:00,2364,MACRO_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,YES,1.78,5.21,3.43,1.0,1.0,1.0,0.0,0.0,79.7,92.0,NEAR_POC,False,0.5,0.77,0.43,0.49,0.65,5.21,0.12,2.56,False,False,,3,54.41,51.5,53.1,59.14,0.0,1.0,0.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T13,C,2021-08-11 18:00,2488,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,3.81,6.2,2.39,1.0,1.0,0.0,0.0,0.0,53.4,47.2,ABOVE_VAH,False,2.02,2.52,1.86,-0.14,2.81,6.2,1.43,3.33,False,True,,,49.4,24.6,19.85,49.4,0.0,0.0,0.0,1.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T14,C,2021-08-13 06:00,2497,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,2.49,7.07,4.58,1.0,1.0,1.0,0.0,1.0,64.7,51.7,NEAR_POC,False,0.39,0.67,0.32,0.4,1.18,7.07,0.0,5.38,False,False,,,52.77,37.0,48.0,52.77,0.0,0.0,0.0,0.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T15,B,2021-09-22 02:00,2663,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,2.89,3.07,0.18,1.0,1.0,1.0,0.0,0.0,55.1,38.8,NEAR_VAL,False,0.25,0.41,0.61,0.18,1.71,3.07,0.0,4.07,False,True,,,56.14,45.7,44.33,56.38,0.0,2.0,0.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T16,B,2021-11-15 23:00,2896,MACRO_RANGE,ALLOW,NO,1.4,3.34,1.94,1.0,1.0,1.0,0.0,0.0,94.1,97.3,NEAR_VAL,False,-0.16,0.41,0.58,0.58,0.35,3.34,0.05,2.91,False,False,,,59.35,72.7,57.93,66.13,0.0,8.0,7.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T17,B,2021-11-26 03:00,2944,MACRO_BULL_LEG,ALLOW,NO,3.45,8.56,5.11,1.0,1.0,0.0,0.0,1.0,25.9,23.0,ABOVE_VAH,False,1.05,1.7,1.13,1.07,2.14,8.56,1.32,2.91,False,True,,,46.08,40.3,23.29,46.08,0.0,0.0,0.0,0.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T18,B,2021-12-30 19:00,3085,MACRO_TRANSITION,ALLOW,NO,3.84,6.56,2.72,1.0,1.0,0.0,0.0,0.0,81.5,91.5,ABOVE_VAH,False,1.92,2.45,1.41,0.12,2.62,6.56,0.5,2.87,False,True,,,59.96,51.8,40.83,59.96,0.0,2.0,0.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T19,C,2022-01-10 15:00,3126,MACRO_BULL_LEG,BLOCK_BEAR_MARKDOWN,YES,2.27,3.29,1.02,1.0,1.0,1.0,0.0,0.0,37.4,35.9,ABOVE_VAH,False,0.79,1.14,0.78,0.78,1.27,3.29,3.32,1.62,True,False,,12,43.16,46.0,36.54,48.66,0.0,0.0,0.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T20,B,2022-01-25 07:00,3190,MACRO_BULL_LEG,ALLOW,NO,1.04,2.53,1.49,1.0,1.0,0.0,0.0,0.0,75.9,84.4,BELOW_VAL,True,-0.37,-0.25,0.48,-0.46,0.08,2.53,1.08,0.72,False,False,,,56.85,61.2,51.48,57.56,0.0,0.0,0.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_FLOATING_NO_BASE,DEMAND_PRESENT_NEUTRAL,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T23,B,2022-03-24 10:00,3443,MACRO_BULL_LEG,ALLOW,NO,4.17,4.37,0.2,1.0,1.0,0.0,0.0,0.0,90.8,33.3,ABOVE_VAH,False,1.02,1.49,0.92,1.24,3.02,4.37,0.0,3.24,False,True,,3,56.62,52.6,40.83,59.71,0.0,1.0,0.0,0.0,CLEAN_SKY,POLARITY_FLOATING_NO_BASE,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T24,B,2022-03-31 14:00,3474,MACRO_RANGE,ALLOW,NO,4.98,4.82,-0.16,1.0,0.0,0.0,0.0,1.0,72.3,47.5,ABOVE_VAH,False,0.64,1.64,1.32,0.68,3.93,4.82,0.0,3.41,False,True,,12,55.46,48.3,42.05,55.46,0.0,3.0,2.0,0.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_TOO_DEEP,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T25,B,2022-04-05 10:00,3491,MACRO_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,YES,2.76,5.81,3.05,1.0,1.0,0.0,0.0,1.0,87.2,68.5,ABOVE_VAH,False,1.23,1.61,0.76,1.3,1.96,5.81,0.3,2.27,False,True,,,49.95,49.4,41.47,52.79,0.0,0.0,0.0,0.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T26,B,2022-04-08 10:00,3509,MACRO_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,YES,2.71,6.51,3.8,1.0,1.0,1.0,0.0,1.0,82.9,65.0,ABOVE_VAH,False,0.82,1.06,0.37,0.82,1.44,6.51,0.29,2.06,False,True,,,53.45,50.5,46.25,56.2,0.0,6.0,1.0,0.0,CLEAN_SKY,RECLAIM_ACCEPTED_ABOVE_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T27,C,2022-07-18 10:00,3929,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,1.96,1.64,-0.32,1.0,1.0,1.0,0.0,0.0,44.8,15.1,NEAR_VAL,False,-0.3,0.48,0.89,-0.31,1.04,1.64,2.05,1.63,False,False,,0,51.02,24.6,33.05,51.02,0.0,0.0,0.0,7.0,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T30,B,2024-01-04 03:00,6193,MACRO_BULL_LEG,ALLOW,NO,1.93,2.39,0.46,1.0,1.0,1.0,1.0,0.0,28.8,64.3,NEAR_POC,False,0.26,0.52,0.27,0.26,1.06,2.39,2.8,1.12,False,False,,4,39.87,51.6,31.97,49.26,0.0,0.0,0.0,1.0,SUPPLY_FAR_ENOUGH,RECLAIM_REJECTED_BELOW_SUPPLY,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T32,C,2024-04-11 14:00,6610,MACRO_BULL_LEG,ALLOW,NO,2.16,,,0.0,1.0,1.0,0.0,0.0,90.7,95.7,ABOVE_VAH,False,0.76,1.37,0.64,0.76,1.54,,0.41,1.69,False,False,,,56.87,74.0,51.16,61.85,0.0,3.0,1.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T33,C,2024-05-09 10:00,6729,MACRO_CORRECTIVE_PULLBACK,BLOCK_CORRECTIVE_PULLBACK,YES,1.84,1.73,-0.11,1.0,1.0,1.0,0.0,0.0,86.1,33.6,ABOVE_VAH,False,1.12,1.5,0.84,1.49,0.66,1.73,0.32,1.49,False,False,,,46.21,49.7,46.21,52.35,0.0,0.0,0.0,0.0,SUPPLY_BLOCKS_TARGET,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T34,C,2024-06-14 18:00,6887,MACRO_BEAR_LEG,BLOCK_BEAR_MARKDOWN,YES,2.9,3.28,0.38,1.0,1.0,1.0,0.0,0.0,83.8,45.5,NEAR_POC,False,-0.03,1.4,1.72,-0.11,1.87,3.28,0.13,2.44,False,True,,6,59.71,43.4,39.75,59.71,0.0,4.0,4.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T36,C,2025-03-27 06:00,8095,MACRO_BULL_LEG,ALLOW,NO,2.24,,,0.0,1.0,1.0,0.0,0.0,78.0,90.1,ABOVE_VAH,False,0.84,1.73,0.92,0.82,1.46,,0.0,2.64,False,False,,,63.45,65.8,47.54,63.45,0.0,2.0,1.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T40,B,2025-11-13 19:00,9081,MACRO_RANGE,ALLOW,NO,2.12,5.27,3.15,1.0,1.0,1.0,0.0,0.0,72.7,79.4,BELOW_VAL,True,-0.62,-0.33,1.19,0.38,1.29,5.27,1.54,2.51,False,False,,,56.69,64.3,56.69,78.1,0.0,9.0,10.0,0.0,CLEAN_SKY,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
T42,B,2026-04-17 14:00,9727,MACRO_RANGE,BLOCK_BEAR_MARKDOWN,YES,2.64,3.18,0.54,1.0,1.0,0.0,0.0,0.0,89.0,95.0,ABOVE_VAH,False,1.86,2.64,1.13,-0.52,1.7,3.18,0.5,2.34,False,True,,,67.75,51.9,51.03,67.75,0.0,0.0,2.0,0.0,SUPPLY_FAR_ENOUGH,POLARITY_SUPPORTED_BY_DEMAND,DEMAND_SUPPORTING_RETEST,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES,UNAVAILABLE_NO_CONTIGUOUS_SERIES
