i,entry_ts,sl_atr,exit_type,R,year
55,2020-01-14 07:00,4.53,SCRATCH_timeout,0.97,2020
78,2020-01-20 03:00,2.87,STOP_LOSS,-1.1,2020
116,2020-01-28 15:00,1.78,STOP_LOSS,-1.1,2020
130,2020-01-30 23:00,1.47,WIN_partialBE,0.79,2020
140,2020-02-03 15:00,0.8,STOP_LOSS,-1.1,2020
149,2020-02-05 03:00,1.87,WIN_partial_held,2.7,2020
159,2020-02-06 19:00,2.29,WIN_partial_held,2.83,2020
237,2020-02-25 23:00,0.49,STOP_LOSS,-1.1,2020
287,2020-03-09 06:00,1.24,STOP_LOSS,-1.1,2020
351,2020-03-23 22:00,4.22,SCRATCH_timeout,0.82,2020
383,2020-03-31 06:00,11.38,SCRATCH_timeout,0.61,2020
391,2020-04-01 14:00,1.03,WIN_RUNNER,3.9,2020
458,2020-04-17 18:00,2.85,SCRATCH_timeout,0.32,2020
493,2020-04-27 14:00,0.3,WIN_partialBE,0.9,2020
521,2020-05-04 06:00,2.96,SCRATCH_timeout,1.37,2020
542,2020-05-07 18:00,3.29,SCRATCH_timeout,0.22,2020
583,2020-05-18 14:00,5.05,SCRATCH_timeout,0.02,2020
597,2020-05-20 22:00,2.34,STOP_LOSS,-1.1,2020
631,2020-05-28 18:00,2.68,STOP_LOSS,-1.1,2020
685,2020-06-10 18:00,4.53,SCRATCH_timeout,0.38,2020
702,2020-06-15 14:00,1.38,WIN_partial_held,2.43,2020
766,2020-06-30 06:00,3.04,WIN_partial_held,1.54,2020
780,2020-07-02 14:00,2.01,WIN_partial_held,1.43,2020
833,2020-07-15 14:00,2.86,WIN_RUNNER,3.9,2020
845,2020-07-17 14:00,2.9,WIN_RUNNER,3.9,2020
886,2020-07-28 10:00,7.11,SCRATCH_timeout,-0.04,2020
901,2020-07-30 22:00,1.72,WIN_partialBE,0.9,2020
934,2020-08-07 10:00,4.89,STOP_LOSS,-1.1,2020
970,2020-08-17 10:00,6.81,SCRATCH_timeout,-0.13,2020
1027,2020-08-30 22:00,3.91,STOP_LOSS,-1.1,2020
1072,2020-09-09 14:00,3.16,STOP_LOSS,-1.1,2020
1151,2020-09-28 18:00,2.7,SCRATCH_timeout,1.1,2020
1200,2020-10-08 22:00,3.32,SCRATCH_timeout,-0.16,2020
1211,2020-10-12 18:00,4.48,SCRATCH_timeout,-0.59,2020
1221,2020-10-14 10:00,2.88,STOP_LOSS,-1.1,2020
1298,2020-11-02 07:00,2.92,WIN_partialBE,0.9,2020
1316,2020-11-05 07:00,2.93,STOP_LOSS,-1.1,2020
1326,2020-11-08 23:00,6.83,STOP_LOSS,-1.1,2020
1353,2020-11-13 11:00,3.86,STOP_LOSS,-1.1,2020
1429,2020-12-02 11:00,4.76,SCRATCH_timeout,0.55,2020
