episode_id,entry_ts,SL_ATR,model,visual_label,BOM_NAO_UNK,baseline_R,structural_R,cap4_reject,cap4_clamp_R,reason
idx8765,2025-09-02 02:00,5.5,M5_SWING_ORIGIN,,UNKNOWN,3.9,1.95,REJECTED,2.34,unknown — needs visual/better entry
idx8966,2025-10-17 14:00,5.42,M5_SWING_ORIGIN,,UNKNOWN,0.9,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx9243,2025-12-22 19:00,5.42,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx3534,2022-04-14 14:00,5.41,M5_SWING_ORIGIN,,NAO,0.9,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx7129,2024-08-12 02:00,5.39,M5_SWING_ORIGIN,,UNKNOWN,0.9,1.24,REJECTED,1.8,unknown — needs visual/better entry
idx6119,2023-12-14 19:00,5.36,M5_SWING_ORIGIN,,UNKNOWN,-1.1,0.31,REJECTED,0.45,unknown — needs visual/better entry
E24,2020-08-07 10:00,5.32,M5_SWING_ORIGIN,MACRO_BEAR_NO_LONG,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,top/exhaustion
E1,2020-03-23 22:00,5.3,M5_SWING_ORIGIN,TRUE_L2_STRUCTURAL_SETUP,UNKNOWN,0.88,0.64,REJECTED,0.87,unknown — needs visual/better entry
idx2663,2021-09-22 02:00,5.3,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx1168,2020-10-01 14:00,5.29,M5_SWING_ORIGIN,,NAO,-1.1,-0.12,REJECTED,-0.12,unknown — needs visual/better entry
idx1623,2021-01-20 03:00,5.28,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-0.37,REJECTED,-0.46,unknown — needs visual/better entry
idx5055,2023-04-11 06:00,5.26,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-0.39,REJECTED,-0.49,unknown — needs visual/better entry
idx7943,2025-02-19 23:00,5.25,M5_SWING_ORIGIN,,UNKNOWN,-1.1,-1.1,REJECTED,-1.1,unknown — needs visual/better entry
idx9492,2026-02-20 11:00,5.19,M5_SWING_ORIGIN,,UNKNOWN,0.9,0.25,REJECTED,0.9,unknown — needs visual/better entry
