candidate_id,timestamp,source,source_family,reason_flags,kept,prune_reason,GT_match,NAO_match,gt_id,notes
C53,2020-01-13 23:00,nivel_interno,proximity,no_retest|overextended_entry,pruned,no_retest,no,no,,classic_BOS/B
C54,2020-01-14 03:00,nivel_interno,proximity,no_retest|overextended_entry,pruned,no_retest,no,no,,classic_BOS/B
C58,2020-01-14 19:00,swing_high_simples,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C64,2020-01-15 19:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C66,2020-01-16 03:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C70,2020-01-16 19:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C72,2020-01-17 03:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C81,2020-01-20 15:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/A
C93,2020-01-22 19:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/A
C99,2020-01-23 19:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/A
C100,2020-01-23 23:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/B
C101,2020-01-24 03:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/B
C111,2020-01-27 19:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C112,2020-01-27 23:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C113,2020-01-28 03:00,topo_duplo,structural,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C117,2020-01-28 19:00,fractal_3_3,fractal,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C118,2020-01-28 23:00,fractal_3_3,fractal,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C119,2020-01-29 03:00,fractal_3_3,fractal,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C131,2020-01-31 03:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/A
C135,2020-01-31 19:00,topo_duplo,structural,bear_flag|first_retomada|BOS_fraco,pruned,bear_flag,no,no,,classic_BOS/A
C141,2020-02-03 19:00,topo_duplo,structural,volume_fraco|first_retomada|BOS_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C147,2020-02-04 19:00,topo_duplo,structural,volume_fraco|BOS_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C154,2020-02-05 23:00,topo_duplo,structural,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/B
C159,2020-02-06 19:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/A
C167,2020-02-10 03:00,fractal_3_3,fractal,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/A
C177,2020-02-11 19:00,topo_duplo,structural,volume_fraco|first_retomada,pruned,volume_fraco,no,no,,classic_BOS/B
C183,2020-02-12 19:00,fractal_3_3,fractal,volume_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C184,2020-02-12 23:00,fractal_3_3,fractal,bear_flag|first_retomada,pruned,bear_flag,no,no,,classic_BOS/A
C185,2020-02-13 03:00,fractal_3_3,fractal,bear_flag|overextended_entry|first_retomada,pruned,bear_flag,no,no,,classic_BOS/A
C187,2020-02-13 11:00,fractal_3_3,fractal,bear_flag|overextended_entry|first_retomada,pruned,bear_flag,no,no,,classic_BOS/A
C189,2020-02-13 19:00,fractal_3_3,fractal,volume_fraco|first_retomada|BOS_fraco,pruned,volume_fraco,no,no,,classic_BOS/B
C191,2020-02-14 03:00,fractal_3_3,fractal,volume_fraco|first_retomada|BOS_fraco,pruned,volume_fraco,no,no,,classic_BOS/A
C194,2020-02-14 15:00,fractal_3_3,fractal,no_retest|overextended_entry|first_retomada,pruned,no_retest,no,no,,classic_BOS/A
C195,2020-02-14 19:00,topo_duplo,structural,volume_fraco|bear_flag|first_retomada|BOS_fraco,pruned,volume_fraco|bear_flag,no,no,,classic_BOS/B
