episode_id,datetime,macro_phase_causal,old_policy,exit,realR
2372,2021-07-15,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
2428,2021-07-28,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
2488,2021-08-11,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,SCRATCH,1.02
2497,2021-08-13,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_HELD,1.99
2544,2021-08-25,MACRO_RANGE_TRANSITION,UNKNOWN,WIN_BE,0.9
2663,2021-09-22,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
2705,2021-10-01,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,SCRATCH,1.19
2737,2021-10-08,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,STOP_LOSS,-1.1
2747,2021-10-12,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_BE,0.9
2859,2021-11-05,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,SCRATCH,0.36
2896,2021-11-15,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
2905,2021-11-17,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
2922,2021-11-22,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
2944,2021-11-26,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
2991,2021-12-08,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
3011,2021-12-13,MACRO_RANGE_TRANSITION,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
3029,2021-12-16,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,SCRATCH,0.59
3070,2021-12-28,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
3085,2021-12-30,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
3102,2022-01-04,MACRO_BULL_PULLBACK,TAKE_CANDIDATE,STOP_LOSS,-1.1
3118,2022-01-07,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,0.99
3126,2022-01-10,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,WIN_HELD,2.02
3147,2022-01-14,MACRO_BULL_RUN,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
3162,2022-01-18,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
3178,2022-01-21,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
3190,2022-01-25,MACRO_BULL_RUN,TAKE_CANDIDATE,STOP_LOSS,-1.1
3219,2022-02-01,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,WIN_HELD,2.66
3238,2022-02-04,MACRO_RANGE_TRANSITION,REVIEW,WIN_HELD,2.41
3252,2022-02-08,MACRO_BULL_RUN,REVIEW,WIN_HELD,1.84
3326,2022-02-24,MACRO_BULL_RUN,REVIEW,STOP_LOSS,-1.1
3443,2022-03-24,MACRO_RANGE_TRANSITION,REVIEW,STOP_LOSS,-1.1
3474,2022-03-31,MACRO_RANGE_TRANSITION,REVIEW,SCRATCH,0.38
3491,2022-04-05,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_BE,0.9
3509,2022-04-08,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,WIN_BE,0.9
3622,2022-05-06,MACRO_BULL_PULLBACK,HUMAN_VISUAL_REQUIRED,STOP_LOSS,-1.1
3678,2022-05-19,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,SCRATCH,0.66
3773,2022-06-10,MACRO_RANGE_TRANSITION,TAKE_CANDIDATE,STOP_LOSS,-1.1
3799,2022-06-16,MACRO_BEAR_MARKDOWN,TAKE_CANDIDATE,STOP_LOSS,-1.1
3825,2022-06-23,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,STOP_LOSS,-1.1
3836,2022-06-26,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,STOP_LOSS,-1.1
3929,2022-07-18,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,STOP_LOSS,-1.1
3949,2022-07-21,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,WIN_HELD,3.54
4095,2022-08-25,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,STOP_LOSS,-1.1
4243,2022-09-28,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,SCRATCH,0.18
4309,2022-10-13,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,STOP_LOSS,-1.1
4346,2022-10-23,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,SCRATCH,0.4
4372,2022-10-28,MACRO_BEAR_MARKDOWN,TAKE_CANDIDATE,STOP_LOSS,-1.1
4384,2022-11-01,MACRO_BEAR_MARKDOWN,SKIP_STRUCTURAL,WIN_HELD,2.75
4401,2022-11-04,MACRO_BEAR_MARKDOWN,TAKE_CANDIDATE,WIN_HELD,2.76
4429,2022-11-10,MACRO_RANGE_TRANSITION,SKIP_STRUCTURAL,SCRATCH,-0.11
4483,2022-11-23,MACRO_RANGE_TRANSITION,REVIEW,WIN_HELD,1.82
