factor,group,causal,in_prompt,null_rate_pct,caveat
episode_id,meta,YES,YES (packet completo dado ao agente),96.4,
bar_idx,meta,YES,YES (packet completo dado ao agente),0.0,
ts,meta,YES,YES (packet completo dado ao agente),0.0,
datetime,meta,YES,YES (packet completo dado ao agente),0.0,
price,meta,YES,YES (packet completo dado ao agente),0.0,
atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
macro_leg_direction,macro/regime,YES,YES (packet completo dado ao agente),0.0,"REFERENCE_ONLY na maioria (placeholder, pouco útil)"
macro_leg_phase,macro/regime,YES,YES (packet completo dado ao agente),0.0,
trend_30_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
trend_90_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.7,
slope20_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
dist_sma20_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
dist_sma50_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
price_vs_sma50,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
rsi_1d,momentum/RSI,YES,YES (packet completo dado ao agente),0.4,
rsi_1d_ma,momentum/RSI,YES,YES (packet completo dado ao agente),1.4,
rsi_1d_sub_ma,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
drop20_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
rise20_atr,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
rsi,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
rsi_min8,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
rsi_max8,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
rsi_vs_ma,momentum/RSI,YES,YES (packet completo dado ao agente),3.3,
rsi_drop_6b,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
consec_down,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
consec_up,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
range_exp,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
atr_level,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
atr_pctile_proxy,momentum/legpos,YES,YES (packet completo dado ao agente),0.7,
sweet_spot_falling_knife,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
legpos30,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
legpos60,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
legpos90,momentum/legpos,YES,YES (packet completo dado ao agente),0.0,
rsi_bear_div_20b,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
rsi_bull_div_20b,momentum/RSI,YES,YES (packet completo dado ao agente),0.0,
nas_long_new_8b,NAS,YES,YES (packet completo dado ao agente),0.0,
nas_short_new_8b,NAS,YES,YES (packet completo dado ao agente),0.0,
nas_dist_ema_atr,NAS,YES,YES (packet completo dado ao agente),37.3,
nas_rsi,momentum/RSI,YES,YES (packet completo dado ao agente),3.3,
nas_1d_long_recent,NAS,YES,YES (packet completo dado ao agente),0.0,
bub_buy_s,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_buy_m,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_buy_L,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_sell_s,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_sell_m,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_sell_L,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_poc_recent,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_buy_total,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_sell_total,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_buy_sell_ratio,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_large_sell_10b,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
bub_large_buy_10b,bubbles/auction,YES,YES (packet completo dado ao agente),0.0,
has_4h_demand,demand/supply,YES,YES (packet completo dado ao agente),0.0,
dist_4h_demand_low_atr,demand/supply,YES,YES (packet completo dado ao agente),3.6,
demand_width_atr,demand/supply,YES,YES (packet completo dado ao agente),3.6,
demand_age_bars,demand/supply,YES,YES (packet completo dado ao agente),100.0,
demand_touched_on_retest,demand/supply,YES,YES (packet completo dado ao agente),0.0,
demand_origin_of_leg,demand/supply,YES,YES (packet completo dado ao agente),0.0,
has_d1_demand,demand/supply,YES,YES (packet completo dado ao agente),0.0,
dist_d1_demand_atr,demand/supply,YES,YES (packet completo dado ao agente),0.0,
has_4h_supply_overhead,demand/supply,YES,YES (packet completo dado ao agente),0.0,
dist_4h_supply_low_atr,demand/supply,YES,YES (packet completo dado ao agente),18.1,
supply_blocks_2ATR,demand/supply,YES,YES (packet completo dado ao agente),0.0,flag binário (distância contínua dist_4h_supply_low_atr é o sinal real)
supply_blocks_3ATR,demand/supply,YES,YES (packet completo dado ao agente),0.0,flag binário (distância contínua dist_4h_supply_low_atr é o sinal real)
supply_rejected_before,demand/supply,YES,YES (packet completo dado ao agente),0.0,
supply_broken_before,demand/supply,YES,YES (packet completo dado ao agente),0.0,
has_d1_supply,demand/supply,YES,YES (packet completo dado ao agente),0.0,
dist_d1_supply_atr,demand/supply,YES,YES (packet completo dado ao agente),21.4,
rel_volume,volume/SVP,YES,YES (packet completo dado ao agente),1.8,Session VP nativo; causalidade within-session auditada OK
below_VAL,volume/SVP,YES,YES (packet completo dado ao agente),0.0,Session VP nativo; causalidade within-session auditada OK
dist_POC_atr,volume/SVP,YES,YES (packet completo dado ao agente),0.0,Session VP nativo; causalidade within-session auditada OK
dist_VAL_atr,volume/SVP,YES,YES (packet completo dado ao agente),0.0,
