type,bar_idx,datetime,mfe_R,policy,leg,context,signature
LOSER_KEPT,2222,2021-06-10,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,2372,2021-07-15,1.0,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bull_no_run
LOSER_KEPT,2544,2021-08-25,0.6,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bear_pullback_long
LOSER_KEPT,2896,2021-11-15,0.81,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,2905,2021-11-17,0.38,TAKE,MACRO_RANGE,PULLBACK,supply_misread
LOSER_KEPT,3070,2021-12-28,0.29,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,3085,2021-12-30,1.75,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,3147,2022-01-14,0.27,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,3238,2022-02-04,0.0,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,3326,2022-02-24,0.29,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,3443,2022-03-24,0.82,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,3491,2022-04-05,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bull_no_run
LOSER_KEPT,4429,2022-11-10,1.64,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bear_pullback_long
LOSER_KEPT,4574,2022-12-15,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,4677,2023-01-11,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,4763,2023-01-31,1.86,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,4899,2023-03-03,1.14,TAKE,MACRO_BEAR_LEG,PULLBACK,bull_no_run
LOSER_KEPT,4908,2023-03-06,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bull_no_run
LOSER_KEPT,5016,2023-03-30,0.53,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,5103,2023-04-21,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,5165,2023-05-05,1.85,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,5321,2023-06-12,1.98,TAKE,MACRO_RANGE,PULLBACK,supply_misread
LOSER_KEPT,5350,2023-06-19,0.29,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,5478,2023-07-18,0.77,TAKE,MACRO_RANGE,PULLBACK,bear_pullback_long
LOSER_KEPT,5920,2023-10-30,0.38,TAKE,MACRO_TRANSITION,PULLBACK,supply_misread
LOSER_KEPT,5998,2023-11-16,1.04,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,6049,2023-11-29,0.39,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,6162,2023-12-26,1.98,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,6193,2024-01-04,0.24,TAKE,MACRO_BULL_LEG,BOTTOM,bull_no_run
LOSER_KEPT,6362,2024-02-13,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,6471,2024-03-08,1.28,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bull_no_run
LOSER_KEPT,6489,2024-03-13,1.0,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,supply_misread
LOSER_KEPT,6597,2024-04-09,0.32,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,6711,2024-05-06,0.12,TAKE,MACRO_RANGE,PULLBACK,supply_misread
LOSER_KEPT,6741,2024-05-13,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,supply_misread
LOSER_KEPT,6767,2024-05-17,1.87,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,supply_misread
LOSER_KEPT,6819,2024-05-30,0.61,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,6832,2024-06-03,0.23,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,6844,2024-06-05,1.62,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,6887,2024-06-14,0.0,TAKE,MACRO_BEAR_LEG,PULLBACK,bull_no_run
LOSER_KEPT,6923,2024-06-24,0.15,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,supply_misread
LOSER_KEPT,6954,2024-07-01,0.02,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bull_no_run
LOSER_KEPT,6977,2024-07-05,0.01,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,7053,2024-07-24,0.6,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,7509,2024-11-07,0.56,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,7797,2025-01-16,0.12,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,7902,2025-02-11,0.02,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,7943,2025-02-19,0.75,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,7993,2025-03-04,0.58,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,8277,2025-05-09,0.04,TAKE,MACRO_TRANSITION,PULLBACK,supply_misread
LOSER_KEPT,8338,2025-05-23,0.0,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,supply_misread
LOSER_KEPT,8371,2025-06-02,1.62,TAKE,MACRO_CORRECTIVE_PULLBACK,TOP,bull_no_run
LOSER_KEPT,8431,2025-06-16,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,8479,2025-06-26,0.0,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,8497,2025-07-01,0.63,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,8544,2025-07-11,1.83,TAKE,MACRO_CORRECTIVE_PULLBACK,PULLBACK,bull_no_run
LOSER_KEPT,8659,2025-08-07,1.07,TAKE,MACRO_TRANSITION,PULLBACK,bull_no_run
LOSER_KEPT,8823,2025-09-15,1.05,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,8893,2025-10-01,0.57,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,8923,2025-10-08,0.58,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,9081,2025-11-13,1.35,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,9256,2025-12-26,0.72,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,9304,2026-01-08,0.3,TAKE,MACRO_BULL_LEG,PULLBACK,supply_misread
LOSER_KEPT,9329,2026-01-14,0.21,TAKE,MACRO_BULL_LEG,PULLBACK,bull_no_run
LOSER_KEPT,9530,2026-03-02,0.87,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
LOSER_KEPT,9537,2026-03-03,0.36,TAKE,MACRO_RANGE,BOTTOM,bull_no_run
LOSER_KEPT,9727,2026-04-17,0.1,TAKE,MACRO_RANGE,PULLBACK,bull_no_run
