bar_idx,datetime,context,engine_policy,indicator_score,indicator_confluence,bubbles,nas,smc,rsi,crossed_policy,EVAL_exitype,EVAL_realR
845,2020-07-17,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,WIN_RUNNER,3.9
866,2020-07-23,PULLBACK,REVIEW_RISK,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK_BULL,WIN_HELD,2.09
886,2020-07-28,PULLBACK,REVIEW_RISK,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,REVIEW_RISK,SCRATCH,-0.04
901,2020-07-30,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,WIN_BE,0.9
919,2020-08-04,PULLBACK,TAKE,2,STRONG_BULL_CONFIRM,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_BOS_CONTINUATION,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
934,2020-08-07,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
970,2020-08-17,PULLBACK,REVIEW_RISK,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,REVIEW_RISK,SCRATCH,-0.13
1027,2020-08-30,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_BUY_ACCUM_PULLBACK,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1072,2020-09-09,PULLBACK,TAKE,1,WEAK_BULL,BUBBLE_MIXED,NAS_NEUTRAL,SMC_CHOCH_BULL_TRIGGER,RSI_NO_DIV,TAKE_CONFIRMED,STOP_LOSS,-1.1
1151,2020-09-28,TOP,SKIP,-1,WEAK_BEAR,BUBBLE_SELL_DISTRIBUTION,NAS_NEUTRAL,SMC_NONE,RSI_NO_DIV,SKIP_CONFIRMED,SCRATCH,1.1
