window,n_total,n_filtered,filt_netR,filt_avgR,filt_WR,kept_avgR_before,kept_avgR_after,kept_sumR_before,kept_sumR_after,DD_before,DD_after,streak_before,streak_after,BOM_cut,must_cut,UNK_cut,NAO_cut
2021-2022,74,2,-1.2,-0.603,0.0,-0.13,-0.117,-9.6,-8.4,18.7,17.6,8,7,0,0,2,0
2020,46,3,1.7,0.578,66.7,0.324,0.307,14.9,13.2,8.9,7.8,9,8,0,0,3,0
2021,38,1,-1.1,-1.1,0.0,-0.329,-0.308,-12.5,-11.4,13.2,12.1,8,7,0,0,1,0
2022,36,1,-0.1,-0.107,0.0,0.08,0.085,2.9,3.0,6.7,6.7,6,6,0,0,1,0
2023,41,6,-3.0,-0.503,16.7,0.239,0.366,9.8,12.8,8.1,6.5,6,6,0,0,6,0
2024,45,8,-1.2,-0.144,50.0,0.341,0.446,15.3,16.5,6.6,6.6,6,6,0,0,8,0
2025,50,9,2.9,0.325,66.7,0.431,0.454,21.6,18.6,9.2,8.1,5,5,0,0,9,0
2026,20,2,-0.2,-0.1,50.0,0.524,0.593,10.5,10.7,5.1,5.1,4,4,0,0,2,0
