state,n,runner_pct,runner_lift,loser_pct,loser_lift,monumentals
LEGITIMATE_BEAR_BUY,37,37.8,1.45,54.1,0.89,6
BEAR_PULLBACK_TRAP,23,13.0,0.5,65.2,1.07,0
MARKUP_THROUGH_SUPPLY,90,26.7,1.02,57.8,0.95,14
SUPPLY_REJECTION_TRAP,28,25.0,0.96,71.4,1.17,1
REVERSAL_RUNNER,2,50.0,1.92,0.0,0.0,0
BULL_PULLBACK_CONTINUATION,32,25.0,0.96,62.5,1.03,2
STRUCTURAL_RISK_SL_PROBLEM,51,27.5,1.05,64.7,1.06,7
UNKNOWN_CONFLICT,13,7.7,0.29,61.5,1.01,0
