episode_id,bar_idx,ts,datetime,price,atr,macro_leg_direction,macro_leg_phase,trend_30_atr,trend_90_atr,slope20_atr,dist_sma20_atr,dist_sma50_atr,price_vs_sma50,rsi_1d,rsi_1d_ma,rsi_1d_sub_ma,drop20_atr,rise20_atr,rsi,rsi_min8,rsi_max8,rsi_vs_ma,rsi_drop_6b,consec_down,consec_up,range_exp,atr_level,atr_pctile_proxy,sweet_spot_falling_knife,legpos30,legpos60,legpos90,rsi_bear_div_20b,rsi_bull_div_20b,nas_long_new_8b,nas_short_new_8b,nas_dist_ema_atr,nas_rsi,nas_1d_long_recent,bub_buy_s,bub_buy_m,bub_buy_L,bub_sell_s,bub_sell_m,bub_sell_L,bub_poc_recent,bub_buy_total,bub_sell_total,bub_buy_sell_ratio,bub_large_sell_10b,bub_large_buy_10b,has_4h_demand,dist_4h_demand_low_atr,demand_width_atr,demand_age_bars,demand_touched_on_retest,demand_origin_of_leg,has_d1_demand,dist_d1_demand_atr,has_4h_supply_overhead,dist_4h_supply_low_atr,supply_blocks_2ATR,supply_blocks_3ATR,supply_rejected_before,supply_broken_before,has_d1_supply,dist_d1_supply_atr,rel_volume,below_VAL,dist_POC_atr,dist_VAL_atr,va_width_atr,smc_bos,smc_choch_bars_ago,smc_choch_text,reclaim_body_atr,reclaim_dist_from_demand_atr,reclaim_dist_from_supply_atr,sl_atr,sl_source,sl_type,F_STRICT_top_late,hour_utc,dead_hour
E1,351,1585000800,2020-03-23 22:00,1572.68,22.68,REFERENCE_ONLY,REFERENCE_ONLY,3.54,-1.15,3.73,3.23,2.07,above,36.5,44.7,True,0.0,4.48,62.35,44.75,62.35,above,0.0,0,1,1.32,22.68,0.99,False,92.7,53.0,48.2,0,0,0,0,0.97,62.35,0,1,2,0,0,0,0,0,3,0,3,0,2,1,4.12,0.6,,1,0,1,1.56,1,0.68,1,1,0,0,1,1.77,0.61,False,0.27,0.67,0.87,,2,CHOCH,0.79,3.51,0.68,4.22,demand,NORMAL_DEMAND_BASE,False,22,False
,383,1585634400,2020-03-31 06:00,1606.56,13.46,REFERENCE_ONLY,REFERENCE_ONLY,1.31,-3.86,0.21,-0.96,2.42,above,55.0,45.1,False,2.31,0.5,53.83,53.83,59.59,below,5.8,1,0,1.33,13.46,0.54,False,55.8,80.0,70.6,0,0,0,0,1.37,53.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.45,1.01,,0,0,1,2.02,1,4.11,0,0,0,0,1,1.29,0.53,True,-0.47,-0.3,0.68,,,,-0.6,8.43,4.11,11.38,swing,LATE_WIDE,False,6,False
E17,391,1585749600,2020-04-01 14:00,1582.37,15.46,REFERENCE_ONLY,REFERENCE_ONLY,-1.86,-3.95,-2.57,-1.51,-0.56,below,49.1,46.1,False,2.68,0.42,40.73,35.75,53.95,below,9.6,0,1,1.18,15.46,0.63,True,18.7,67.2,61.9,0,0,0,0,,40.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.93,0.9,,1,1,1,1.76,1,5.15,0,0,0,0,1,1.76,1.08,False,0.1,0.23,1.05,,6,CHOCH,0.13,0.03,5.15,1.03,demand,V_REVERSAL_DEMAND,False,14,False
,413,1586239200,2020-04-07 06:00,1650.38,13.56,REFERENCE_ONLY,REFERENCE_ONLY,3.23,13.24,4.78,1.86,2.58,above,62.0,53.2,False,0.9,4.78,77.4,60.25,77.4,above,0.0,1,0,2.02,13.56,0.59,False,77.7,79.6,89.2,0,0,0,0,3.81,77.4,0,2,1,6,0,0,0,0,9,0,9,0,7,1,3.29,1.1,,1,1,1,3.66,1,0.85,1,1,1,0,1,0.85,1.1,True,-0.58,-0.25,1.04,,,,-0.9,2.19,0.85,3.39,demand,TOP_EXHAUSTION,True,6,False
,458,1587146400,2020-04-17 18:00,1681.43,14.9,REFERENCE_ONLY,REFERENCE_ONLY,-0.04,3.73,-3.71,-2.12,-0.52,below,65.6,60.3,False,3.81,0.0,40.99,40.99,63.8,below,13.6,2,0,0.44,14.9,0.93,False,12.9,53.5,63.3,0,0,0,0,,40.99,0,2,2,0,0,0,0,0,4,0,4,0,3,1,5.07,1.0,,0,0,1,2.54,1,2.86,0,1,1,0,0,,0.61,True,-0.32,-0.27,1.01,,3,CHOCH,-0.28,4.07,2.86,2.85,swing,LATE_WIDE,False,18,True
,493,1587996000,2020-04-27 14:00,1711.67,10.37,REFERENCE_ONLY,REFERENCE_ONLY,1.84,9.01,0.93,-0.87,0.48,above,64.3,63.7,False,1.81,0.93,50.97,50.97,63.76,below,12.5,5,0,1.0,10.37,0.73,False,65.9,59.5,74.4,0,0,0,0,0.91,50.97,0,3,2,0,0,0,0,0,5,0,5,0,2,1,5.02,1.42,,0,0,1,3.57,1,1.54,1,1,1,0,1,0.43,1.37,True,-0.86,-0.22,0.93,,,,-0.37,3.6,1.54,0.3,demand,LATE_WIDE,False,14,False
,521,1588572000,2020-05-04 06:00,1707.14,12.86,REFERENCE_ONLY,REFERENCE_ONLY,-0.78,1.44,-0.33,0.65,-0.1,below,55.2,59.5,True,0.67,2.72,49.61,30.37,49.61,above,0.0,0,2,0.78,12.86,0.94,False,68.9,60.1,54.3,0,0,1,0,,49.61,0,5,0,0,2,0,0,0,5,2,2.5,1,0,1,2.86,0.61,,1,0,1,0.82,1,0.41,1,1,1,0,1,0.31,2.5,False,0.65,0.89,0.35,,9,CHOCH,0.64,2.26,0.41,2.96,demand,NORMAL_DEMAND_BASE,False,6,False
,542,1588874400,2020-05-07 18:00,1715.73,10.75,REFERENCE_ONLY,REFERENCE_ONLY,2.7,-0.16,1.02,1.47,1.39,above,52.0,58.8,True,0.37,2.86,64.25,35.63,64.25,above,0.0,1,0,0.77,10.75,0.82,False,87.9,68.9,71.0,0,0,0,0,1.75,64.25,0,2,0,0,0,0,0,0,2,0,2,0,0,1,3.19,1.15,,1,0,1,1.15,1,1.11,1,1,0,0,1,0.05,0.62,False,2.17,2.88,2.2,,0,CHOCH,-0.37,2.04,1.11,3.29,demand,NORMAL_DEMAND_BASE,False,18,True
,583,1589810400,2020-05-18 14:00,1731.95,12.46,REFERENCE_ONLY,REFERENCE_ONLY,2.86,1.63,2.48,-0.08,1.35,above,67.0,57.2,False,2.58,2.48,53.26,53.26,78.76,below,25.5,3,0,1.43,12.46,1.15,True,54.6,60.3,65.0,0,0,0,0,1.34,53.26,0,2,5,0,0,0,0,0,7,0,7,0,5,1,4.95,0.63,,0,0,1,5.45,0,,0,0,0,0,0,,1.52,True,-2.23,-0.77,1.9,,,,-0.29,4.32,,5.05,demand,NORMAL_DEMAND_BASE,False,14,False
,597,1590012000,2020-05-20 22:00,1743.95,8.11,REFERENCE_ONLY,REFERENCE_ONLY,3.65,3.99,-0.49,-0.16,2.19,above,62.3,58.0,False,2.48,1.48,58.01,57.32,61.75,above,3.7,3,0,0.74,8.11,0.75,False,60.9,74.6,77.6,0,0,0,0,1.79,58.01,0,6,0,0,0,0,0,0,6,0,6,0,0,1,2.24,1.6,,1,0,1,6.43,1,1.0,1,1,1,0,0,,0.33,False,-0.19,0.07,0.55,,,,-0.4,0.64,1.0,2.34,demand,NORMAL_DEMAND_BASE,False,22,False
