bucket,n,hit_target_HELD_RUNNER,runners,WR_anywin,sumR_capado,avgR,PF
TAKE_CANDIDATE,82,24,5,42.7,24.5,0.3,1.49
REVIEW,92,23,7,55.4,44.4,0.48,2.08
SKIP_STRUCTURAL,58,10,3,48.3,8.3,0.14,1.28
HUMAN_VISUAL_REQUIRED,36,5,1,47.2,2.3,0.07,1.12
UNKNOWN,8,3,0,62.5,4.6,0.58,2.4
