metric,value
total_episodes,276
allow,195
block,81
n,195
wins,98
losses,97
WR,50.3
sumR,75.5
avgR,0.39
PF,1.75
maxDD,15.2
max_lose_streak,8
max_win_streak,8
baseline_all276_sumR,84.2
baseline_all276_WR,49.3
baseline_all276_maxDD,18.7
baseline_all276_PF,1.58
allow_2020,35
allow_2021,19
allow_2022,16
allow_2023,29
allow_2024,34
allow_2025,47
allow_2026,15
