bucket,n,WR,PF,p_WR,p_PF
TAKE_CONFIRMED,68,25.0,1.73,0.437,0.35
TAKE_CONFIRMED+WEAK,94,26.6,1.74,0.157,0.303
SKIP_CONFIRMED,48,35.4,2.18,0.029,0.144
