eid,set,legpos,rsi,F_TOP_OB_RSI,F_WEAK_RECLAIM
E23,CUT,94,77.45,BLOCK,FLAG
E15,CUT,73,53.02,-,FLAG
E24,CUT,89,69.13,BLOCK,-
E34,CUT,65,48.51,-,-
E39,CUT,56,46.22,-,-
E1,KEEP,48,62.35,-,-
E5,KEEP,92,61.01,-,-
E13,KEEP,47,56.27,-,-
E17,KEEP,62,40.73,-,-
E21,KEEP,90,55.08,-,-
E27,KEEP,43,51.43,-,-
E30,KEEP,30,37.31,-,-
E40,KEEP,65,44.98,-,-
